vid,start,end,text
FkZAk93Wt-k,80,2080,whether your dad skis or likes
FkZAk93Wt-k,2080,4720,photography it doesn't matter because
FkZAk93Wt-k,4720,7680,all they really need are a pair of these
FkZAk93Wt-k,7680,10480,waterproof shoes
FkZAk93Wt-k,10480,12160,i don't know why i winked at that
FkZAk93Wt-k,12160,16160,so let's check it out
FkZAk93Wt-k,16160,18320,these may be the last pair of shoes your
FkZAk93Wt-k,18320,20240,dad will ever need metaphorically
FkZAk93Wt-k,20240,21920,speaking the vessi everyday classics
FkZAk93Wt-k,21920,24080,waterproof shoes are
FkZAk93Wt-k,24080,26320,well waterproof they've got a clean and
FkZAk93Wt-k,26320,28960,minimal design nothing in your face but
FkZAk93Wt-k,28960,31599,still hip enough to be on fleek with the
FkZAk93Wt-k,31599,34399,kids plus they just work wrapping around
FkZAk93Wt-k,34399,37120,your feet like a soft yet thick pair of
FkZAk93Wt-k,37120,39120,waterproof socks they're surprisingly
FkZAk93Wt-k,39120,41040,lightweight and they slip on with a
FkZAk93Wt-k,41040,42960,single flick of the finger personally
FkZAk93Wt-k,42960,44640,you can never go wrong with the all
FkZAk93Wt-k,44640,47120,black model for that stealthy dad look
FkZAk93Wt-k,47120,49200,but each color does come with plenty of
FkZAk93Wt-k,49200,51840,grip along the bottom and this dimetex
FkZAk93Wt-k,51840,54399,waterproof material that really does all
FkZAk93Wt-k,54399,56480,the work for you because although it may
FkZAk93Wt-k,56480,57920,look like you're wearing a very
FkZAk93Wt-k,57920,59680,comfortable knitted sweater around your
FkZAk93Wt-k,59680,61359,foot you don't have to worry about them
FkZAk93Wt-k,61359,63440,getting dirty when going out and about
FkZAk93Wt-k,63440,66320,as you can just do this seriously these
FkZAk93Wt-k,66320,69040,repel water like i do woman super
FkZAk93Wt-k,69040,70880,effective thankfully you get some
FkZAk93Wt-k,70880,72960,stylish points back for not looking like
FkZAk93Wt-k,72960,75439,a total dad but fair warning you will
FkZAk93Wt-k,75439,77920,always get this excited whenever you see
FkZAk93Wt-k,77920,80320,a puddle of water just so you can show
FkZAk93Wt-k,80320,82320,off your new toy in the end though
FkZAk93Wt-k,82320,84240,you're not just buying stylish
FkZAk93Wt-k,84240,86320,lightweight and comfortable shoes you're
FkZAk93Wt-k,86320,88479,buying a solution to a problem we all
FkZAk93Wt-k,88479,91600,face wet socks so can you really put a
FkZAk93Wt-k,91600,94560,price on dry toes after a long day of
FkZAk93Wt-k,94560,96640,jumping in every puddle that ever
FkZAk93Wt-k,96640,99759,existed yes yes you can thankfully i've
FkZAk93Wt-k,99759,102079,got a discount code just for you but it
FkZAk93Wt-k,102079,103680,doesn't end there though as it's
FkZAk93Wt-k,103680,106960,sustainably made and vegan so less waste
FkZAk93Wt-k,106960,108560,the flexible structure also means
FkZAk93Wt-k,108560,110560,although there are shoelaces they're
FkZAk93Wt-k,110560,112799,totally useless just like most of your
FkZAk93Wt-k,112799,114720,friends the bonus points because you
FkZAk93Wt-k,114720,117040,will never have to tie your shoes ever
FkZAk93Wt-k,117040,119680,again upgraded and the classic model are
FkZAk93Wt-k,119680,122079,these thick af insoles which sort of
FkZAk93Wt-k,122079,124159,feels like you're walking on a cloud
FkZAk93Wt-k,124159,126799,plus it's antimicrobial for all you feat
FkZAk93Wt-k,126799,128560,sweaters out there in the end they're
FkZAk93Wt-k,128560,130239,just shoes that you don't have to think
FkZAk93Wt-k,130239,133440,about as they're durable enough for well
FkZAk93Wt-k,133440,135760,everyday use don't worry it fits any
FkZAk93Wt-k,135760,138080,style as well even your dad's favorite
FkZAk93Wt-k,138080,140400,home depot outfit i've exclusively worn
FkZAk93Wt-k,140400,142800,these for the last two years and have
FkZAk93Wt-k,142800,144959,even gotten a pair for everyone in my
FkZAk93Wt-k,144959,146720,family they're comfortable for everyday
FkZAk93Wt-k,146720,149040,walking durable enough for hiking and
FkZAk93Wt-k,149040,150959,breathable too for when you're chasing
FkZAk93Wt-k,150959,153760,after the bus so if you or your dad does
FkZAk93Wt-k,153760,155680,any of that you can save a few bucks on
FkZAk93Wt-k,155680,157599,the perfect gift for him this father's
FkZAk93Wt-k,157599,160080,day with my link in the description down
FkZAk93Wt-k,160080,162560,below this is one of those luxury gifts
FkZAk93Wt-k,162560,165360,that not only look good but are actually
FkZAk93Wt-k,165360,167440,useful and you don't have to sell an
FkZAk93Wt-k,167440,169920,organ to afford it from home in hatfield
FkZAk93Wt-k,169920,172480,this is their single watch display case
FkZAk93Wt-k,172480,175519,and honestly just unboxing it is a whole
FkZAk93Wt-k,175519,178239,bonus experience in itself i've got the
FkZAk93Wt-k,178239,180800,single model here that comes in under 50
FkZAk93Wt-k,180800,182800,for the minimal watch collectors but
FkZAk93Wt-k,182800,185120,they do also offer larger models add a
FkZAk93Wt-k,185120,187360,few extra dollars for the dads with four
FkZAk93Wt-k,187360,189519,wrists to fill but for the most part the
FkZAk93Wt-k,189519,191920,cases are designed the same a top shelf
FkZAk93Wt-k,191920,194239,with pegs to slide your watches onto a
FkZAk93Wt-k,194239,195840,bottom drawer to store your daily
FkZAk93Wt-k,195840,198080,essentials and a clear lid to keep your
FkZAk93Wt-k,198080,200879,fancy bling dust free but also protected
FkZAk93Wt-k,200879,203599,from any spills or kids who like to
FkZAk93Wt-k,203599,205360,touch everything shiny when you are
FkZAk93Wt-k,205360,207440,ready to go though no mechanical doors
FkZAk93Wt-k,207440,210080,or switches to break on you simply lift
FkZAk93Wt-k,210080,212879,and we'll bam at first i was also
FkZAk93Wt-k,212879,214959,skeptical why not just toss your watch
FkZAk93Wt-k,214959,217120,onto your nightstand like the rest of us
FkZAk93Wt-k,217120,219200,but then i saw it in the right light
FkZAk93Wt-k,219200,220560,there's something about having it
FkZAk93Wt-k,220560,223040,displayed like a museum piece basically
FkZAk93Wt-k,223040,225519,if apple made a watch display this would
FkZAk93Wt-k,225519,227440,be it the base consists of a pull out
FkZAk93Wt-k,227440,229280,drawer with the single model offering
FkZAk93Wt-k,229280,231040,enough space for smaller accessories
FkZAk93Wt-k,231040,232799,that you may want to grab on the way out
FkZAk93Wt-k,232799,234640,while the larger four-piece model can go
FkZAk93Wt-k,234640,236959,one step further and accessorize with
FkZAk93Wt-k,236959,239040,some added leather pads for that extra
FkZAk93Wt-k,239040,241599,protection but also who doesn't love a
FkZAk93Wt-k,241599,244159,walnut and leather combo come on sliding
FkZAk93Wt-k,244159,245760,everything in place and storing your
FkZAk93Wt-k,245760,248080,daily essentials is a breeze in this one
FkZAk93Wt-k,248080,250000,with the additional compartments inside
FkZAk93Wt-k,250000,252319,a true necessity for my fellow edc
FkZAk93Wt-k,252319,254000,hoarders out there this is one of those
FkZAk93Wt-k,254000,256400,gifts that any dad could use plus
