vid,start,end,text
GMrI90fZOPM,3440,4720,[Music]
GMrI90fZOPM,4720,7790,i got no competition
GMrI90fZOPM,7790,10900,[Music]
GMrI90fZOPM,27039,28400,you're going down
GMrI90fZOPM,28400,30800,you are done
GMrI90fZOPM,30800,33038,you're
GMrI90fZOPM,35840,43360,[Music]
GMrI90fZOPM,43360,47239,what's going done in here
GMrI90fZOPM,65518,67210,you
GMrI90fZOPM,67210,70390,[Music]
GMrI90fZOPM,110960,114600,reload reload reload
GMrI90fZOPM,121570,124680,[Applause]
GMrI90fZOPM,141280,143840,you're so bad
GMrI90fZOPM,158480,161480,surprised
GMrI90fZOPM,172400,176040,you're so bad
GMrI90fZOPM,188560,191560,hmm
GMrI90fZOPM,200959,204200,come on
GMrI90fZOPM,213280,216280,um
GMrI90fZOPM,226799,231000,now i got a fortnite gun
GMrI90fZOPM,231340,236090,[Music]
GMrI90fZOPM,251980,253519,[Applause]
GMrI90fZOPM,253519,255760,oh hey gosh
GMrI90fZOPM,255760,257680,oh please just give me ten more minutes
GMrI90fZOPM,257680,260000,please
GMrI90fZOPM,260239,261600,let's go
GMrI90fZOPM,261600,263280,come on there we go
GMrI90fZOPM,263280,264479,okay
GMrI90fZOPM,264479,266140,this is your game
GMrI90fZOPM,266140,269280,[Music]
GMrI90fZOPM,269280,272280,um
GMrI90fZOPM,274950,278190,[Music]
GMrI90fZOPM,283620,286699,[Music]
GMrI90fZOPM,296160,299279,[Music]
GMrI90fZOPM,306080,309080,bye
GMrI90fZOPM,311420,314949,[Music]
GMrI90fZOPM,329220,332539,[Music]
GMrI90fZOPM,350240,353638,oh come on
GMrI90fZOPM,355759,357680,oh you're going down
GMrI90fZOPM,357680,361560,no no come on
GMrI90fZOPM,364700,370320,[Music]
GMrI90fZOPM,374000,375920,come on
GMrI90fZOPM,375920,379049,[Music]
GMrI90fZOPM,384720,387759,i've been waiting for you
GMrI90fZOPM,387759,391160,that's payback
GMrI90fZOPM,402639,404240,finally i get to upgrade to the next
GMrI90fZOPM,404240,407240,time
GMrI90fZOPM,408160,411680,finally i can upgrade to the next no
GMrI90fZOPM,415440,420280,let's go final weapon this is my game
GMrI90fZOPM,423680,426680,oh
GMrI90fZOPM,440060,445020,[Music]
GMrI90fZOPM,459599,460960,i won again
GMrI90fZOPM,460960,463759,let's go you kidding me honestly this is
GMrI90fZOPM,463759,465520,just getting boring i don't want too
GMrI90fZOPM,465520,468800,many gun games it's rigged
GMrI90fZOPM,471120,472800,get out of here
GMrI90fZOPM,472800,476440,subscribe subscribe
GMrI90fZOPM,477080,480399,[Music]
GMrI90fZOPM,482670,489699,[Music]
GMrI90fZOPM,490000,492080,you
