vid,start,end,text
HDGC4A8jsh4,970,7630,[Music]
HDGC4A8jsh4,8320,9750,do
HDGC4A8jsh4,9750,19499,[Music]
HDGC4A8jsh4,20720,22560,welcome back it's been a while since
HDGC4A8jsh4,22560,24160,i've opened up some new art supplies
HDGC4A8jsh4,24160,26080,with you all so let's first start with
HDGC4A8jsh4,26080,28080,this package i received from choosing
HDGC4A8jsh4,28080,30560,keeping choosing keeping is a beautiful
HDGC4A8jsh4,30560,32640,stationery store in london and a really
HDGC4A8jsh4,32640,34160,old friend to this channel that
HDGC4A8jsh4,34160,36160,prioritizes researching and developing
HDGC4A8jsh4,36160,37920,where they source their products
HDGC4A8jsh4,37920,40320,resulting in a really special curation
HDGC4A8jsh4,40320,43040,of unique unusual and timeless items
HDGC4A8jsh4,43040,44640,they have a really unique selection of
HDGC4A8jsh4,44640,46399,art supply so i'm always eager to see
HDGC4A8jsh4,46399,48079,what new items they've sourced with
HDGC4A8jsh4,48079,49840,every package i received from them i'm
HDGC4A8jsh4,49840,52320,always stunned at the amount of time and
HDGC4A8jsh4,52320,54399,care they take to package each item if
HDGC4A8jsh4,54399,56079,you choose to get your items wrapped
HDGC4A8jsh4,56079,57920,each one comes in beautiful artisanal
HDGC4A8jsh4,57920,59840,paper and silk ribbons topped with the
HDGC4A8jsh4,59840,61800,shop's iconic bird sticker
HDGC4A8jsh4,61800,64640,[Music]
HDGC4A8jsh4,64640,66720,the first item i pulled out is a colored
HDGC4A8jsh4,66720,68640,pencil set from holbein hopeline is one
HDGC4A8jsh4,68640,70640,of my favorite art companies they are a
HDGC4A8jsh4,70640,72240,japanese company that i personally
HDGC4A8jsh4,72240,74000,really love because my first set of
HDGC4A8jsh4,74000,76550,watercolors were from holbein
HDGC4A8jsh4,76550,79439,[Music]
HDGC4A8jsh4,79439,81520,besides the fact that the packaging and
HDGC4A8jsh4,81520,83520,graphics of these pencils are stunning
HDGC4A8jsh4,83520,85439,these are artist grade pencils that are
HDGC4A8jsh4,85439,88400,incredibly smooth rich and opaque this
HDGC4A8jsh4,88400,90640,set is a concentrated version of their
HDGC4A8jsh4,90640,92560,larger 50 pencil set that highlights
HDGC4A8jsh4,92560,94880,only the muted pastel shades they felt
