vid,start,end,text
HYEmuFnN2zE,0,21000,"We order a lot of products,and we only show you the best products we buy"
HYEmuFnN2zE,25000,33000,Today I'll be telling you about products that we personally bought and loved them
HYEmuFnN2zE,35000,40000,And i guarantee you'll like them as well. Out of 5 products there was one which did not work at all
HYEmuFnN2zE,50000,55000, Before i begin make sure to subscribe to the channel and turn on the notifications to get notified
HYEmuFnN2zE,56000,66000,Whenever we upload a video. I wanted a wireless charger as I'll be travelling in 2 days
HYEmuFnN2zE,84000,87000,You can also call it a magnetic charging pad
HYEmuFnN2zE,124000,133000,"It comes with a cable so it's quite useful and portable It has a 2500mAh battery,so it can charge the phone upto 70-80%."
HYEmuFnN2zE,140000,153000, Our next product is a studio light. These are basically colourful hexagons and they come with stickers
HYEmuFnN2zE,163000,189000,These attach magnetically. With a tap you can turn on/off
HYEmuFnN2zE,194000,198000,The good thing is that you just have to attach one wire and all light up
HYEmuFnN2zE,205000,210000,They cost around Rs 2800 and all the links are in the description
HYEmuFnN2zE,213000,218000,These are great if you want something bright as your background
HYEmuFnN2zE,240000,245000, I wanted an alarm clock which was also multifunctional
HYEmuFnN2zE,256000,261000,The screen shows the time and you can also charge your phone on this
HYEmuFnN2zE,269000,279000, It comes with a 10W charger and it supports 10W wireless charging. It also has a light at the top
HYEmuFnN2zE,296000,298000, It will cost around Rs 2K
HYEmuFnN2zE,302000,308000,This laser projection keyboard is something you shouldn't buy
HYEmuFnN2zE,319000,333000,"It is small, it projects from the screen. And it costed a whopping Rs 6500"
HYEmuFnN2zE,343000,347000,"As soon as i threw it, it started working"
HYEmuFnN2zE,381000,395000,This was not scripted. As i threw it the projector started working
HYEmuFnN2zE,396000,402000,I think they should mention it in the manual saying make sure to drop before using
HYEmuFnN2zE,406000,413000,"Our next product is also multifunctional,we normally order products which has many uses"
HYEmuFnN2zE,415000,438000,"It is a powerbank, also a lamp which allows colour customisation"
HYEmuFnN2zE,444000,462000,The quality is really good. It is also a phone stand
HYEmuFnN2zE,468000,478000," It costs Rs 1800. And suprisingly the product we did not think works, worked very well"
HYEmuFnN2zE,489000,496000,"Make sure to like the video, that's all for this video. Until the next one Keep Trakin and Stay Safe"
