vid,start,end,text
Hd2ldTR-WpI,10719,13219,I've noticed you're pretending to
Hd2ldTR-WpI,13219,15469,masturbate and I was wondering if you
Hd2ldTR-WpI,15469,20119,wanted to talk about it which my mom is
Hd2ldTR-WpI,20119,22910,a sex guru so why don't you start by
Hd2ldTR-WpI,22910,25910,telling me your earliest memory of your
Hd2ldTR-WpI,25910,32148,scrotum trust me you don't this is a new
Hd2ldTR-WpI,32148,33890,frontier my sexually repressed friend
Hd2ldTR-WpI,33890,36320,our chance to finally move up the social
Hd2ldTR-WpI,36320,38920,food chain
Hd2ldTR-WpI,39420,41370,I'm worried about you man everybody's
Hd2ldTR-WpI,41370,43620,either thinking about shagging about to
Hd2ldTR-WpI,43620,51090,shag or actually shagging the students
Hd2ldTR-WpI,51090,52320,at the school need your help and we need
Hd2ldTR-WpI,52320,53460,their money I'll deal with the business
Hd2ldTR-WpI,53460,56640,and things and you could do therapy sir
Hd2ldTR-WpI,56640,59910,be your sex therapy about your mum Wow
Hd2ldTR-WpI,59910,62400,sex therapist this could be unser we
Hd2ldTR-WpI,62400,65280,could be popular and I have a mild to
Hd2ldTR-WpI,65280,69180,moderate crush on nape I'm addicted to
Hd2ldTR-WpI,69180,71460,wanking my pubes are out control I wish
Hd2ldTR-WpI,71460,73380,I could be a normal kid with all that
Hd2ldTR-WpI,73380,80310,with a normal dick therefore the best
Hd2ldTR-WpI,80310,83479,two years of our lives
Hd2ldTR-WpI,83960,86380,[Music]
Hd2ldTR-WpI,86380,88540,let me give you some condoms so thanks
Hd2ldTR-WpI,88540,90570,mom
Hd2ldTR-WpI,94770,96729,[Music]
Hd2ldTR-WpI,96729,99820,stay out of my life
Hd2ldTR-WpI,99820,102190,kind of man do you want to be what kind
Hd2ldTR-WpI,102190,105240,of man you want me to be that
Hd2ldTR-WpI,107369,110070,can't you is who you're attracted to
Hd2ldTR-WpI,110070,112200,sound engineer a relationship I don't
Hd2ldTR-WpI,112200,115640,believe in huh you are who you are
Hd2ldTR-WpI,115640,118690,doesn't anyone take that away from you
Hd2ldTR-WpI,118690,121170,[Music]
Hd2ldTR-WpI,121170,123119,I still think it's a way to teach boys a
Hd2ldTR-WpI,123119,125990,sex therapist
Hd2ldTR-WpI,127310,131839,[Music]
Hd2ldTR-WpI,132680,134739,you
Hd2ldTR-WpI,141810,143870,you
