vid,start,end,text
IiyJkEPP9eo,0,1680,well hello there you may be wondering
IiyJkEPP9eo,1680,3120,why i'm walking backwards making sure
IiyJkEPP9eo,3120,4560,i'm not going to run into a tree it is
IiyJkEPP9eo,4560,6000,because we're here at union city skate
IiyJkEPP9eo,6000,7759,park we came all the way here to skate
IiyJkEPP9eo,7759,9360,outside of the skate park we have this
IiyJkEPP9eo,9360,10960,beautiful bench over here and we have
IiyJkEPP9eo,10960,12559,this beautiful human being right here
IiyJkEPP9eo,12559,15360,young jd sanchez aka
IiyJkEPP9eo,15360,18240,jay to the dizzler
IiyJkEPP9eo,18240,20400,and he has been challenged
IiyJkEPP9eo,20400,22080,by none other than
IiyJkEPP9eo,22080,23920,glo the border stephen velardi let's
IiyJkEPP9eo,23920,25599,skate on a bridge brother we don't need
IiyJkEPP9eo,25599,26800,to know all that
IiyJkEPP9eo,26800,28000,you're right
IiyJkEPP9eo,28000,29599,we want to know all that and we're here
IiyJkEPP9eo,29599,30880,today
IiyJkEPP9eo,30880,32480,we are playing on
IiyJkEPP9eo,32480,33920,glow's choice of bench we have three
IiyJkEPP9eo,33920,35840,benches here glo is going to pick one
IiyJkEPP9eo,35840,37200,cause he does not want this one for some
IiyJkEPP9eo,37200,39600,reason so he will decide where they will
IiyJkEPP9eo,39600,41200,battle so literally they're just gonna
IiyJkEPP9eo,41200,42800,play game of skate on top of this bench
IiyJkEPP9eo,42800,44320,which is more dangerous because if you
IiyJkEPP9eo,44320,46800,fall you fall farther down so i will
IiyJkEPP9eo,46800,48879,host they will play and you will enjoy
IiyJkEPP9eo,48879,50320,your day all right who's going first
IiyJkEPP9eo,50320,52480,roshambo
IiyJkEPP9eo,52480,55280,dang jd is going first
IiyJkEPP9eo,55280,59640,jd's looking oh frontside 180.
IiyJkEPP9eo,60079,61280,maybe you all should have just like each
IiyJkEPP9eo,61280,64640,had your own bench this is sick
IiyJkEPP9eo,64640,66880,oh that's good oh we have a new
IiyJkEPP9eo,66880,70000,challenger mowgli herrera he's joining
IiyJkEPP9eo,70000,72720,the tables
IiyJkEPP9eo,72720,74640,this just in my superiors have called me
IiyJkEPP9eo,74640,76799,and said it is a game of table table
IiyJkEPP9eo,76799,78560,yeah
IiyJkEPP9eo,78560,79360,oh
IiyJkEPP9eo,79360,80240,wow
IiyJkEPP9eo,80240,81920,got mondo up there now
IiyJkEPP9eo,81920,83840,is it a game a bench or a game of table
IiyJkEPP9eo,83840,87479,leave in the comments below
IiyJkEPP9eo,91119,93040,i'm gonna okay i'm gonna run give you a
IiyJkEPP9eo,93040,94880,run back on that one i think next time
IiyJkEPP9eo,94880,96240,though if you fall off the bench it
IiyJkEPP9eo,96240,98240,doesn't count from now on but that was
IiyJkEPP9eo,98240,100320,pretty much it
IiyJkEPP9eo,100320,101759,that's good
IiyJkEPP9eo,101759,103920,i didn't even think about that
IiyJkEPP9eo,103920,106720,yeah that's good
IiyJkEPP9eo,106960,108000,oh
IiyJkEPP9eo,108000,109280,a letter
IiyJkEPP9eo,109280,110560,what i did
IiyJkEPP9eo,110560,112079,i had to get off do you think that
IiyJkEPP9eo,112079,114640,counts smugly
IiyJkEPP9eo,114640,116159,who thinks that count who thinks that
IiyJkEPP9eo,116159,117759,counted that's a real that's right i
IiyJkEPP9eo,117759,119439,don't know officially
IiyJkEPP9eo,119439,121840,you took it off on purpose i did oh jd
IiyJkEPP9eo,121840,124398,is the ref now
IiyJkEPP9eo,126960,130879,oh okay god let's go
IiyJkEPP9eo,130879,132400,oh
IiyJkEPP9eo,132400,133760,varial flip really like pulling your
IiyJkEPP9eo,133760,135840,notes out huh dude i do it all the time
IiyJkEPP9eo,135840,138879,especially when people ask me to
IiyJkEPP9eo,138879,141879,oh
IiyJkEPP9eo,142239,143599,oh my god
IiyJkEPP9eo,143599,146879,to show how like skinny that thing is
IiyJkEPP9eo,146879,148879,oh
IiyJkEPP9eo,148879,152720,how was that toe there that was good huh
IiyJkEPP9eo,152720,154080,dang
IiyJkEPP9eo,154080,157519,that's gonna be glows k
IiyJkEPP9eo,157519,161519,oh that's defense that's good
IiyJkEPP9eo,164000,166319,yeah
IiyJkEPP9eo,166640,170360,oh my god
IiyJkEPP9eo,179100,182000,[Music]
IiyJkEPP9eo,182000,186400,wait your turn waits your turn
IiyJkEPP9eo,186400,187440,oh
IiyJkEPP9eo,187440,188959,i'm going to count that
IiyJkEPP9eo,188959,191599,that was like a hybrid between 3-7
IiyJkEPP9eo,191599,193840,impossible
IiyJkEPP9eo,193840,195360,oh
IiyJkEPP9eo,195360,198080,jd's reign is over now stepping up to
IiyJkEPP9eo,198080,200239,the plate glow
IiyJkEPP9eo,200239,202800,oh that's good
IiyJkEPP9eo,202800,203760,oh
IiyJkEPP9eo,203760,205840,i just can't stop thinking that i got
IiyJkEPP9eo,205840,207840,doo doo on my grip
IiyJkEPP9eo,207840,210080,oh
IiyJkEPP9eo,210159,213159,b
IiyJkEPP9eo,223599,226720,oh my god
IiyJkEPP9eo,226720,228480,gee that's the riskiest trick on the
IiyJkEPP9eo,228480,230159,bench that's double the chance to land
IiyJkEPP9eo,230159,232560,primo
IiyJkEPP9eo,236640,240840,is that a redo or is that gnaw
IiyJkEPP9eo,245519,246400,oh
IiyJkEPP9eo,246400,248080,what did i say
IiyJkEPP9eo,248080,249840,have faith in yourself everybody no
IiyJkEPP9eo,249840,251500,primos yet
IiyJkEPP9eo,251500,255140,[Laughter]
IiyJkEPP9eo,260320,262000,that's mondo's l but he's still in the
IiyJkEPP9eo,262000,263600,game he still has one more letter the
IiyJkEPP9eo,263600,265040,last letter is still e2 so that's kind
IiyJkEPP9eo,265040,267040,of sick
IiyJkEPP9eo,267040,269280,oh
IiyJkEPP9eo,269280,271840,running back
IiyJkEPP9eo,273919,278160,no okay jd says he doesn't have control
IiyJkEPP9eo,278160,279280,oh
IiyJkEPP9eo,279280,282400,that's good
IiyJkEPP9eo,282400,286000,let's go that was solid
IiyJkEPP9eo,286720,288560,oh
IiyJkEPP9eo,288560,290000,dang
IiyJkEPP9eo,290000,291759,a lot of things happening poop on this
IiyJkEPP9eo,291759,293759,shiny object over there dude you haven't
IiyJkEPP9eo,293759,296479,even slept yet i slept oh you did oh i
IiyJkEPP9eo,296479,298160,thought you didn't sleep
IiyJkEPP9eo,298160,299199,oh
IiyJkEPP9eo,299199,300639,what
IiyJkEPP9eo,300639,303120,dude that was like an underflip
IiyJkEPP9eo,303120,304000,what
IiyJkEPP9eo,304000,305440,that was the best tray flip i've ever
IiyJkEPP9eo,305440,306320,seen
IiyJkEPP9eo,306320,308800,your back foot and front foot flipped it
IiyJkEPP9eo,308800,309600,like
IiyJkEPP9eo,309600,310960,separately
IiyJkEPP9eo,310960,312479,that was crazy
IiyJkEPP9eo,312479,314240,i think you just that's a w right there
IiyJkEPP9eo,314240,316560,you just win
IiyJkEPP9eo,316560,320880,dang jd's first blood so
IiyJkEPP9eo,321120,323440,is it second my bad i'm bad i'm bad ref
IiyJkEPP9eo,323440,326560,so the score is jd ta glow tab mondo
IiyJkEPP9eo,326560,327919,t-a-b-l
IiyJkEPP9eo,327919,330560,ugly table
IiyJkEPP9eo,330560,332639,dang that's good
IiyJkEPP9eo,332639,334560,that's good
IiyJkEPP9eo,334560,338199,oh that's good
IiyJkEPP9eo,344639,345810,oh
IiyJkEPP9eo,345810,346960,[Music]
IiyJkEPP9eo,346960,349520,dang that's mondo's e put up a good
IiyJkEPP9eo,349520,351600,fight and that trey underflip though
IiyJkEPP9eo,351600,354639,that's you won either way that's sick
IiyJkEPP9eo,354639,357199,yeah that's right
IiyJkEPP9eo,357199,359520,oh
IiyJkEPP9eo,359919,361520,all right jd says no it's kind of hard
IiyJkEPP9eo,361520,363120,to tell cause like i want to give it to
IiyJkEPP9eo,363120,366000,him but he said no time to eat raisin
IiyJkEPP9eo,366000,367600,bran
IiyJkEPP9eo,367600,368479,oh
IiyJkEPP9eo,368479,371440,my god
IiyJkEPP9eo,375039,377199,oh the romeo there's tripping that was
IiyJkEPP9eo,377199,378240,crazy
IiyJkEPP9eo,378240,379440,that was it
IiyJkEPP9eo,379440,381520,it wasn't perfect though i almost landed
IiyJkEPP9eo,381520,383199,it
IiyJkEPP9eo,383199,384240,oh
IiyJkEPP9eo,384240,386000,that was beautiful
IiyJkEPP9eo,386000,386800,yeah
IiyJkEPP9eo,386800,388960,oh
IiyJkEPP9eo,388960,390000,all right y'all if you all still
IiyJkEPP9eo,390000,394360,watching hopefully in this one
IiyJkEPP9eo,394720,395919,that's good
IiyJkEPP9eo,395919,397199,let's go
IiyJkEPP9eo,397199,399759,steez
IiyJkEPP9eo,402319,403919,that one sometimes just goes primo for
IiyJkEPP9eo,403919,405840,no reason too and it's scary it's a
IiyJkEPP9eo,405840,408479,sketch
IiyJkEPP9eo,408479,410880,dang jd
IiyJkEPP9eo,410880,414160,oh my god tab tab t-a-b-l has the
IiyJkEPP9eo,414160,417039,current score mowgli with l
IiyJkEPP9eo,417039,420000,glow and jd with b
IiyJkEPP9eo,420080,422080,did you try to full cap yeah he's trying
IiyJkEPP9eo,422080,424080,to full cap a table i have to test my
IiyJkEPP9eo,424080,425919,abilities bro i've never tried to pull
IiyJkEPP9eo,425919,428319,cap on a table i would have been i want
IiyJkEPP9eo,428319,429680,to see dude if you could pull that off
IiyJkEPP9eo,429680,431520,that's that'd be magnificent
IiyJkEPP9eo,431520,434639,no way be careful
IiyJkEPP9eo,434639,437840,oh my god
IiyJkEPP9eo,440720,442240,wow
IiyJkEPP9eo,442240,444400,that was perfect
IiyJkEPP9eo,444400,446080,i'm learning how to nollie flip again
IiyJkEPP9eo,446080,448240,mondo one or two
IiyJkEPP9eo,448240,449680,two because you got some on your grip
IiyJkEPP9eo,449680,451840,tape
IiyJkEPP9eo,456400,458000,you all chose this one
