vid,start,end,text
IkT2pPfa8Ww,1434,2601,"-Welcome, everybody. Welcome, welcome, welcome."
IkT2pPfa8Ww,2601,4868,"Welcome to ""The Tonight Show,"" everyone."
IkT2pPfa8Ww,4868,6000,You're here. You made it.
IkT2pPfa8Ww,6000,7901,"Thank you very much for being here, hey."
IkT2pPfa8Ww,7901,12066,[ Cheers and applause ]
IkT2pPfa8Ww,12067,13901,"Well, guys, I can't believe this."
IkT2pPfa8Ww,13901,16767,Today is the iPhone's 15th birthday.
IkT2pPfa8Ww,16767,18400,Today. [ Cheers ]
IkT2pPfa8Ww,18400,20701,"Which means right now, Nokia is in a bar somewhere"
IkT2pPfa8Ww,20701,23968,"going, ""15 years ago, I was on top of the world."""
IkT2pPfa8Ww,23968,25667,[ Laughter ]
IkT2pPfa8Ww,25667,27667,"""You can't throw me out. I'll throw you out."""
IkT2pPfa8Ww,27667,28934,[ Laughter ]
IkT2pPfa8Ww,28934,30567,"Yeah, I can't believe it's been 15 years"
IkT2pPfa8Ww,30567,33434,since Apple revolutionized the way we raise our kids.
IkT2pPfa8Ww,33434,34600,[ Laughter ]
IkT2pPfa8Ww,34601,36667,"""Just -- Just take that."" Yeah, that's right."
IkT2pPfa8Ww,36667,39534,"The iPhone is so popular, it single-handedly turned Apple"
IkT2pPfa8Ww,39534,41734,and rice into a trillion-dollar industry.
IkT2pPfa8Ww,41734,43367,[ Laughter ]
IkT2pPfa8Ww,43367,46033,"Speaking of Apple, the FCC has asked Apple"
IkT2pPfa8Ww,46033,48734,and Google to remove TikTok from their app stores
IkT2pPfa8Ww,48734,51200,over national-security concerns.
IkT2pPfa8Ww,51200,53100,"[ Audience ""Oohs"" ]"
IkT2pPfa8Ww,53100,54934,Then Apple and Google saw how much money
IkT2pPfa8Ww,54934,57000,they were making off TikTok and told the FCC
IkT2pPfa8Ww,57000,58534,to go FCC themselves.
IkT2pPfa8Ww,58534,64032,[ Laughter and applause ]
IkT2pPfa8Ww,64032,65967,"Yeah, they claim China has been stealing"
IkT2pPfa8Ww,65968,68501,sensitive user data through the app.
IkT2pPfa8Ww,68501,71033,"Apparently, they got suspicious when Chinese engineers"
IkT2pPfa8Ww,71033,73100,started slapping each other with tortillas.
