vid,start,end,text
InjJ7WIpsZE,4000,11759,sometimes success is merely hanging on  when others would let go
InjJ7WIpsZE,11759,17840,not doing anything spectacular  or out of the ordinary
InjJ7WIpsZE,17840,24480,not leaping a mile or jumping over a  mountain  but simply
InjJ7WIpsZE,24480,31760,carrying on  thomas edison has a famous quote that's
InjJ7WIpsZE,31760,37200,really stuck with me over the years he  says many of life's failures
InjJ7WIpsZE,37200,44879,are people who did not realize how close  they were to success when they gave up
InjJ7WIpsZE,44879,50320,right how close they were to the finish  line when they turned their back
InjJ7WIpsZE,50320,56640,and said it wasn't worth it  it's really an interesting thing to
InjJ7WIpsZE,56640,63359,grasp  right success is seeing  what others can't
InjJ7WIpsZE,63359,68960,it's believing when others don't it's  taking the abstract
InjJ7WIpsZE,68960,77040,those visions those pictures in your  head to make believe  and finding the courage to make them
InjJ7WIpsZE,77040,81040,real  bring them to life
InjJ7WIpsZE,82320,87600,it's this constantly evolving process  and it grows a little bit every single  day
InjJ7WIpsZE,87600,93680,sometimes we feel that progress we feel  the momentum we do something big and  it's exciting
InjJ7WIpsZE,93680,100159,and sometimes the progress feels small  and there are times when we get knocked
InjJ7WIpsZE,100159,105360,down and we don't see it at all  we feel like
InjJ7WIpsZE,105360,114079,because we weren't validated that we  lost  [Music]  that we failed that it wasn't enough
InjJ7WIpsZE,114079,119600,we forget that's part of the process  that progress is a journey
InjJ7WIpsZE,119600,125490,and it goes when you go  and it stops when you stop
InjJ7WIpsZE,125490,133599,[Music]  just like that famous dalai lama quote  right the only way to fail is to quit
InjJ7WIpsZE,133599,140400,period  no one ever stops because they can't
InjJ7WIpsZE,141120,147120,they stop because they decide to  they stop because they see that huge  mountain and they think that's
InjJ7WIpsZE,147120,151920,impossible they forget it's only made of  little rocks
InjJ7WIpsZE,152239,158879,they stop because they get so  disheartened by the distance of the  finish line that they forget it only
InjJ7WIpsZE,158879,164640,takes a collection of little steps to  get there  you don't have to leap the entire
InjJ7WIpsZE,164640,170480,distance  you know i've been there  it's this is me speaking from experience
InjJ7WIpsZE,170480,176640,it took me years to figure it out  and even now life is rapidly evolving
InjJ7WIpsZE,176640,183680,i've poured my heart into things that  let's be honest no one cared about  i've invested in opportunities that fell
InjJ7WIpsZE,183680,189440,apart right in front of me  and each time it felt like the end of  the world
