vid,start,end,text
JKi8bHYN5eo,340,4790,[Music]
JKi8bHYN5eo,5200,7120,diversity superman is hitting box
JKi8bHYN5eo,7120,10160,offices with the rock since dc is hell
JKi8bHYN5eo,10160,12080,bent on getting rid of henry cavall for
JKi8bHYN5eo,12080,15040,some reason we are now stuck with this
JKi8bHYN5eo,15040,17600,the rock is hollywood's go-to guy to
JKi8bHYN5eo,17600,20320,reboot a franchise or a whole
JKi8bHYN5eo,20320,22800,universe you know what the hell they got
JKi8bHYN5eo,22800,24400,now we have universes of the
JKi8bHYN5eo,24400,26960,spider-verse the metaverse
JKi8bHYN5eo,26960,30960,i just can't anymore the dc universe so
JKi8bHYN5eo,30960,32880,here we are basically if you know
JKi8bHYN5eo,32880,34239,anything about comic books you know
JKi8bHYN5eo,34239,37360,black adam is a villain in every version
JKi8bHYN5eo,37360,39600,or iteration of the character sometimes
JKi8bHYN5eo,39600,41120,they make him an antihero but he's still
JKi8bHYN5eo,41120,43840,a piece of crap but i'm sure the dcu
JKi8bHYN5eo,43840,46160,will make the rocks version of black
JKi8bHYN5eo,46160,48480,adam a villain that's a sympathetic
JKi8bHYN5eo,48480,50879,anti-hero much like the mcu did with
JKi8bHYN5eo,50879,53600,thanos thanos in the comics total
JKi8bHYN5eo,53600,56960,psychopath on the level of darkseid okay
JKi8bHYN5eo,56960,58559,he's in love with death and he's hell
JKi8bHYN5eo,58559,60719,bent on killing everything to get death
JKi8bHYN5eo,60719,62399,to you know love him back or something
JKi8bHYN5eo,62399,64559,we're not getting into that but the mcu
JKi8bHYN5eo,64559,66560,version of thanos he's basically an
JKi8bHYN5eo,66560,68720,extreme eco terrorist on a galactic
JKi8bHYN5eo,68720,69780,scale
JKi8bHYN5eo,69780,71280,[Music]
JKi8bHYN5eo,71280,73840,look
JKi8bHYN5eo,76000,78479,pretty isn't it
JKi8bHYN5eo,78479,80880,perfectly balanced this whole thing
JKi8bHYN5eo,80880,81840,should be
JKi8bHYN5eo,81840,83520,i doubt the movie will feature the most
JKi8bHYN5eo,83520,86080,recent iteration of black adam's
JKi8bHYN5eo,86080,88320,like explanation of how he came to be
JKi8bHYN5eo,88320,90880,where he kills his own nephew for power
JKi8bHYN5eo,90880,93040,they'll spin the story around to make
JKi8bHYN5eo,93040,95600,him a good guy gone bad
JKi8bHYN5eo,95600,98000,which then how the hell is he gonna be a
JKi8bHYN5eo,98000,100880,good villain for shazam once again
JKi8bHYN5eo,100880,103079,nobody's tanking that far ahead it's the
JKi8bHYN5eo,103079,106000,dceu or dcu whatever they call it this
JKi8bHYN5eo,106000,107759,take bling it against the wall see what
JKi8bHYN5eo,107759,111980,sticks ezra miller anybody
JKi8bHYN5eo,111980,117920,[Music]
JKi8bHYN5eo,117920,118860,[Applause]
JKi8bHYN5eo,118860,121920,[Laughter]
JKi8bHYN5eo,121920,124240,now there's a super villain story i was
JKi8bHYN5eo,124240,128000,a slave until i died
JKi8bHYN5eo,128000,131599,then i was reborn a god
JKi8bHYN5eo,133040,138439,my son sacrificed his life to save me
JKi8bHYN5eo,144400,146560,the trailer starts off as i predicted
JKi8bHYN5eo,146560,149440,black adam's a tragic hero not a
JKi8bHYN5eo,149440,152720,monumental douchebag look out baby he's
JKi8bHYN5eo,152720,155040,bad to the bone bullets can't hurt him
JKi8bHYN5eo,155040,156400,i'm surprised we don't have the george
JKi8bHYN5eo,156400,160000,thoroughgood guitar theme going on here
JKi8bHYN5eo,160000,163200,i kneel before no one
JKi8bHYN5eo,163200,165120,wait a minute wait a minute
JKi8bHYN5eo,165120,167120,hawkman is black now when did that
JKi8bHYN5eo,167120,168319,happen
JKi8bHYN5eo,168319,170879,good lord it almost seems like marvel
JKi8bHYN5eo,170879,172720,and dc take the characters that they at
JKi8bHYN5eo,172720,175280,least care about and make them black
JKi8bHYN5eo,175280,176560,or gay
JKi8bHYN5eo,176560,178000,you know what they do they got dice and
JKi8bHYN5eo,178000,179440,they roll them to see what they're gonna
JKi8bHYN5eo,179440,181280,turn the character into
JKi8bHYN5eo,181280,183680,we can make robin black or gay how about
JKi8bHYN5eo,183680,186800,bisexual we could walk it back later
