vid,start,end,text
JqD2OxWQYMk,6500,10220,[Music]
JqD2OxWQYMk,13710,21439,[Music]  let me down easy
JqD2OxWQYMk,21680,29800,for your love for me is gone  [Music]  let me download
JqD2OxWQYMk,30000,38000,since you feel to stay here wrong  i know it's all over
JqD2OxWQYMk,38480,48150,for the last  [Music]
JqD2OxWQYMk,50399,60899,let me download  [Music]
JqD2OxWQYMk,62960,67080,let me down easy
JqD2OxWQYMk,72240,78880,welcome  to rust  today we're playing blue lagoon it's
JqD2OxWQYMk,78880,84080,been a long time since i played and who  better to return to blue lagoon with
JqD2OxWQYMk,84080,91119,then  one of my favorite  rust youtubers if not my favorite rust  youtuber right now a lot of people they
JqD2OxWQYMk,91119,96400,might consider me  as their favorite rust youtuber but who  is your favorite russ youtuber's
JqD2OxWQYMk,96400,101840,favorite youtuber well for me right now  that's motion
JqD2OxWQYMk,102300,109000,[Music]  i'm dead
JqD2OxWQYMk,117200,122960,motion is an australian chad he's been  doing youtube for a long time as well  but you know just
JqD2OxWQYMk,122960,129200,i've just really been loving his content  lately and you know it's just it's gonna  be great to be able to play with him he
JqD2OxWQYMk,129200,134560,makes amazing amazing rust videos highly  highly underrated please go check out
JqD2OxWQYMk,134560,139760,his channel when you have the time i  could not ask for a better duo partner  to return to blue lagoon with because
JqD2OxWQYMk,139760,146000,this server is very competitive so i  can't waste any more time wipe has just  happened it's for swipe there's new zip
JqD2OxWQYMk,146000,151440,lines and [ __ ] so yeah let's just jump  straight into this all right man i've  done my intro i've loaded in i'm at the
JqD2OxWQYMk,151440,159440,bottom left of the map i'm excited for  this man or no i'm i'm i'm keen for this  i'm kin as well i'm so keen i'm i'm top
JqD2OxWQYMk,159440,165360,left top left oh great yeah  after really studying the map motion and
JqD2OxWQYMk,165360,171200,i decided that we'd build towards the  bottom left of the map to avoid bigger  groups we'd have lighthouse for green
JqD2OxWQYMk,171200,178000,card and a safe recycler harbor for blue  card airfield for red and finally with  all of this we could control small oil
JqD2OxWQYMk,178000,185840,rig it was a simple plan but this is  rust and in rust plans change
JqD2OxWQYMk,188960,192080,[Applause]
JqD2OxWQYMk,195480,203040,[Music]  okay i killed them
JqD2OxWQYMk,205599,210799,got a piggy  hey what's up man greetings
JqD2OxWQYMk,210799,216480,wild one here take this goodies  you want to build on like the shore that
JqD2OxWQYMk,216480,221519,that's like alongside harbor and we can  have like a boat base maybe oh
JqD2OxWQYMk,221519,228239,yeah i'm down for harbor  oh damn he's got the toss
JqD2OxWQYMk,228239,233920,i have a semi body  just thought i'd mention that just the  one
JqD2OxWQYMk,233920,239480,yeah yeah dude like i think this is  looking pretty ideal
JqD2OxWQYMk,251920,258079,by the time we had the base secured it  had turned night so we decided to not  waste any time and farm harbors section
JqD2OxWQYMk,258079,265280,of the train tunnels it got us a fair  bit of components and a lucky find  oh i just got a jackie from a crate on
JqD2OxWQYMk,265280,272000,us  that's so good actually when we got home  we placed the tier 1 and crafted a  crossbow nail gun to defend the recycle
JqD2OxWQYMk,272000,278400,run but by now the servers started  getting weapons too someone's farming  over here
JqD2OxWQYMk,278639,282360,one little guy run
JqD2OxWQYMk,293120,299120,they let the naked loot you  and i'm fighting them all right now  just gonna die actually i'm getting
