vid,start,end,text
KLqyge_BCJc,130,25199,[Music]
KLqyge_BCJc,25199,28199,yes
KLqyge_BCJc,30280,37520,[Music]  and the way you feel now i guess i'll be
KLqyge_BCJc,37520,43540,with you till the end  guess i'm on my way
KLqyge_BCJc,43540,61520,[Music]  i might let you stay  [Music]
KLqyge_BCJc,61520,69210,i'm stuck on you  i've been a fool too long i guess it's  time for me to come home
KLqyge_BCJc,69210,81159,[Music]
KLqyge_BCJc,84240,90080,guess i'm more  i'm
KLqyge_BCJc,90080,96209,[Music]
KLqyge_BCJc,98630,105840,[Music]
KLqyge_BCJc,105840,112620,and so i'm living on that midnight train  tomorrow
KLqyge_BCJc,112620,124799,[Music]
KLqyge_BCJc,124799,130830,away  [Music]
KLqyge_BCJc,132319,139799,cause this time little dawn  i'm coming home
KLqyge_BCJc,142820,149870,[Music]  my soul that i just
KLqyge_BCJc,149870,153080,[Music]
KLqyge_BCJc,155420,160380,[Music]
KLqyge_BCJc,163070,169879,[Music]  my
KLqyge_BCJc,170700,176879,[Music]
KLqyge_BCJc,176879,194150,my  [Music]
KLqyge_BCJc,196959,204239,and so i'm living on that midnight train  tomorrow
KLqyge_BCJc,204799,208280,and i know
KLqyge_BCJc,217210,222449,[Music]
KLqyge_BCJc,225360,231040,if i had to live my life without you  me
KLqyge_BCJc,231040,235760,the days would all be empty
KLqyge_BCJc,236480,247050,the nights would seem so long  [Music]
KLqyge_BCJc,249460,254720,[Music]  strong
KLqyge_BCJc,254720,262160,our dreams are young and we both know  they take us where we want to go
KLqyge_BCJc,262160,271280,hold me now  touch me now  i don't want to live without you
KLqyge_BCJc,271280,278160,nothing's gonna change my life for you  you ought to know by now how much i love
KLqyge_BCJc,278160,283039,you  one thing you can't be
KLqyge_BCJc,286120,293360,[Music]
KLqyge_BCJc,293360,297439,the world may change my whole
KLqyge_BCJc,300380,306639,[Music]
KLqyge_BCJc,309280,314560,our love will lead the way for us
KLqyge_BCJc,314960,322560,like a guiding star  i'll be there for you if you should need
KLqyge_BCJc,322560,328720,me you don't have to change your pain  [Music]
KLqyge_BCJc,328720,336479,i love you just the way  you are  so come with me and share the view
KLqyge_BCJc,336479,342240,i'll have you see forever true  hold me now
KLqyge_BCJc,342240,347950,touch me now  i don't want to live without you
KLqyge_BCJc,347950,356240,[Applause]  nothing's gonna change my love for you  you ought to know by now how much i love
KLqyge_BCJc,356240,363919,you  one thing you can't be sure  i'll never ask for more than your love
KLqyge_BCJc,363919,366960,nothing's gonna
KLqyge_BCJc,371180,378680,[Music]  is
KLqyge_BCJc,379520,389709,change  [Music]
KLqyge_BCJc,395020,404240,[Music]
