vid,start,end,text
MpdWFzaQbU4,514,1293,Hello!
MpdWFzaQbU4,2649,4625,You're driving.
MpdWFzaQbU4,4859,6895,Are we certain as to where we're going?
MpdWFzaQbU4,8109,9574,RICO: Where are we going?
MpdWFzaQbU4,9574,11242,"MARIS: Just head to Circle,"
MpdWFzaQbU4,11242,13242,and we'll walk from there.
MpdWFzaQbU4,13242,14261,RICO: Circle?
MpdWFzaQbU4,14262,15751,MARIS: UP Circle.
MpdWFzaQbU4,16171,18607,"RICO: ""Sasamahan ka sa.."" (And I'll go with you to)"
MpdWFzaQbU4,18607,20270,"RICO + MARIS: ""Kyusi"""
MpdWFzaQbU4,22161,29057,"MARIS: ""Iikutin ang UP Diliman"" (We will walk around UP Diliman)"
MpdWFzaQbU4,30318,32082,We're here!
MpdWFzaQbU4,32082,32868,RICO: We're here!
MpdWFzaQbU4,32868,34331,And the rain just stopped!
MpdWFzaQbU4,34331,35111,MARIS: Oh yeah!
MpdWFzaQbU4,35111,36000,So let's go?
MpdWFzaQbU4,36000,36869,RICO: Let's go.
MpdWFzaQbU4,36869,38659,MARIS: LET'S GO!
MpdWFzaQbU4,39079,41079,Let's make this a travel vlog..
MpdWFzaQbU4,42000,43580,..and stuff!
MpdWFzaQbU4,43907,44896,Hey!
MpdWFzaQbU4,44989,46826,You guys are here too?
MpdWFzaQbU4,46826,47724,You're going to film us?
MpdWFzaQbU4,47724,49496,(Laughs)
MpdWFzaQbU4,49496,50376,Come on!
MpdWFzaQbU4,50376,51535,Let's go!
MpdWFzaQbU4,51535,53228,Let's walk around UP!
MpdWFzaQbU4,53228,54645,(Laughs)
MpdWFzaQbU4,54645,55454,"Babe, let's go!"
MpdWFzaQbU4,80961,83901,Have you ever tasted Mang Larry's Isaw?
MpdWFzaQbU4,84000,85650,RICO: Definitely.
MpdWFzaQbU4,87355,87907,(Laughs)
MpdWFzaQbU4,87907,88553,MARIS: You can do it!
MpdWFzaQbU4,89884,90384,(Laughs)
MpdWFzaQbU4,90384,92384,You can do it!
MpdWFzaQbU4,93365,93865,Wait!
MpdWFzaQbU4,93865,95865,Speaking of first - since we're already here and all -
MpdWFzaQbU4,95865,98009,"It's your first time here at this spot, right?"
MpdWFzaQbU4,98010,99532,It's my first time here too.
MpdWFzaQbU4,99789,101789,"RICO: Under this tree, yes. MARIS: Yeah, under this tree."
MpdWFzaQbU4,102186,104895,RICO: Is it your first time preparing vinegar? 'Coz the hole you made is a bit small..
MpdWFzaQbU4,104895,106602,"MARIS: Because!..okay, can you bite on.."
MpdWFzaQbU4,106789,108973,Can you bite a bigger hole on this?
MpdWFzaQbU4,110608,111477,RICO: That's enough.
MpdWFzaQbU4,111757,112800,Give me the plastic.
MpdWFzaQbU4,115028,117028,"MARIS: Because it's our first time here, RICO: Okay."
MpdWFzaQbU4,117182,118598,MARIS: We're going to talk about our firsts.
MpdWFzaQbU4,119112,119828,RICO: Mmmm!
MpdWFzaQbU4,121136,122039,You mean like first communion?
MpdWFzaQbU4,122039,122810,MARIS: Mhmm!
MpdWFzaQbU4,122810,124522,What was your experience on your first communion?
MpdWFzaQbU4,125574,126367,RICO: Not that!
MpdWFzaQbU4,126367,127433,MARIS: I was just kidding!
MpdWFzaQbU4,128203,129539,Why didn't you get that?!
MpdWFzaQbU4,129539,130039,Okay.
MpdWFzaQbU4,130039,132039,MARIS: First Date. RICO: I thought that was serious!
MpdWFzaQbU4,132202,133232,MARIS: First Date.
MpdWFzaQbU4,133559,134111,RICO: Our first date?
MpdWFzaQbU4,134111,134631,MARIS: Yeah!
MpdWFzaQbU4,135939,137939,"Okay, when we got together - right?"
MpdWFzaQbU4,137939,139939,It was difficult for us to go on dates because..
MpdWFzaQbU4,139939,141541,RICO: Mhmm.
MpdWFzaQbU4,141541,144000,MARIS: We didn't want people to see us because..
MpdWFzaQbU4,144000,146919,"MARIS: we were scared people might not like.. RICO: What do you mean ""us""?"
MpdWFzaQbU4,147713,148265,MARIS: Huh?
MpdWFzaQbU4,148265,150265,"RICO: What do you mean ""we were scared""?"
MpdWFzaQbU4,151293,153293,MARIS: We were scared!
MpdWFzaQbU4,153456,154873,RICO: You were more scared.
MpdWFzaQbU4,154873,156474,"MARIS: Oh, I was just the one who was scared. RICO: Yeah."
MpdWFzaQbU4,156474,157417,MARIS: You weren't scared.
MpdWFzaQbU4,157417,157984,RICO: Nope!
MpdWFzaQbU4,157984,158890,I wasn't scared.
MpdWFzaQbU4,158891,160270,MARIS: Okay.
MpdWFzaQbU4,160270,161195,You remember that though?
MpdWFzaQbU4,161195,162121,RICO: Which one?
MpdWFzaQbU4,162121,164418,MARIS: Our first date!
MpdWFzaQbU4,164792,166792,RICO: What is the connection..
MpdWFzaQbU4,167166,170638,What is the connection of it  being a secret at first or something..
MpdWFzaQbU4,170638,172404,I don't get the connection..?
MpdWFzaQbU4,172404,174000,MARIS: Because our very first date was when..
MpdWFzaQbU4,174026,175530,MARIS: We went to.. RICO: The game..?
MpdWFzaQbU4,175917,177188,MARIS: ..Vegas!
MpdWFzaQbU4,177188,179048,Because we were laying low at the time.
MpdWFzaQbU4,179048,179751,"RICO: Oh, is that a part of it?"
