vid,start,end,text
NfaPJdBHDAs,790,15519,[Music]
NfaPJdBHDAs,15519,17920,hello
NfaPJdBHDAs,19439,22880,hello hello hello
NfaPJdBHDAs,22880,25760,you're so beautiful
NfaPJdBHDAs,25760,31439,[Music]
NfaPJdBHDAs,31439,32090,let's go
NfaPJdBHDAs,32090,35329,[Music]
NfaPJdBHDAs,35440,38960,let's go let's go let's go
NfaPJdBHDAs,38960,41750,do the impossible
NfaPJdBHDAs,41750,46640,[Music]
NfaPJdBHDAs,48000,53280,tell me what you think about this place
NfaPJdBHDAs,53440,58870,right here where dreams are made of
NfaPJdBHDAs,58870,64000,[Music]
NfaPJdBHDAs,64000,67439,tell me what you think about the weather
NfaPJdBHDAs,67439,70560,we can do the small talk till we get
NfaPJdBHDAs,70560,73439,bored like a feather
NfaPJdBHDAs,73439,75439,we're floating
NfaPJdBHDAs,75439,77439,we're floating
NfaPJdBHDAs,77439,80680,we're floating
NfaPJdBHDAs,81439,83439,we're floating
NfaPJdBHDAs,83439,85050,we're floating
NfaPJdBHDAs,85050,89250,[Music]
NfaPJdBHDAs,89439,91439,we're floating
NfaPJdBHDAs,91439,93439,we're floating
NfaPJdBHDAs,93439,95800,we're floating
NfaPJdBHDAs,95800,97439,[Music]
NfaPJdBHDAs,97439,100439,with
NfaPJdBHDAs,100780,105349,[Music]
NfaPJdBHDAs,105439,108710,we're floating we're floating
NfaPJdBHDAs,108710,127069,[Music]
NfaPJdBHDAs,127200,130479,it's all right
NfaPJdBHDAs,131520,134720,all right all right all right
NfaPJdBHDAs,134720,138340,to take our time
NfaPJdBHDAs,138340,152000,[Music]
NfaPJdBHDAs,152000,153350,right
NfaPJdBHDAs,153350,159070,[Music]
NfaPJdBHDAs,160000,165440,tell me what you think about this place
NfaPJdBHDAs,165440,170890,right here where dreams are made of
NfaPJdBHDAs,170890,176000,[Music]
NfaPJdBHDAs,176000,179440,tell me what you think about the weather
NfaPJdBHDAs,179440,182560,we can do the small talk till we get
NfaPJdBHDAs,182560,185360,bored
NfaPJdBHDAs,186350,195440,[Music]
NfaPJdBHDAs,195440,198440,we're
NfaPJdBHDAs,201840,216610,[Music]
NfaPJdBHDAs,217440,220190,we're falling
NfaPJdBHDAs,220190,267440,[Music]
NfaPJdBHDAs,267440,270680,we're floating
NfaPJdBHDAs,271040,271070,[Music]
NfaPJdBHDAs,271070,272470,[Applause]
NfaPJdBHDAs,272470,319029,[Music]
NfaPJdBHDAs,321670,347280,[Music]
NfaPJdBHDAs,347280,349900,so
NfaPJdBHDAs,349900,583360,[Music]
NfaPJdBHDAs,583360,586720,when you had your chance
NfaPJdBHDAs,586720,590000,and you blew it
NfaPJdBHDAs,590000,592560,it was built to last but you breathed
NfaPJdBHDAs,592560,594880,right through it
NfaPJdBHDAs,594880,598240,what a sad sad day
NfaPJdBHDAs,598240,601720,when you realized
NfaPJdBHDAs,602320,614720,[Music]
NfaPJdBHDAs,614720,619480,so i told you to leave
NfaPJdBHDAs,621850,624720,[Music]
NfaPJdBHDAs,624720,628199,when you realize
NfaPJdBHDAs,628600,636399,[Music]
NfaPJdBHDAs,636399,639399,is
NfaPJdBHDAs,641400,648690,[Music]
NfaPJdBHDAs,649600,652600,is
NfaPJdBHDAs,665920,669600,now i know it's better
NfaPJdBHDAs,669600,671160,to look
NfaPJdBHDAs,671160,674000,ahead and
NfaPJdBHDAs,674000,680509,[Music]
NfaPJdBHDAs,683600,686570,here upon this earth
NfaPJdBHDAs,686570,690560,[Music]
NfaPJdBHDAs,690560,694640,and i pray the next time that i love so
NfaPJdBHDAs,694640,697640,sweet
NfaPJdBHDAs,705210,709600,[Music]
NfaPJdBHDAs,709600,714199,this time i will see
NfaPJdBHDAs,719200,722200,is
NfaPJdBHDAs,724650,731499,[Music]
NfaPJdBHDAs,732399,735399,is
NfaPJdBHDAs,736510,748480,[Music]
NfaPJdBHDAs,748480,751480,so
NfaPJdBHDAs,752990,777730,[Music]
NfaPJdBHDAs,778800,781800,is
NfaPJdBHDAs,783770,818480,[Music]
NfaPJdBHDAs,818480,821210,is
NfaPJdBHDAs,821210,835320,[Music]
NfaPJdBHDAs,840959,840959,i'm looking at is
NfaPJdBHDAs,855120,857040,you
NfaPJdBHDAs,857040,865100,[Music]
NfaPJdBHDAs,870639,873639,is
NfaPJdBHDAs,874870,926240,[Music]
NfaPJdBHDAs,926240,930040,i'm looking at you
