vid,start,end,text
NkELZdBhZLM,6072,11477,"(♪♪)  >> Andrew: TONIGHT, A RUSSIAN  MISSILE STRIKES A PACKED"
NkELZdBhZLM,11477,17050,UKRAINIAN SHOPPING MALL.  >> I JUST AM OUT OF WORDS.  >> Andrew: WESTERN LEADERS UP
NkELZdBhZLM,17050,24023,THEIR TROOP READINESS.
NkELZdBhZLM,24023,31631,">>> ALSO TONIGHT, A FATAL TRAIN  DERAILMENT IN MISSOURI.  >> IT'S BROKEN.  >> Andrew: LATE AIRLINE BAGGAGE"
NkELZdBhZLM,31631,36970,PILES UP.  SO DOES PASSENGER FRUSTRATION.  >> THEY NEED TO FIX THIS.  PEOPLE CAN'T GO THROUGH THIS.  >> Andrew: AND IOANNA  ROUMELIOTIS' BROTHER NEEDED A
NkELZdBhZLM,36970,42308,"KIDNEY, SO SHE DONATED HERS."
NkELZdBhZLM,42308,47313,">> I HAVE TO CONSIDER MYSELF  VERY, VERY  LUCKY THAT I HAD YOU.  >> Andrew: A FAMILY STORY AND A"
NkELZdBhZLM,47313,53119,"UNIVERSAL MESSAGE.  >>> THIS IS ""THE NATIONAL.""  (♪♪)"
NkELZdBhZLM,53119,59659,">>> GOOD EVENING, I'M ANDREW  CHANG.  ADRIENNE IS AWAY.  >>> IN UKRAINE, CREWS ARE  SEARCHING FOR SURVIVORS AND"
NkELZdBhZLM,59659,66098,BODIES IN THE SMOULDERING RUINS  OF A SHOPPING MALL.  IT WAS THE TARGET OF A RUSSIAN  MISSILE STRIKE.  UKRAINE'S PRESIDENT CALLED IT
NkELZdBhZLM,66098,72038,ONE OF THE MOST BRAZEN TERRORIST  ATTACKS IN EUROPE'S HISTORY.  AT LEAST 16 ARE DEAD THERE AND
NkELZdBhZLM,72038,79878,IT WASN'T THE ONLY CIVILIAN  TARGET.  CHRIS BROWN IS IN KHARKIV AND  HAS THE DETAILS.
NkELZdBhZLM,79878,85484,>> Reporter: AN INFERNO OF  FLAMES AND TOWERING BLACK SMOKE  IS ALL THAT'S LEFT OF ANOTHER  CIVILIAN TARGET HIT BY RUSSIAN
NkELZdBhZLM,85484,90657,MISSILES.  A SHOPPING MALL IN CENTRAL
NkELZdBhZLM,90657,98731,"UKRAINE.  THE COUNTRY'S PRESIDENTIAL  ADMINISTRATION  SAYS THAT MORE THAN 1,000 PEOPLE  WERE INSIDE.  >>(SPEAKING ALTERNATE LANGUAGE)."
NkELZdBhZLM,98731,103936,">> Reporter: ""IS ANYBODY ALIVE,  IS ANYBODY ALIVE?""  SOMEBODY CALLS OUT.  >> I WAS NOT FAR AWAY FROM THE"
NkELZdBhZLM,103936,109208,PLACE WHERE IT HAPPENED.  >> Reporter: UDINE MENDICKO WAS  NEARBY AND SAW IT ALL.
