vid,start,end,text
OcinvnjG6tM,0,23085,[Music]
OcinvnjG6tM,23085,25561, Ek Choti si
OcinvnjG6tM,25562,28317,Shuruaat hai
OcinvnjG6tM,28317,30937,Hame chahiye
OcinvnjG6tM,30937,33759,tera sath hai
OcinvnjG6tM,33759,36460,Chupe hue
OcinvnjG6tM,36460,39106,kayi raaz hai
OcinvnjG6tM,39106,41684,Dabi hui
OcinvnjG6tM,41685,44722,awaaz hai...
OcinvnjG6tM,46752,51746,Begunah jo seh rahe unke
OcinvnjG6tM,51746,56930,Haq ke liye ladna hai
OcinvnjG6tM,57078,62348,Mitaana hai andhero ko
OcinvnjG6tM,62348,68042,Jo naa kiya karna hai... 
OcinvnjG6tM,69075,71720,Ab nahi sehna hai
OcinvnjG6tM,71721,74341,Ab nahi rukna hai
OcinvnjG6tM,74341,77129, Ab nahi darna hai
OcinvnjG6tM,77129,79695,Jagruk Ban na hai
OcinvnjG6tM,79695,82409,Ab nahi sehna hai
OcinvnjG6tM,82409,85069,Ab nahi rukna hai
OcinvnjG6tM,85069,87850,Ab nahi darna hai
OcinvnjG6tM,87850,96731,Jagruk Ban na hai (x3)
OcinvnjG6tM,96732,111932,[ Music ]
OcinvnjG6tM,111932,113257,"12th class me phoda maine,"
OcinvnjG6tM,113258,114423,"mila tha distinction,"
OcinvnjG6tM,114423,115696,"Badi baat bade khwaab,"
OcinvnjG6tM,115696,117319,"bada tha mera ambition, "
OcinvnjG6tM,117319,119648,Lag raha jaise hogayi life apni set
OcinvnjG6tM,119648,122334,Pehle kar lunga mai CA uske baad dedunga CAT
OcinvnjG6tM,122334,124927,"Local college me awai leliya, B.Com me admission"
OcinvnjG6tM,124927,127978,"CA Exam par kar lunga focus, side me graduation"
OcinvnjG6tM,129201,130923,"ye zindagi hai,"
OcinvnjG6tM,130923,132668,"bollywood nahi,"
OcinvnjG6tM,132668,135503,yaha har kahani ki happy ending nahi hoti
OcinvnjG6tM,135503,138587,[ Music ]
OcinvnjG6tM,138587,141000,"4 saal lagaye maine, Na CA hua na CAT. "
OcinvnjG6tM,141000,144000,Mummy boli shadi karle papa ki shop jaake baith
OcinvnjG6tM,144000,146364,Bas B.Com ki degree thi and that too from local college
OcinvnjG6tM,146364,147862,"zero classes, zero skills"
OcinvnjG6tM,147863,149212,zero thi apni knowledge
OcinvnjG6tM,149212,150459,Na Job mili na respect mili
OcinvnjG6tM,150459,151907,Aur Girlfriend ne bhi choda
OcinvnjG6tM,151907,154602,"MLM ke chakkar me dosto ne naata toda,"
OcinvnjG6tM,154602,157114,"Insurance ke naam pe kharid liya tha ULIP,"
OcinvnjG6tM,157114,159784,No money left to buy stocks at the dip
OcinvnjG6tM,160525,162312,"Dusro ki khoob suni,"
OcinvnjG6tM,162313,164537,iss baar laga khud ki bhi sun le
OcinvnjG6tM,164779,166360,Youtube se seekh seekh kar main
OcinvnjG6tM,166360,167767,"karne laga tha freelancing,"
OcinvnjG6tM,167767,170548,"Video Editing, Content Writing aur even di fitness training "
OcinvnjG6tM,170548,172993,Aise hi ek session me hui Rishabh se mulakaat
OcinvnjG6tM,172993,175667,Bina money ko mind kare ki LLA ki shuruaat
OcinvnjG6tM,175667,178327,Apni galtiyon se jo seekha hai bas wahi tumhe bataya
OcinvnjG6tM,178327,179532,ye bas aapka pyaar hai
OcinvnjG6tM,179532,181357,jo MMM mujhe banaya
OcinvnjG6tM,181869,183640,"To bolo, kya karna hai?"
OcinvnjG6tM,183640,186415,[ Music ]
OcinvnjG6tM,186415,188995,Beimaani se
OcinvnjG6tM,188995,191719,hame ladna hai
OcinvnjG6tM,191719,193737,Sacchai ka
OcinvnjG6tM,193737,196970,ujiyaara karna hai
OcinvnjG6tM,196970,199645,Yeh jung hai
OcinvnjG6tM,199645,202443,teri khud se hi
OcinvnjG6tM,202443,204915,Tujhe khud hi ko
OcinvnjG6tM,204915,207364,badalna hai
OcinvnjG6tM,207364,209952,Ab nahi sehna hai
OcinvnjG6tM,209952,212984,Ab nahi rukna hai
OcinvnjG6tM,212984,215722,Ab nahi sehna hai
OcinvnjG6tM,215723,218263,Ab nahi rukna hai
OcinvnjG6tM,218263,220975,Ab nahi darna hai
OcinvnjG6tM,220975,223633,Jagruk Ban na hai
OcinvnjG6tM,223633,226149,Ab nahi sehna hai
OcinvnjG6tM,226149,229039,Ab nahi rukna hai
OcinvnjG6tM,229039,231717,Ab nahi darna hai
OcinvnjG6tM,231717,253455,Jagruk ban na hai (x6)
OcinvnjG6tM,253455,260816,[ Credits ]
OcinvnjG6tM,260816,291960,[ Post Credits Scene ]
OcinvnjG6tM,291960,295044,Share with Jagruk Janta :)
