vid,start,end,text
PKrI_QRoJH4,100,1520,[Music]
PKrI_QRoJH4,1520,3679,when you lose motivation
PKrI_QRoJH4,3679,5600,there will be moments when you feel
PKrI_QRoJH4,5600,7759,you've lost your motivation and don't
PKrI_QRoJH4,7759,9599,want to do anything
PKrI_QRoJH4,9599,12080,even people who are successful in life
PKrI_QRoJH4,12080,14559,and work fall into the state
PKrI_QRoJH4,14559,16640,however let's see how they deal with
PKrI_QRoJH4,16640,19439,this down mentality that helps them move
PKrI_QRoJH4,19439,22160,forward and achieve great things
PKrI_QRoJH4,22160,24480,motivation is one of the master keys
PKrI_QRoJH4,24480,26160,that will motivate you and keep you
PKrI_QRoJH4,26160,27840,going every day
PKrI_QRoJH4,27840,30320,if you're not motivated you'll tend to
PKrI_QRoJH4,30320,33280,procrastinate about what has to be done
PKrI_QRoJH4,33280,35760,in the end you will feel depressed
PKrI_QRoJH4,35760,37840,helpless and give up on everything or
PKrI_QRoJH4,37840,40079,completely give up on the project work
PKrI_QRoJH4,40079,41920,you are working on
PKrI_QRoJH4,41920,44800,so the following solutions will be 5
PKrI_QRoJH4,44800,46960,great ways for you to overcome this
PKrI_QRoJH4,46960,48640,terrible state
PKrI_QRoJH4,48640,50399,listen together
PKrI_QRoJH4,50399,53760,1. remember why you want to do it
PKrI_QRoJH4,53760,56000,if you feel a lack of motivation when
PKrI_QRoJH4,56000,58640,you want to write an essay try to think
PKrI_QRoJH4,58640,61039,about why you want to do it
PKrI_QRoJH4,61039,63120,your reasons for doing something are the
PKrI_QRoJH4,63120,66159,driving force behind all your actions
PKrI_QRoJH4,66159,69920,for example why do people stop smoking
PKrI_QRoJH4,69920,72240,most people stop smoking because they
PKrI_QRoJH4,72240,74240,have a powerful reason
PKrI_QRoJH4,74240,76479,if they continue to smoke they can
PKrI_QRoJH4,76479,78880,suffer serious health problems that can
PKrI_QRoJH4,78880,80960,affect their loved ones
PKrI_QRoJH4,80960,83280,so why do you do these jobs
PKrI_QRoJH4,83280,85520,do you know why you want to achieve your
PKrI_QRoJH4,85520,86640,goal
PKrI_QRoJH4,86640,88640,make sure your reasons are strong and
PKrI_QRoJH4,88640,90079,realistic
PKrI_QRoJH4,90079,92720,when you feel unmotivated think about
PKrI_QRoJH4,92720,94799,why you want to do it
PKrI_QRoJH4,94799,95680,2.
PKrI_QRoJH4,95680,98320,visualize success if you do it and feel
PKrI_QRoJH4,98320,101200,regret if you don't intuitive is a
PKrI_QRoJH4,101200,103200,powerful tool that you have available
PKrI_QRoJH4,103200,105200,and is completely free
PKrI_QRoJH4,105200,107280,you can think and imagine whatever
PKrI_QRoJH4,107280,109759,wherever and whenever you want
PKrI_QRoJH4,109759,112560,try to imagine vividly in as much detail
PKrI_QRoJH4,112560,115520,as possible for example your dream is to
PKrI_QRoJH4,115520,117840,drive a mercedes benz
PKrI_QRoJH4,117840,119759,picture vividly that you are driving
PKrI_QRoJH4,119759,121119,that car
PKrI_QRoJH4,121119,124079,imagine the model you want the color the
PKrI_QRoJH4,124079,126640,feeling when you sit inside the smell of
PKrI_QRoJH4,126640,129280,the leather upholstery feel the steering
PKrI_QRoJH4,129280,132000,and hear the rumbling engine sound
