vid,start,end,text
RGFepU7VXcY,380,1213,- Hello everyone.
RGFepU7VXcY,1213,4566,"So today I'm going to offend you, fun."
RGFepU7VXcY,4566,6609,"No, I'm going to share fashion mistakes"
RGFepU7VXcY,6610,7630,that I think are just aging you.
RGFepU7VXcY,7630,9110,"It's making you look way older than you are,"
RGFepU7VXcY,9110,11379,"and I'm sure you know, well"
RGFepU7VXcY,11380,12480,I don't really do any of this stuff.
RGFepU7VXcY,12480,13809,I'm not saying I look super young.
RGFepU7VXcY,13810,16440,I am in my thirties and I don't know.
RGFepU7VXcY,16440,17540,Maybe I look way older than that
RGFepU7VXcY,17540,20750,but these are specific things that I see everywhere
RGFepU7VXcY,20750,24780,and I swear it makes you look way older in a bad way.
RGFepU7VXcY,24780,27060,So I'll be very specific in this video.
RGFepU7VXcY,27060,28590,If you have some of these items
RGFepU7VXcY,28590,30600,and you think it's just super flattering on you
RGFepU7VXcY,30600,31860,then you keep wearing it
RGFepU7VXcY,31860,32870,but this is just my opinion.
RGFepU7VXcY,32870,34440,"So I will be sharing,"
RGFepU7VXcY,34440,35989,the bad fashion mistakes that I see
RGFepU7VXcY,35990,37420,and then ways to improve it.
RGFepU7VXcY,37420,38809,So let's just get started with the first one
RGFepU7VXcY,38810,40150,that everyone always talks about.
RGFepU7VXcY,40150,42470,"This is nothing new, but I definitely agree with it"
RGFepU7VXcY,42470,43970,and it's Capri pants.
RGFepU7VXcY,43970,45210,And here's what I'm talking about
RGFepU7VXcY,45210,47899,which I'm sure you're all very well aware of Capri pants.
RGFepU7VXcY,47900,49620,"You might have some, you might still wear them."
RGFepU7VXcY,49620,52230,"I mean, heck you can still buy Capri pants"
RGFepU7VXcY,52230,54230,but I don't think they're ideal for a couple reasons.
RGFepU7VXcY,54230,56290,"Number one, they are out of style."
RGFepU7VXcY,56290,57770,They're absolutely out of style.
RGFepU7VXcY,57770,60680,"Number two, they are very, very unflattering."
RGFepU7VXcY,60680,63400,They actually cut your leg off at the worst spot.
RGFepU7VXcY,63400,66230,"It cuts your leg off right at the center of your calf,"
RGFepU7VXcY,66230,67290,which is that muscle
RGFepU7VXcY,67290,70280,and it makes your legs look way chunkier
RGFepU7VXcY,70280,72520,and way stumpier than they really are.
RGFepU7VXcY,72520,75930,And because of the bizarre length of the Capri pants
RGFepU7VXcY,75930,79230,"it actually tricks our eyes into thinking, you know"
RGFepU7VXcY,79230,81170,like when you're looking at somebody wearing Capri pants
RGFepU7VXcY,81170,83320,it makes it look like they torso
RGFepU7VXcY,83320,87070,"is the same length as their legs, which is really bad."
RGFepU7VXcY,87070,89330,We want to have long looking legs.
RGFepU7VXcY,89330,90340,That's what makes us look younger
RGFepU7VXcY,90340,92670,when we have like longer leaner legs.
RGFepU7VXcY,92670,95600,So the Capri pants completely wipes that out
RGFepU7VXcY,95600,97909,and I know Capri pants are technically kind of
RGFepU7VXcY,97910,101600,"a warmer weather style, you know, in the summer,"
RGFepU7VXcY,101600,103100,"kinda like it let's air flow in,"
RGFepU7VXcY,103100,105220,"but they're not really like it, they're still pants."
RGFepU7VXcY,105220,109840,So I would say to kind of look younger and fresher just
RGFepU7VXcY,109840,111990,you can still wear maybe ankle pants.
RGFepU7VXcY,111990,114310,"It's gonna give you the same effect, but again"
RGFepU7VXcY,114310,116810,it cuts you off on the smaller portion of your leg
RGFepU7VXcY,116810,118360,and way more flattering.
RGFepU7VXcY,118360,121640,"Bermuda shorts, I'll cut to the chase, short and sweet"
RGFepU7VXcY,121640,122473,very similar to Capri pants.
RGFepU7VXcY,122473,124570,They're just a bizarre length.
RGFepU7VXcY,124570,127200,I didn't love them when they were in-style
RGFepU7VXcY,127200,129099,but they're absolutely out of style now
RGFepU7VXcY,129100,130250,but I still see them around
RGFepU7VXcY,130250,132920,"and I kind of understand why, like I know they're shorts,"
RGFepU7VXcY,132920,135770,"that they conceal a larger portion of your legs,"
RGFepU7VXcY,135770,137120,so if you don't love your legs
RGFepU7VXcY,137120,138340,you feel more comfortable in them
RGFepU7VXcY,138340,140610,and it's great for the hotter temperatures
RGFepU7VXcY,140610,142240,but I'm not saying you need to wear
RGFepU7VXcY,142240,144480,Jessica Simpson cutoff shorts and show how off your butt.
RGFepU7VXcY,144480,149239,"No, all I'm saying is the Bermuda shorts are out of style,"
RGFepU7VXcY,149240,152760,"aging, it's not flattering, it cuts your leg off 50 50."
RGFepU7VXcY,152760,154720,I just think wearing a normal pair of shorts
RGFepU7VXcY,154720,156210,maybe a little bit above your knee
RGFepU7VXcY,156210,158250,would instantly make you look younger.
RGFepU7VXcY,158250,160480,Next we have bulky shoes
RGFepU7VXcY,160480,163209,"and I am well aware, like I'm still in my thirties."
RGFepU7VXcY,163210,167410,I feel like this is going to be not well received.
RGFepU7VXcY,167410,168820,Like this is not gonna be a video
RGFepU7VXcY,168820,169720,where people are happy with me
