vid,start,end,text
TosGFLJUf7k,6799,9200,growing up i was the weakest person in
TosGFLJUf7k,9200,11519,the world i thought in my mind
TosGFLJUf7k,11519,13360,and the most important conversation is
TosGFLJUf7k,13360,15120,the one you have with yourself
TosGFLJUf7k,15120,17600,so when you think that it becomes truth
TosGFLJUf7k,17600,20160,i do believe now there's not many people
TosGFLJUf7k,20160,22640,on the planet who can do what i do
TosGFLJUf7k,22640,24480,i don't do it for money i don't do it
TosGFLJUf7k,24480,26080,for fame i don't do it for a
TosGFLJUf7k,26080,27840,professional sport i don't do it for a
TosGFLJUf7k,27840,30080,trophy i don't know many people who get
TosGFLJUf7k,30080,32480,up and get after like i do on a daily
TosGFLJUf7k,32480,35840,basis for absolutely nothing no one sees
TosGFLJUf7k,35840,38160,me no one knows me no one knows
TosGFLJUf7k,38160,40960,half the crap i do on a daily basis and
TosGFLJUf7k,40960,42480,i don't know of anybody who would do it
TosGFLJUf7k,42480,44399,for nothing just for nothing just for
TosGFLJUf7k,44399,45600,pure
TosGFLJUf7k,45600,47360,fact of i'm trying to get harder and
TosGFLJUf7k,47360,49280,tougher mentally and physically every
TosGFLJUf7k,49280,51440,day of my life
TosGFLJUf7k,51440,53199,it's how it's supposed to look
TosGFLJUf7k,53199,55280,it's supposed to be like this
TosGFLJUf7k,55280,56960,i'm supposed to be battered i'm supposed
TosGFLJUf7k,56960,59359,to be bruised i'm supposed to be beaten
TosGFLJUf7k,59359,61920,this is how it's supposed to look man
TosGFLJUf7k,61920,64478,this is how and then my mindset started
TosGFLJUf7k,64478,67119,slowly changing to
TosGFLJUf7k,67119,68960,it's supposed to look like a flower
TosGFLJUf7k,68960,72479,garden a rose garden to nah man
TosGFLJUf7k,72479,75360,it's supposed to look like a sewer
TosGFLJUf7k,75360,76960,it's supposed to be hard man it's
TosGFLJUf7k,76960,78640,supposed to be grimy supposed to be
TosGFLJUf7k,78640,80960,gritty supposed to be horrible
TosGFLJUf7k,80960,83840,it's supposed to be really ugly
TosGFLJUf7k,83840,86640,and the more my mind changed
TosGFLJUf7k,86640,88640,the more i thought to myself no i'm
TosGFLJUf7k,88640,90799,supposed to fail
TosGFLJUf7k,90799,93360,this is how i'm going to grow
TosGFLJUf7k,93360,95520,and the more that changed the more my
TosGFLJUf7k,95520,97759,reality changed more mindset changed the
TosGFLJUf7k,97759,100799,more my life changed the more i started
TosGFLJUf7k,100799,102560,to accept the fact that
TosGFLJUf7k,102560,104720,i can take a lot of pain i started
TosGFLJUf7k,104720,106560,looking at my life
TosGFLJUf7k,106560,109520,as the ultimate training ground to where
TosGFLJUf7k,109520,111360,i wanted to go
TosGFLJUf7k,111360,113360,so i was starting to develop this
TosGFLJUf7k,113360,115439,indestructible toolbox
TosGFLJUf7k,115439,117759,along this path
TosGFLJUf7k,117759,119360,even though my life gave me a lot of
TosGFLJUf7k,119360,120799,challenges
TosGFLJUf7k,120799,122719,that didn't so people say oh well how
TosGFLJUf7k,122719,124719,can i become hard
TosGFLJUf7k,124719,127040,if my dad didn't beat me if i didn't
TosGFLJUf7k,127040,128720,stutter if i wasn't called names if i
TosGFLJUf7k,128720,130080,wasn't bullied
TosGFLJUf7k,130080,131680,if i didn't endure all the things you
TosGFLJUf7k,131680,133280,endured
TosGFLJUf7k,133280,135040,yeah all those things
TosGFLJUf7k,135040,136560,can make you hard but they can make you
TosGFLJUf7k,136560,137840,very soft
TosGFLJUf7k,137840,140000,i made a choice
TosGFLJUf7k,140000,142080,and those things didn't make me hard i
TosGFLJUf7k,142080,143920,had to i had to find strength within
TosGFLJUf7k,143920,144800,them
TosGFLJUf7k,144800,147200,where i became hard
TosGFLJUf7k,147200,149680,was the discipline that i the
TosGFLJUf7k,149680,152640,self-discipline key word itself
TosGFLJUf7k,152640,154560,discipline is great self-discipline
TosGFLJUf7k,154560,157519,makes you a master of yourself
TosGFLJUf7k,157519,158959,because no one
TosGFLJUf7k,158959,160959,is helping you that's where you really
TosGFLJUf7k,160959,162800,start to callous your mind
TosGFLJUf7k,162800,164560,you callous your mind not through
TosGFLJUf7k,164560,165840,enduring
TosGFLJUf7k,165840,167760,a hard childhood
TosGFLJUf7k,167760,169519,or a hard life
TosGFLJUf7k,169519,171519,it's enduring the things that make you
TosGFLJUf7k,171519,173280,uncomfortable
TosGFLJUf7k,173280,175280,which is we all have this list in our
TosGFLJUf7k,175280,176160,head
TosGFLJUf7k,176160,178480,of the things that we want to stay very
TosGFLJUf7k,178480,180239,clear of
TosGFLJUf7k,180239,182879,some of us are afraid of heights some of
TosGFLJUf7k,182879,184959,us are afraid of getting up early some
TosGFLJUf7k,184959,187120,of us are afraid of cold water some of
TosGFLJUf7k,187120,189360,us are afraid of going to college
TosGFLJUf7k,189360,192400,whatever it may be we have this list
TosGFLJUf7k,192400,195920,that we are staying very clear of
TosGFLJUf7k,195920,198480,you need to get that list put it in
TosGFLJUf7k,198480,199599,front of you
TosGFLJUf7k,199599,201519,and start making that list the only list
TosGFLJUf7k,201519,203200,you go from
TosGFLJUf7k,203200,204239,and
TosGFLJUf7k,204239,205920,during this list
TosGFLJUf7k,205920,208400,is how you start to create the calloused
TosGFLJUf7k,208400,209840,mind
TosGFLJUf7k,209840,211360,you're never going to be able to callous
TosGFLJUf7k,211360,212400,your mind
TosGFLJUf7k,212400,214879,by going to this magical list
TosGFLJUf7k,214879,217280,in the golden tool shed
TosGFLJUf7k,217280,219440,that makes you feel all comfortable and
TosGFLJUf7k,219440,221120,fuzzy inside
TosGFLJUf7k,221120,223360,there's no callous there
TosGFLJUf7k,223360,226640,like i did 4 000 30 pull-ups in 17 hours
TosGFLJUf7k,226640,227840,to break the guinness book of worlds
TosGFLJUf7k,227840,229519,records for most pull-ups
TosGFLJUf7k,229519,232560,in that time period 67 000 pull-ups in
TosGFLJUf7k,232560,234000,nine months
TosGFLJUf7k,234000,237200,67 000 pull-ups in nine months
TosGFLJUf7k,237200,239200,what happens to your hands
TosGFLJUf7k,239200,240959,is they become calloused
TosGFLJUf7k,240959,243120,calluses protect your hands
TosGFLJUf7k,243120,246480,against that hard nasty gritty ass bar
TosGFLJUf7k,246480,248080,that you're gonna touch
TosGFLJUf7k,248080,251040,thousands and thousands of times
TosGFLJUf7k,251040,252959,you have to do that to your mind
TosGFLJUf7k,252959,256720,your mind has to touch hardship
TosGFLJUf7k,256720,259440,it has to be uncomfortable has to be
TosGFLJUf7k,259440,261600,put in a situation where it's forced to
TosGFLJUf7k,261600,262960,grow
TosGFLJUf7k,262960,264400,if you're never forcing your mind to
TosGFLJUf7k,264400,266720,grow there's no calluses calluses will
TosGFLJUf7k,266720,268639,never start to grow
TosGFLJUf7k,268639,271520,so it starts there
TosGFLJUf7k,271520,273840,when i was growing up i realized that a
TosGFLJUf7k,273840,276000,lot of things would motivate me like the
TosGFLJUf7k,276000,278639,round 14 of rocky man you know oh my god
TosGFLJUf7k,278639,281280,there it is man i'm so motivated
TosGFLJUf7k,281280,283840,motivation only lasts for so long and i
TosGFLJUf7k,283840,285680,call motivation crap
TosGFLJUf7k,285680,287440,because only lasts for so long
TosGFLJUf7k,287440,289680,motivation is just that kindling
TosGFLJUf7k,289680,292160,but basically that that motivation could
TosGFLJUf7k,292160,294880,get put out by a storm real quick
TosGFLJUf7k,294880,297040,in a storm in our minds can be
TosGFLJUf7k,297040,298960,pain bills your wife or husband on your
TosGFLJUf7k,298960,300160,nerves your
TosGFLJUf7k,300160,303199,your your kids being sick or or your job
TosGFLJUf7k,303199,304639,getting at you or
TosGFLJUf7k,304639,306479,you're not losing weight fast enough
TosGFLJUf7k,306479,308240,where you fail to test and all these
TosGFLJUf7k,308240,310960,things that life bring you can totally
TosGFLJUf7k,310960,313360,bring the storm of life and put that one
TosGFLJUf7k,313360,315520,hour of fuel out
TosGFLJUf7k,315520,316880,that's motivation
TosGFLJUf7k,316880,318080,a lot of people who are hearing this
TosGFLJUf7k,318080,320000,right now might get motivated from my
TosGFLJUf7k,320000,322479,story or something i said
TosGFLJUf7k,322479,324080,and they may want to go out and start
TosGFLJUf7k,324080,325039,running
TosGFLJUf7k,325039,326479,and they may put their running shoes on
TosGFLJUf7k,326479,327919,and they may make it to a quarter of a
TosGFLJUf7k,327919,329680,mile like i did the first time at a
TosGFLJUf7k,329680,331120,quarter mile
TosGFLJUf7k,331120,332639,you may be winded and extremely
TosGFLJUf7k,332639,333919,exhausted
TosGFLJUf7k,333919,336800,and you may never want to run again
TosGFLJUf7k,336800,338479,and your motivation may be gone because
TosGFLJUf7k,338479,340560,it hurt real bad
TosGFLJUf7k,340560,343039,but a lot of you who are hearing this
TosGFLJUf7k,343039,345120,will go way beyond motivated
TosGFLJUf7k,345120,346800,and they will find
TosGFLJUf7k,346800,348560,a drive
TosGFLJUf7k,348560,350400,and a passion
TosGFLJUf7k,350400,354080,and an inspiration and an obsession
TosGFLJUf7k,354080,355360,and when you start
TosGFLJUf7k,355360,359039,saying words like obsession and drive
TosGFLJUf7k,359039,361520,you become a person that many people
TosGFLJUf7k,361520,364080,don't understand who you are anymore
TosGFLJUf7k,364080,365440,you become a person that people want to
TosGFLJUf7k,365440,367039,put a title on
TosGFLJUf7k,367039,369680,of you're crazy or you're just you know
TosGFLJUf7k,369680,371199,you you know
TosGFLJUf7k,371199,372800,what's wrong with you because they can't
TosGFLJUf7k,372800,374319,understand
TosGFLJUf7k,374319,376319,what is driving you
TosGFLJUf7k,376319,378000,many people in this world don't have the
TosGFLJUf7k,378000,380720,kind of drive to push them through
TosGFLJUf7k,380720,383199,things that are extremely painful
TosGFLJUf7k,383199,384639,and that's why i talk about motivation
TosGFLJUf7k,384639,386160,and drive so much
TosGFLJUf7k,386160,387600,is that you want to be a person that
TosGFLJUf7k,387600,390000,life doesn't get in the way of what you
TosGFLJUf7k,390000,391759,have to accomplish
TosGFLJUf7k,391759,393520,when you're motivated
TosGFLJUf7k,393520,396000,life will put that kingling out
TosGFLJUf7k,396000,398560,and you will lose the spark and you will
TosGFLJUf7k,398560,401759,go right back down to your pathetic life
TosGFLJUf7k,401759,403039,when you're driven
TosGFLJUf7k,403039,405199,you're living off of that big log in the
TosGFLJUf7k,405199,408560,woods that has a that 10 000 hour fuel
TosGFLJUf7k,408560,410880,that burns for days and hours and it
TosGFLJUf7k,410880,413440,keeps burning and burning and burning
TosGFLJUf7k,413440,415280,so that's what drive is about man and
TosGFLJUf7k,415280,416720,you want to get to the point where no
TosGFLJUf7k,416720,417840,matter if
TosGFLJUf7k,417840,419280,you haven't paid your bills if you don't
TosGFLJUf7k,419280,422240,have the right money you still do what
TosGFLJUf7k,422240,424560,you have to do to succeed in life
TosGFLJUf7k,424560,427120,and that's what it's about
TosGFLJUf7k,427120,430000,so we all have these voices in our head
TosGFLJUf7k,430000,432160,we like to not listen to them the one
TosGFLJUf7k,432160,435199,that comforts us and keeps us nice and
TosGFLJUf7k,435199,437520,warm and cuddly and gives us cookies and
TosGFLJUf7k,437520,439599,milk at night time we like that voice
TosGFLJUf7k,439599,441120,voice the one we want to always hear
TosGFLJUf7k,441120,442479,which is why people don't like to listen
TosGFLJUf7k,442479,444880,to me a lot some people do
TosGFLJUf7k,444880,446319,some people don't
TosGFLJUf7k,446319,447840,the only thing that changes you is being
TosGFLJUf7k,447840,448880,real
TosGFLJUf7k,448880,450960,so basically i had to have the courage
TosGFLJUf7k,450960,452319,to go back in it because nothing was
TosGFLJUf7k,452319,453840,getting done i kept on going to that
TosGFLJUf7k,453840,455599,nice cuddly voice in my head saying you
TosGFLJUf7k,455599,456560,know what
TosGFLJUf7k,456560,458400,you don't need to do this
TosGFLJUf7k,458400,460560,that's too much work man you've earned
TosGFLJUf7k,460560,463520,this you deserve this and that mentality
TosGFLJUf7k,463520,464840,got me to
TosGFLJUf7k,464840,466879,297 pounds
TosGFLJUf7k,466879,468560,fat out of shape
TosGFLJUf7k,468560,470400,to me a loser
TosGFLJUf7k,470400,472560,to me making a thousand dollars a month
TosGFLJUf7k,472560,475280,and making a ton of mistakes
TosGFLJUf7k,475280,477520,because mistakes happen on the easy side
TosGFLJUf7k,477520,478720,of life
TosGFLJUf7k,478720,480960,you take the easy road the easy path
TosGFLJUf7k,480960,483039,there's a lot of mistakes over there the
TosGFLJUf7k,483039,484800,hard journey you don't make too many
TosGFLJUf7k,484800,486479,mistakes over here because it's too hard
TosGFLJUf7k,486479,488160,you don't want to repeat it so it's
TosGFLJUf7k,488160,491160,challenging
TosGFLJUf7k,492160,494240,you
