vid,start,end,text
V3WrCx3mwNo,3049,8600,Don't really want to get up and get out of bed?
V3WrCx3mwNo,9139,14580,Yah. I get up and get out of bed.
V3WrCx3mwNo,14580,18680,"I don't really want to work out, I work out."
V3WrCx3mwNo,18680,27200,"I really don't want to hammer on a project, I hammer on the project. As an"
V3WrCx3mwNo,27200,32989,overall rule I do not like procrastination. You need to get things
V3WrCx3mwNo,32989,46059,done but if you are going to rest that is one thing that you should
V3WrCx3mwNo,46059,51190,"procrastinate on, that's the one thing I want you to put off until tomorrow."
V3WrCx3mwNo,51190,61250,Now these could be signals that you need some time off and those signals might be
V3WrCx3mwNo,61250,71750,"right. They could be correct, but don't take today off."
V3WrCx3mwNo,71750,78930,Don't give in to the immediate gratification that is whispering in your
V3WrCx3mwNo,78930,89310,"ear, shut that down. Do not listen to that little voice instead go through the"
V3WrCx3mwNo,89310,99149,"motions, lift the weights, sprint the hill, work on the project, get out of bed."
V3WrCx3mwNo,99150,107310,"If you only have 24 hours in a day, your success is dependent upon how you use the"
V3WrCx3mwNo,107310,110909,"24. You got to hear me people talk about Oprah Winfrey, you know Ted Turner, Warren"
V3WrCx3mwNo,110910,114869,"Buffett, listen to me. I don't care how much money you make. You only get 24 hours in a"
V3WrCx3mwNo,114869,118470,day and the difference between Oprah and the person that's broke is Oprah
V3WrCx3mwNo,118470,126720,"uses her 24 hours wisely. That's it. Listen to me, that's it. You get 24. I"
V3WrCx3mwNo,126720,130770,"don't care if you broke, you grew up broke, I don't care if you grew up rich"
V3WrCx3mwNo,130770,135030,"I don't care if you're in college, you're not in college, you only get 24 hours"
V3WrCx3mwNo,135030,140940,and I blew up literally. I went from being a high school dropout to selling
V3WrCx3mwNo,140940,146070,"6,000 books in less than six months. What happened? About 24 hours. I was like okay"
V3WrCx3mwNo,146070,148620,Eric you got to get a grip on your 24 hours because you bout to be broke for
V3WrCx3mwNo,148620,151830,the rest of your life and that's all I need you to do for me. I can tell you all
V3WrCx3mwNo,151830,155880,about your life if you just write down your 24 hours schedule for me. You let
V3WrCx3mwNo,155880,158549,"me look at it, I can tell you where you going to be in 5 years, I can tell you where"
V3WrCx3mwNo,158549,160620,"you're going to be in ten years, I can tell you where you're going to be 20"
V3WrCx3mwNo,160620,169780,"years if you keep that schedule. I had a teacher in eighth grade, eighth grade"
V3WrCx3mwNo,169780,173920,tell me I wasn't gonna make it to high school. Eighth grade I had a teacher
V3WrCx3mwNo,173920,178720,telling me that foolishness and what did I do I prove them right I went to high
V3WrCx3mwNo,178720,182800,school wiling out. Ninth grade year wiled out so bad that school kicked me out. They was like
V3WrCx3mwNo,182800,186400,"you, we can't even take this no more, kick you out. Go to another school, I"
V3WrCx3mwNo,186400,190299,completely flunk that. Go to a third school and finally begin to get my act
V3WrCx3mwNo,190300,194500,together. I've proven everybody who did not believe in me right and the few people
V3WrCx3mwNo,194500,198090,"who did believe in me, I proved them wrong."
V3WrCx3mwNo,198090,203200,"Again we dealing with, it matters of the heart now. A lot of times we behave in the way we"
V3WrCx3mwNo,203200,207190,behave because we don't feel like we got worth or value. We don't really
V3WrCx3mwNo,207190,211420,recognize the heritage or who we are and what we can do so we just on that I'm
V3WrCx3mwNo,211420,214090,just going to do whatever and get a couple of laughs but when you recognize
V3WrCx3mwNo,214090,218140,"how great you are, when you recognize that champion that's inside you you'll"
V3WrCx3mwNo,218140,222160,say you know what I got more to give. There's more than life than this right
V3WrCx3mwNo,222160,226630,"here. I deserve better. You deserve better and then you'll say you know what, what I'm"
V3WrCx3mwNo,226630,231010,going to do I'm gonna prove everybody who didn't believe in me wrong and the few
V3WrCx3mwNo,231010,234670,people who do believe in me imma prove them right and when you do that
V3WrCx3mwNo,234670,238480,everything inside your life changes. I just started saying before I make
V3WrCx3mwNo,238480,242200,"decisions, I just started saying okay, is this going to make my momma proud or all the"
V3WrCx3mwNo,242200,246959,"people that's hating on me it's just going to make them say 'see, I told you."
V3WrCx3mwNo,249260,254610,"I'm in India speaking, I've found out the culture in India there, in Bangalore I was"
V3WrCx3mwNo,254610,259680,has the highest suicide rate because if these kids do not do well in high
V3WrCx3mwNo,259680,263460,school they know they won't go to college and they know for the rest of
V3WrCx3mwNo,263460,266910,their life they'll end up with poverty and they said I'd rather die than be in poverty.
V3WrCx3mwNo,266910,273510,"That's what you call desperation. What, you're going to settle"
V3WrCx3mwNo,273510,278130,for whatever the world gives you? You're going to settle for living how your mom
V3WrCx3mwNo,278130,281490,"and dad live now? I'm telling you all my young friends, you ain't gotta settle for that."
V3WrCx3mwNo,281490,300750,Most people think that the people that are at a very high level in society are
V3WrCx3mwNo,300750,304140,"cut from a different cloth. They think that they're, they're literally a different"
V3WrCx3mwNo,304140,307590,breed than them and that they're and that they can't get those things. So
V3WrCx3mwNo,307590,312360,that's kind of interesting right and it's always kind of a shocker to have
V3WrCx3mwNo,312360,319069,"the, the myth of that person burst but see here's the thing."
V3WrCx3mwNo,319069,324449,"Although we're not cut from a different cloth, the fact that I mastered"
V3WrCx3mwNo,324449,328440,consistency is the difference and most people will never do that.
V3WrCx3mwNo,330780,335010,No one wants you to succeed right? Only your mom and even your mom doesn't want you to succeed
V3WrCx3mwNo,335010,341100,cause she's afraid you're not gonna call her back. Your brain doesn't want you to be a
V3WrCx3mwNo,341100,344220,big success. Your brain just wants to keep you alive. All your brain wants you
V3WrCx3mwNo,344220,348030,"to do is just pump out one or two kids so that the DNA can continue on, that's it."
V3WrCx3mwNo,348030,357080,Your brain will trick you. You are your own worst enemy. I know that if I fail to
V3WrCx3mwNo,359420,363650,"do that, that I am not instilling those habits, that's going to have, going"
V3WrCx3mwNo,363650,367960,"to have a big-picture long-term goal. Dudes, talent is overrated homie. There's"
V3WrCx3mwNo,369310,378530,no price too great for me. There's nothing too great. I would die
V3WrCx3mwNo,378530,383840,"for, for my dreams. You know what I'm saying?"
V3WrCx3mwNo,383840,387290,"I'm willing to risk it. There's, there's nothing too great, there's"
V3WrCx3mwNo,387290,395690,no amount that I'm not willing to go but you could accomplish anything you want man.
V3WrCx3mwNo,395690,399050,If you're willing to do it. Right? But again you'll realize that what you think
V3WrCx3mwNo,399050,402909,you are is not what you are. You become something else. You literally become
V3WrCx3mwNo,402910,408170,something else. If you want to be someone who's tireless
V3WrCx3mwNo,408170,412160,"you cannot be tired down, you'll become something else. So you don't have those"
V3WrCx3mwNo,412160,415610,"limitations a normal human being has, you don't have that because you become"
V3WrCx3mwNo,415610,418699,something else. You become something that embodies certain things that you're trying
V3WrCx3mwNo,418700,422180,"to move forward. You'll go to any length you, so you're not going get tired because"
V3WrCx3mwNo,422180,426699,"that because do that, at that point you have God on your side. That's not even you anymore dude."
V3WrCx3mwNo,428509,433049,"It's like, you know how? What I do is I focus on maybe one or two or three"
V3WrCx3mwNo,433049,437879,things at a time and then I just do it and then I get that done and then I do
V3WrCx3mwNo,437879,443389,the next thing and then I get that done and then I do the next thing. No one's
V3WrCx3mwNo,444259,448199,"going to put you on. You got, you have to put yourself on. No one's going to put"
V3WrCx3mwNo,448199,452189,"you on. So, so you make that choice you just do your small tasks and you do it but see"
V3WrCx3mwNo,452189,455509,no one wants to hear that. Success is about just quiet little actions. Getting
V3WrCx3mwNo,456860,462119,rid of anything that's unnecessary. Success is like a quiet daily set of
V3WrCx3mwNo,462119,475259,"tasks, real small. Real real small."
V3WrCx3mwNo,475259,483029,It's very quiet. It's a very quiet process where
V3WrCx3mwNo,483029,485459,you're just drawing your state from within yourself doing these like simple little
V3WrCx3mwNo,485459,489569,tasks but finding love in those simple little tasks. It's not this big rah-rah
V3WrCx3mwNo,489569,493610,speech where you do this one thing and something big happens.
V3WrCx3mwNo,495430,500199,I'm tired. I don't want to do it and I got a million reasons not to do it but what I
V3WrCx3mwNo,500200,503620,"do is I make the choice that I say if I can't make myself go do this, how am I"
V3WrCx3mwNo,503620,510669,"going to live my dreams? I found that if I miss one day, I'll miss every day."
V3WrCx3mwNo,510670,525040,"people are always wondering what the next step in life is and I say,"
V3WrCx3mwNo,525040,529300,"ife's a little bit like a maze, you know? Until you walk down one hallway and try to open the door"
V3WrCx3mwNo,529300,534399,you don't know if it's a dead end or not and people are trying to sit back
V3WrCx3mwNo,534400,538930,and that's where the procrastination comes in and look real far down
V3WrCx3mwNo,538930,546089,"the hallway, and I'm like, just walk"
V3WrCx3mwNo,546090,557070,small and steady wins the race what's the fastest way to change your life?
V3WrCx3mwNo,557070,562440,for me I think it's understanding how to set up daily routines with alternating brain and body training
V3WrCx3mwNo,562440,569960,"and, killing procrastination"
V3WrCx3mwNo,571029,576339,"The little win, with your family when you feel like watching TV"
V3WrCx3mwNo,576339,581649,sets you up for another win the next day a little win of getting up at 5 o'clock
V3WrCx3mwNo,581649,588550,"and running your morning routine sets you up for a habit, of a 5am club morning routine"
V3WrCx3mwNo,588550,595899,small daily improvements over time will lead you to stunning results
V3WrCx3mwNo,595899,599740,"it comes down to this Elvis, I think you have to work hard like, just so everybody knows"
V3WrCx3mwNo,599740,604060,"we haven't gotten into this subject yet working hard, is the cost of entry to anything"
V3WrCx3mwNo,604060,608920,you know zero people that are successful that don't work their face off
V3WrCx3mwNo,608920,613180,"you know zero people now, they may have money as mummy and daddy made money and gave it to them"
V3WrCx3mwNo,613180,617938,but people that actually built their own success you know zero people
V3WrCx3mwNo,617939,625310,"that have had success, that did not put in obnoxious amounts of work"
V3WrCx3mwNo,625310,633029,what's the most important key to success? I think it's hunger
V3WrCx3mwNo,633029,637529,"it's not getting satisfied a hunger that doesn't go, a hunger to learn, a hunger to grow, a hunger to serve,"
V3WrCx3mwNo,637529,641670,a hunger to give a hunger to create break throughs
V3WrCx3mwNo,641670,643740,most people are hungry until they make a certain amount of money and then they get comfortable
V3WrCx3mwNo,643740,647100,"and there's nothing wrong with that but it's not about the money,"
V3WrCx3mwNo,647100,651300,"t's not about the business, it's about your growth because every one of us either grows or dies"
V3WrCx3mwNo,651300,654300,"people ask me all the time, what does it take to be happy? I say one word, progress"
V3WrCx3mwNo,654300,659519,progress equals happiness because achieving a goal feels
V3WrCx3mwNo,659519,662970,"good for how long? A week, a month, three months? And then there needs to"
V3WrCx3mwNo,662970,666350,be something else and the reason for something else is because you gotta grow
V3WrCx3mwNo,666350,674160,"imagine a conversation with your future self and that, lets imagine that"
V3WrCx3mwNo,674160,680579,"the you of 20 years from now shows up at your doorstep, and that you"
V3WrCx3mwNo,680579,687089,"is stronger, smarter, wiser, wealthier, healthier, happier and that you shows up at your door"
V3WrCx3mwNo,687089,692100,and it looks at your life and it looks you in the eye
V3WrCx3mwNo,692100,698160,"if that future you is going to give you advice on what to stop, what to start"
V3WrCx3mwNo,698160,701720,what's the first thing they would tell you to be? Or do?
V3WrCx3mwNo,701890,705730,take a step back right now and think about who we all admire in the world
V3WrCx3mwNo,705730,710110,"right? They're all people that punted the system, they're people that practice singing since they were"
V3WrCx3mwNo,710110,713829,"five, there are people that shot 10,000 basketballs every morning"
V3WrCx3mwNo,713829,719230,it's always that it's always that. 99% of the people
V3WrCx3mwNo,719230,722649,right now that are listening to this are playing in the middle
V3WrCx3mwNo,722649,726820,"they're playing in a game that was structured for them they're risk adverse, they fear, and most"
V3WrCx3mwNo,726820,733629,"importantly, they fear what other people think"
V3WrCx3mwNo,734629,741720,"look, I believe that we're all born with lots of goodness in us but life throws curveballs"
V3WrCx3mwNo,741720,749069,"life, the ambition of being alive, helps us dream, and if you've been given a dream"
V3WrCx3mwNo,749069,754519,don't discount that because you're not good enough yet
V3WrCx3mwNo,754519,759209,"develop yourself, weaponise yourself teach yourself to be so good at"
V3WrCx3mwNo,759209,764819,something that is necessary to serve in the area of your dream that now you're
V3WrCx3mwNo,764819,769558,never even thinking about your comfort zones your comfort zone is irrelevant
V3WrCx3mwNo,769559,773519,"what matters is, what are you trying to do with your life? How are you trying to contribute?"
V3WrCx3mwNo,773519,781889,"The one thing that discipline definitely does help you with, is it helps you get things done"
V3WrCx3mwNo,781889,787860,"and when you get things done, when you actually do things you have more success"
V3WrCx3mwNo,787860,793678,"if you have more success, and sometimes a big"
V3WrCx3mwNo,793679,797699,part of success is just not being lazy and just doing it it's like 90% of it is just showing up
V3WrCx3mwNo,797699,802259,"get there and start working, like you're not gonna feel perfect everyday"
V3WrCx3mwNo,802259,806128,it's pretty much the same with everybody that actually gets good at something
V3WrCx3mwNo,806129,810989,there's gotta be those days you push through
V3WrCx3mwNo,810989,814139,and they're probably gonna be more numerous
V3WrCx3mwNo,814139,818938,than the days you don't and so the benefit of discipline in my eyes has always been
V3WrCx3mwNo,818939,825169,that through discipline I get things done.
V3WrCx3mwNo,826040,838649,Those days when I’m tired or worn out or just basically sick of the grind. What
V3WrCx3mwNo,838650,849600,do I do on those days? I go anyways. I get it done even if I’m just going
V3WrCx3mwNo,849600,856259,through the motions. I go through the motions.
V3WrCx3mwNo,856260,860550,"So yep you're in school, yes you probably are getting grades, etc but if"
V3WrCx3mwNo,860550,864450,"it's not meaningful to you, if it's not important to you then you're not going to"
