vid,start,end,text
VJdbyOaUygA,6130,7040,[Music]
VJdbyOaUygA,7040,13599,[Applause]
VJdbyOaUygA,13599,15040,better safe than sorry with something
VJdbyOaUygA,15040,18720,like that you don't want to slip and um
VJdbyOaUygA,19840,22640,that's a good defense
VJdbyOaUygA,22960,25279,oh she's lost the racket
VJdbyOaUygA,25279,26480,oh
VJdbyOaUygA,26480,31190,and then smash starts atlantic rockets
VJdbyOaUygA,31190,32800,[Music]
VJdbyOaUygA,32800,36480,between the two in my grip
VJdbyOaUygA,36480,39440,grace your body's ragged
VJdbyOaUygA,39440,42840,knocked out
VJdbyOaUygA,55920,60239,oh swinging the miss just a mistake
VJdbyOaUygA,63800,65439,[Music]
VJdbyOaUygA,65439,67760,play
VJdbyOaUygA,68479,72080,yourself have faith out there sometimes
VJdbyOaUygA,72080,73920,too quick five
VJdbyOaUygA,73920,76159,four
VJdbyOaUygA,76479,79479,shows
VJdbyOaUygA,83750,94669,[Music]
VJdbyOaUygA,96960,101240,the line was played to perfection
VJdbyOaUygA,102720,105720,here
VJdbyOaUygA,106290,115489,[Music]
VJdbyOaUygA,115920,119758,well they keep giving themselves chances
VJdbyOaUygA,126399,127680,an effective shot isn't it when you go
VJdbyOaUygA,127680,130560,up the body like that
VJdbyOaUygA,140800,143040,watch
VJdbyOaUygA,152560,155360,thank you
VJdbyOaUygA,155360,165840,[Music]
VJdbyOaUygA,165840,168080,two
VJdbyOaUygA,169040,171370,oh times you so much
VJdbyOaUygA,171370,172800,[Music]
VJdbyOaUygA,172800,177200,i have a fan seriously walkabouts yeah
VJdbyOaUygA,177200,179010,i agree
VJdbyOaUygA,179010,186659,[Music]
VJdbyOaUygA,191540,193760,[Music]
VJdbyOaUygA,193760,197239,just come on
VJdbyOaUygA,198940,207690,[Music]
VJdbyOaUygA,211840,214400,get ready
VJdbyOaUygA,216080,219239,get ready
VJdbyOaUygA,220760,227739,[Applause]
VJdbyOaUygA,230320,233040,[Music]
VJdbyOaUygA,233040,236439,just a mistake
VJdbyOaUygA,252000,255239,the show
