vid,start,end,text
VXixvWv93nY,1130,3820,[Musica]
VXixvWv93nY,3820,6800,12 esercizi di stretching che puoi fare
VXixvWv93nY,6800,11480,a casa per bruciare grasso quando si
VXixvWv93nY,11480,13010,tratta di perdere peso
VXixvWv93nY,13010,15290,molti di noi hanno l'impressione che sia
VXixvWv93nY,15290,17240,possibile solo attraverso intensi
VXixvWv93nY,17240,19880,allenamenti cardio tuttavia gli esercizi
VXixvWv93nY,19880,21919,di stretching sono anche utili per
VXixvWv93nY,21919,23570,migliorare il metabolismo la
VXixvWv93nY,23570,25369,circolazione sanguigna e anche
VXixvWv93nY,25369,27500,permettere massa muscolare
VXixvWv93nY,27500,29630,inoltre puoi farli comodamente da casa
VXixvWv93nY,29630,30460,tua
VXixvWv93nY,30460,33200,[Musica]
VXixvWv93nY,33200,40039,esercizio 1 il cobra sdraiate a faccia
VXixvWv93nY,40039,42289,in giù sul tappetino con i piedi uniti e
VXixvWv93nY,42289,45050,le dita dei piedi a punta metti le mani
VXixvWv93nY,45050,48230,direttamente sotto le spalle quindi
VXixvWv93nY,48230,50449,raddrizza le braccia per sollevare la
VXixvWv93nY,50449,52839,parte superiore del corpo dal pavimento
VXixvWv93nY,52839,54980,appoggia la testa all'indietro e
VXixvWv93nY,54980,57109,mantiene i fianchi affondati nel
VXixvWv93nY,57109,59780,tappetino manteniamo questa posizione
VXixvWv93nY,59780,63739,per 30 secondi pronta
VXixvWv93nY,63739,68060,si parte l'allungamento del cobra si
VXixvWv93nY,68060,70310,concentra sulle spalle la schiena il
VXixvWv93nY,70310,72710,petto gli addominali i fianchi e gli
VXixvWv93nY,72710,75020,obliqui allunga molto la colonna
VXixvWv93nY,75020,77450,vertebrale che aiuta a promuovere la
VXixvWv93nY,77450,79100,crescita della cartilagine tra le
VXixvWv93nY,79100,82130,vertebre questo migliorerà lato postura
VXixvWv93nY,82130,91610,e quindi aumenterà la tua altezza ancora
VXixvWv93nY,91610,97130,un paio di secondi bel lavoro esercizio
VXixvWv93nY,97130,102070,numero 2 piegamento del corso da seduto
VXixvWv93nY,103100,104869,siediti sul pavimento con la schiena
VXixvWv93nY,104869,107719,dritta e le gambe davanti a te incrocia
VXixvWv93nY,107719,110060,il piede destro sulla coscia sinistra e
VXixvWv93nY,110060,111740,pianta lo bene a terra
VXixvWv93nY,111740,114079,ora mentre giri il busto verso il
VXixvWv93nY,114079,116180,ginocchio piegato appoggia la mano
VXixvWv93nY,116180,118670,destra sul pavimento dietro di te e
VXixvWv93nY,118670,120409,appoggia il gomito sinistro sul
VXixvWv93nY,120409,121630,ginocchio
VXixvWv93nY,121630,124609,mantieni questa posa per i prossimi 30
VXixvWv93nY,124609,125869,secondi
VXixvWv93nY,125869,130429,tutto chiaro allora iniziamo questo
VXixvWv93nY,130429,132560,esercizio di stretching si concentra
VXixvWv93nY,132560,134900,sulla schiena sugli addominali e sugli
VXixvWv93nY,134900,138170,obliqui impegna tutti i muscoli
VXixvWv93nY,138170,141200,addominali e riduce anche il rischio di
VXixvWv93nY,141200,144640,sviluppare malattie cardiovascolari
VXixvWv93nY,146460,153569,[Musica]
VXixvWv93nY,153870,159490,abbiamo quasi finito qui è perfetto ora
VXixvWv93nY,159490,162490,passiamo all'esercizio successivo
VXixvWv93nY,162490,163590,[Musica]
VXixvWv93nY,163590,171010,esercizio 3 il guerriero stai dritta e
VXixvWv93nY,171010,173140,fai un grande passo in avanti con la
VXixvWv93nY,173140,175720,gamba destra con l'altra gamba dritta
VXixvWv93nY,175720,178450,dietro a the ruota il piede sinistro di
VXixvWv93nY,178450,181800,45 gradi verso il centro del tappeto
VXixvWv93nY,181800,184090,assicurati che la gamba destra sia
VXixvWv93nY,184090,186670,piegata ad un angolo di 90 gradi in modo
VXixvWv93nY,186670,188770,che il tuo ginocchio sia esattamente
VXixvWv93nY,188770,191830,sopra la tua caviglia da questa
VXixvWv93nY,191830,194290,posizione allunga le braccia verso il
VXixvWv93nY,194290,197290,soffitto e mantieni questa posizione per
VXixvWv93nY,197290,201430,30 secondi va bene basta parlare
VXixvWv93nY,201430,206170,facciamolo questo esercizio funziona sui
VXixvWv93nY,206170,209830,fianchi schiena e addominali rafforza
VXixvWv93nY,209830,212950,anche i muscoli più profondo è l'affondo
VXixvWv93nY,212950,216930,più lavori sul muscolo
VXixvWv93nY,231950,234060,la posa del guerriero
VXixvWv93nY,234060,236520,migliora anche il tuo equilibrio e
VXixvWv93nY,236520,238820,questo è tutto
VXixvWv93nY,238820,242010,fai un respiro profondo e vediamo di
VXixvWv93nY,242010,244180,cosa si tratta il prossimo esercizio
VXixvWv93nY,244180,246830,[Musica]
VXixvWv93nY,246830,252810,esercizio numero 4 il ponte sdraiati
VXixvWv93nY,252810,254760,sulla schiena con le ginocchia piegate e
VXixvWv93nY,254760,258090,le braccia lungo i fianchi solleva
VXixvWv93nY,258090,260269,lentamente i fianchi verso il soffitto
VXixvWv93nY,260269,263310,mantenendo i piedi e le spalle premuti
VXixvWv93nY,263310,265490,saldamente contro il pavimento
VXixvWv93nY,265490,268530,continua a sollevare fino a che le
VXixvWv93nY,268530,270510,ginocchia non formino un angolo di 90
VXixvWv93nY,270510,272790,gradi
VXixvWv93nY,272790,274290,pensi di poter tenere questa posizione
VXixvWv93nY,274290,276810,per 30 secondi
VXixvWv93nY,276810,281940,vediamo questo esercizio è un ottimo
VXixvWv93nY,281940,283890,allenamento per i glutei gambe e
VXixvWv93nY,283890,287850,addominali o particolarmente noto per
VXixvWv93nY,287850,292380,tonificare e modellare il sedere e
VXixvWv93nY,292380,294660,nessun altro mal di schiena è un grande
VXixvWv93nY,294660,305780,vantaggio grazie a questo esercizio 3 2
VXixvWv93nY,305780,308800,1 è fatto
VXixvWv93nY,308800,311770,[Musica]
VXixvWv93nY,311770,318139,esercizio numero 5 a fondo laterale da
VXixvWv93nY,318139,319490,una posizione eretta
VXixvWv93nY,319490,322370,fai un grande passo a destra e incline
VXixvWv93nY,322370,324620,ai fianchi verso il pavimento
VXixvWv93nY,324620,326840,fino a quando il tuo ginocchio è piegato
VXixvWv93nY,326840,329539,con un angolo di 90 gradi
VXixvWv93nY,329539,331520,assicurati che il ginocchio rimanga
VXixvWv93nY,331520,335360,direttamente sopra il piede tieni la
VXixvWv93nY,335360,338300,gamba sinistra dritta è tesa verso il
VXixvWv93nY,338300,340340,lato sinistro del corpo con il piede
VXixvWv93nY,340340,342979,appiattito sul pavimento
VXixvWv93nY,342979,345139,ora inclina la parte superiore del corpo
VXixvWv93nY,345139,347720,in avanti e metti entrambe le mani sul
VXixvWv93nY,347720,351380,ginocchio piegato rimaniamo in questa
VXixvWv93nY,351380,356720,posa per i prossimi 30 secondi gli
VXixvWv93nY,356720,358460,affondi laterali hanno un effetto
VXixvWv93nY,358460,361220,positivo sui flessori dell'anca sui
VXixvWv93nY,361220,362990,quadricipiti e sui muscoli posteriori
VXixvWv93nY,362990,364690,della coscia
VXixvWv93nY,364690,367430,l'obiettivo principale però sono le
VXixvWv93nY,367430,371030,gambe questo esercizio le rafforza e di
VXixvWv93nY,371030,375320,sicuro le tonifica ancora dieci secondi
VXixvWv93nY,375320,377919,per finire
VXixvWv93nY,379840,384160,[Musica]
VXixvWv93nY,384490,390850,bel lavoro esercizio numero 6
VXixvWv93nY,390850,394750,allungamento dell'interno coscia
VXixvWv93nY,394970,397070,siediti sul pavimento con la schiena
VXixvWv93nY,397070,400070,dritta avvicina alle piante dei piedi e
VXixvWv93nY,400070,403040,spingi le verso linguine usando i tuoi
VXixvWv93nY,403040,405230,avambracci premi leggermente le
VXixvWv93nY,405230,407810,ginocchia verso il pavimento e sentirai
VXixvWv93nY,407810,410990,un leggero allungamento conoscete la
VXixvWv93nY,410990,416199,prassi 30 secondi d'orologio andiamo
VXixvWv93nY,418810,421340,stendere la parte interna ed esterna
VXixvWv93nY,421340,424070,delle cosce è la chiave per una buona
VXixvWv93nY,424070,427640,flessibilità questa posa in particolare
VXixvWv93nY,427640,429740,colpisce i muscoli delle cosce e
VXixvWv93nY,429740,432110,dell'interno dell'inguine
VXixvWv93nY,432110,434420,se non sei molto flessibile fare questo
VXixvWv93nY,434420,436700,allungamento regolarmente lo cambierà in
VXixvWv93nY,436700,438310,maniera significativa
VXixvWv93nY,438310,447160,altri cinque secondi ancora ben fatto
VXixvWv93nY,447880,452540,esercizio 7 spremere il ginocchio
VXixvWv93nY,452540,454319,[Musica]
VXixvWv93nY,454319,457209,sdraiati sulla schiena porta entrambe le
VXixvWv93nY,457209,459339,ginocchia al petto e tienile lì con le
VXixvWv93nY,459339,462219,braccia sentirai un leggero allungamento
VXixvWv93nY,462219,464589,che naturalmente è il punto centrale dei
VXixvWv93nY,464589,467559,nostri esercizi di oggi quindi
VXixvWv93nY,467559,469749,stringiamo le nostre ginocchia per tutti
VXixvWv93nY,469749,477369,e 30 i secondi questo esercizio funziona
VXixvWv93nY,477369,479409,con i muscoli superiori medi ed
VXixvWv93nY,479409,482499,inferiori e anche ottimo per ridurre e
VXixvWv93nY,482499,484420,sbarazzarsi del dolore al ginocchio
VXixvWv93nY,484420,495360,[Musica]
VXixvWv93nY,495360,498219,fallo lentamente e conoscendo i tuoi
VXixvWv93nY,498219,498899,limiti
VXixvWv93nY,498899,502689,tieni ancora e questo è tutto
VXixvWv93nY,502689,508110,ora andiamo avanti esercizio numero 8
VXixvWv93nY,508110,511738,allungamento del tricipite
VXixvWv93nY,512180,514680,alzati con i piedi alla larghezza delle
VXixvWv93nY,514680,517550,spalle e allunga le braccia verso l'alto
VXixvWv93nY,517550,520680,quindi spiega il gomito destro e tienilo
VXixvWv93nY,520680,523260,con la mano sinistra tira delicatamente
VXixvWv93nY,523260,524910,il gomito verso la parte posteriore
VXixvWv93nY,524910,527670,della testa e mantieni questa posizione
VXixvWv93nY,527670,530340,per 30 secondi
VXixvWv93nY,530340,531529,[Musica]
VXixvWv93nY,531529,540810,321 via lo stretching del tricipite è
VXixvWv93nY,540810,543570,mirato proprio ai tricipiti ovviamente
VXixvWv93nY,543570,546089,così come alla schiena alle spalle e
VXixvWv93nY,546089,548209,persino agli addominali
VXixvWv93nY,548209,550589,questo esercizio migliora la
VXixvWv93nY,550589,553139,flessibilità e la libertà di movimento
VXixvWv93nY,553139,556980,nelle spalle continua a tenere così solo
VXixvWv93nY,556980,566279,per altri dieci secondi e basta
VXixvWv93nY,566279,569190,fai una pausa e poi passeremo al nostro
VXixvWv93nY,569190,572750,prossimo esercizio bruciagrassi
VXixvWv93nY,572750,575940,esercizio numero 9 piega laterale da
VXixvWv93nY,575940,576600,seduto
VXixvWv93nY,576600,579750,[Musica]
VXixvWv93nY,579750,581519,siediti sul pavimento con le gambe
VXixvWv93nY,581519,584760,incrociate possiedi ti su una sedia se
VXixvWv93nY,584760,587640,per te è più comodo solleva il braccio
VXixvWv93nY,587640,590190,sinistro dritto sopra la testa e piegati
VXixvWv93nY,590190,593160,a sinistra un leggero allungamento nella
VXixvWv93nY,593160,595050,parte sinistra significa che stai
VXixvWv93nY,595050,598740,facendo l'esercizio correttamente un
VXixvWv93nY,598740,601560,minuto e mezzo d'orologio inizia ora
VXixvWv93nY,601560,610279,[Musica]
VXixvWv93nY,611520,614560,la piega laterale da seduto è un buon
VXixvWv93nY,614560,617140,allenamento per i tuoi obliqui schiena
VXixvWv93nY,617140,619480,spalle e addominali
VXixvWv93nY,619480,621910,aiuta anche a rilassare la mente e
VXixvWv93nY,621910,631300,alleviare lo stress e l'ansia continua
VXixvWv93nY,631300,636730,stai andando alla grande e è così
VXixvWv93nY,636730,638770,resisti ancora che abbiamo solo altri
VXixvWv93nY,638770,644230,tre esercizi da fare esercizio numero 10
VXixvWv93nY,644230,650380,marco sdraiati sullo stomaco e allunga
VXixvWv93nY,650380,653380,le braccia in su ed indietro piega le
VXixvWv93nY,653380,655330,ginocchia e afferro alle caviglie con le
VXixvWv93nY,655330,658090,mani proprio come tutti gli esercizi
VXixvWv93nY,658090,658960,precedenti
VXixvWv93nY,658960,663030,terremo questa posa per 30 secondi
VXixvWv93nY,664960,669570,siete pronti e vai
VXixvWv93nY,671580,673680,la posa dell'arco è mirata agli
VXixvWv93nY,673680,676740,addominali schiena e fianchi mentre lo
VXixvWv93nY,676740,679230,fai non dimenticare di tenere le spalle
VXixvWv93nY,679230,681510,lontane dalle orecchie se fai
VXixvWv93nY,681510,683880,regolarmente questo esercizio migliorerà
VXixvWv93nY,683880,685470,la tua postura e tonificare gli
VXixvWv93nY,685470,696540,addominali solo altri dieci secondi e
VXixvWv93nY,696540,702780,eccoti esercizio numero 11 cane che
VXixvWv93nY,702780,703890,guarda in basso
VXixvWv93nY,703890,706440,[Musica]
VXixvWv93nY,706440,709410,inizia l'esercizio su mani e ginocchia
VXixvWv93nY,709410,712780,mentre spiri raddrizza le braccia e le
VXixvWv93nY,712780,715060,ginocchia premi i talloni verso il
VXixvWv93nY,715060,717130,pavimento e tira la testa verso i tuoi
VXixvWv93nY,717130,719950,piedi quanti secondi manterremo questa
VXixvWv93nY,719950,721330,posizione
VXixvWv93nY,721330,730900,hai capito 30 via questa cosa si
VXixvWv93nY,730900,733120,concentra su gambe fianchi schiena
VXixvWv93nY,733120,734400,spalle e braccia
VXixvWv93nY,734400,737740,migliora anche la digestione oltre alle
VXixvWv93nY,737740,740110,cose fisiche anche un grande effetto sul
VXixvWv93nY,740110,742210,tuo stato emotivo aiutandoti ad
VXixvWv93nY,742210,744270,affrontare la depressione e lo stress
VXixvWv93nY,744270,755530,non dimenticare il tuo respiro e tempo
VXixvWv93nY,755530,757060,scaduto
VXixvWv93nY,757060,759310,un applauso per te per essere giunto
VXixvWv93nY,759310,761620,fino a qui concludiamo questo
VXixvWv93nY,761620,763120,allenamento con il nostro esercizio
VXixvWv93nY,763120,768550,finale esercizio numero 12
VXixvWv93nY,768550,774430,il triangolo inizia stando sul tappetino
VXixvWv93nY,774430,777250,e allargando di molto i piedi ci
VXixvWv93nY,777250,779260,dovrebbe essere tra di loro una distanza
VXixvWv93nY,779260,782770,"di circa 1,2 metri ruota il piede"
VXixvWv93nY,782770,786190,sinistro verso l'esterno di 45 gradi e
VXixvWv93nY,786190,788190,il piede destro di 90 gradi
VXixvWv93nY,788190,790740,tieni le braccia parallele al pavimento
VXixvWv93nY,790740,793600,ispira e inizia ad allungarsi a sinistra
VXixvWv93nY,793600,796140,come se cercassi di raggiungere qualcosa
VXixvWv93nY,796140,799270,quindi espira che piega il corpo a
VXixvWv93nY,799270,801220,sinistra in modo che la mano sinistra
VXixvWv93nY,801220,804790,tocchi la caviglia o fa un blocco yoga
VXixvWv93nY,804790,806920,sé perché è più comodo
VXixvWv93nY,806920,809080,dopo di che allunga il braccio destro
VXixvWv93nY,809080,811390,verso il cielo continua a guardare in
VXixvWv93nY,811390,813670,alto e mantieni questa posizione per
VXixvWv93nY,813670,818700,altri 30 secondi il tempo stringe
VXixvWv93nY,818750,822799,[Musica]
VXixvWv93nY,823140,826330,questo esercizio lavora gambe obliqui
VXixvWv93nY,826330,828820,fianchi spalle e petto
VXixvWv93nY,828820,830740,inoltre dal tuo corpo un buon
VXixvWv93nY,830740,832990,allungamento e come la maggior parte
VXixvWv93nY,832990,835630,delle posizioni yoga aiuta a rilassare
VXixvWv93nY,835630,837930,il cervello e calmare le emozioni
VXixvWv93nY,837930,842680,[Musica]
VXixvWv93nY,842680,845170,quindi questo è stato l'ultimo esercizio
VXixvWv93nY,845170,847270,per l'allenamento di oggi
VXixvWv93nY,847270,849340,dammi il cinque per essere stata
VXixvWv93nY,849340,853030,fantastica nel superarlo non dimenticare
VXixvWv93nY,853030,855070,di vedere questo video almeno una volta
VXixvWv93nY,855070,857950,alla settimana e rifare con noi questi
VXixvWv93nY,857950,863770,esercizi hanno tonnellate di benefici
