vid,start,end,text
VsDf9UEK8NI,900,5770,[Music]
VsDf9UEK8NI,12680,18000,[Music]
VsDf9UEK8NI,22100,42100,[Music]
VsDf9UEK8NI,42719,43520,one
VsDf9UEK8NI,43520,57039,[Music]
VsDf9UEK8NI,57039,59280,up ain't no looking down so many drills
VsDf9UEK8NI,59280,61520,in that emoji gang to come right now
VsDf9UEK8NI,61520,63520,being beast hauls and ds i'm a different
VsDf9UEK8NI,63520,65518,breed you look as boys and never be like
VsDf9UEK8NI,65518,67200,leaves paper slabs the best aren't in
VsDf9UEK8NI,67200,69680,the city
VsDf9UEK8NI,69760,72960,on her knees and now the [ __ ]
VsDf9UEK8NI,74420,108799,[Music]
VsDf9UEK8NI,108799,111799,me
VsDf9UEK8NI,112400,123150,[Music]
