vid,start,end,text
Y9gQTN4CmsI,1800,3280,[Music]
Y9gQTN4CmsI,3280,6720,this is an ad for mattel
Y9gQTN4CmsI,7250,12400,[Music]
Y9gQTN4CmsI,12400,15519,welcome to the fashion contest you can
Y9gQTN4CmsI,15519,17520,compete and win
Y9gQTN4CmsI,17520,19680,i'm waiting for you
Y9gQTN4CmsI,19680,21840,let's do the contest yes what would be
Y9gQTN4CmsI,21840,23570,fun
Y9gQTN4CmsI,23570,26710,[Music]
Y9gQTN4CmsI,26960,29679,we have to design a costume yay great
Y9gQTN4CmsI,29679,31710,idea
Y9gQTN4CmsI,31710,35780,[Music]
Y9gQTN4CmsI,36320,39680,i'll make a dress
Y9gQTN4CmsI,39760,43870,i'll make a t-shirt and pants
Y9gQTN4CmsI,43870,50369,[Music]
Y9gQTN4CmsI,51039,56520,we're ready for the contest yeah
Y9gQTN4CmsI,59680,63039,we wanna compete
Y9gQTN4CmsI,63120,64660,okay
Y9gQTN4CmsI,64660,66940,[Applause]
Y9gQTN4CmsI,66940,70040,[Music]
Y9gQTN4CmsI,72230,76670,[Applause]
Y9gQTN4CmsI,76670,82840,[Music]
Y9gQTN4CmsI,85280,87380,you are not fashionable
Y9gQTN4CmsI,87380,97399,[Music]
Y9gQTN4CmsI,99600,102320,oh hi girls this is special package from
Y9gQTN4CmsI,102320,103160,barbie
Y9gQTN4CmsI,103160,106260,[Music]
Y9gQTN4CmsI,106479,108799,this is a letter from barbie
Y9gQTN4CmsI,108799,111439,hi girls i thought you could use a
Y9gQTN4CmsI,111439,113520,little fashion inspiration for your
Y9gQTN4CmsI,113520,118640,contest lots of love your friend barbie
Y9gQTN4CmsI,118640,120240,[Music]
Y9gQTN4CmsI,120240,122720,what is this
Y9gQTN4CmsI,122720,131760,[Music]
Y9gQTN4CmsI,131760,134760,ah
Y9gQTN4CmsI,136840,142640,[Music]
Y9gQTN4CmsI,142640,144560,wow
Y9gQTN4CmsI,144560,147040,look they're very fashionable oh yeah
Y9gQTN4CmsI,147040,149520,and very colorful
Y9gQTN4CmsI,149520,151840,wow
Y9gQTN4CmsI,151920,154800,master i have an idea what we could be
Y9gQTN4CmsI,154800,157040,colorful and fashionable costumes like
Y9gQTN4CmsI,157040,158480,they have
Y9gQTN4CmsI,158480,160720,creative ideas
Y9gQTN4CmsI,160720,163160,let's create something fashionable
Y9gQTN4CmsI,163160,171909,[Music]
Y9gQTN4CmsI,173920,175770,go ahead please
Y9gQTN4CmsI,175770,176270,[Music]
Y9gQTN4CmsI,176270,180180,[Applause]
Y9gQTN4CmsI,180180,188250,[Music]
Y9gQTN4CmsI,188250,194440,[Applause]
Y9gQTN4CmsI,194440,198560,[Music]
Y9gQTN4CmsI,198560,205599,[Applause]
Y9gQTN4CmsI,205599,208450,wow
Y9gQTN4CmsI,208450,209700,[Applause]
Y9gQTN4CmsI,209700,210500,[Music]
Y9gQTN4CmsI,210500,212640,[Applause]
Y9gQTN4CmsI,212640,216480,wow how did you create it they inspired
Y9gQTN4CmsI,216480,217230,us
Y9gQTN4CmsI,217230,218880,[Music]
Y9gQTN4CmsI,218880,223120,[Applause]
Y9gQTN4CmsI,223120,224799,thank you
Y9gQTN4CmsI,224799,227519,we have a present for you
Y9gQTN4CmsI,227519,230640,oh thank you
Y9gQTN4CmsI,230640,233120,very fashionable this is an ad for
Y9gQTN4CmsI,233120,234560,mattel
Y9gQTN4CmsI,234560,238610,never do that and never stop trying bye
Y9gQTN4CmsI,238610,242160,[Music]
Y9gQTN4CmsI,242160,245220,[Applause]
