vid,start,end,text
Z-FQgLwsBeY,240,3190,yes
Z-FQgLwsBeY,3190,11050,[Applause]
Z-FQgLwsBeY,18150,33659,[Applause]
Z-FQgLwsBeY,36470,41470,[Applause]
Z-FQgLwsBeY,47420,51209,[Applause]
Z-FQgLwsBeY,61060,64439,[Applause]
Z-FQgLwsBeY,66710,74560,[Applause]
Z-FQgLwsBeY,74560,77560,uh
Z-FQgLwsBeY,78620,83340,[Applause]
Z-FQgLwsBeY,91119,93080,this year
Z-FQgLwsBeY,93080,96930,[Applause]
Z-FQgLwsBeY,96930,100049,[Music]
Z-FQgLwsBeY,105010,118730,[Music]
Z-FQgLwsBeY,118880,120370,so
Z-FQgLwsBeY,120370,131039,[Music]
Z-FQgLwsBeY,133040,140668,[Music]
Z-FQgLwsBeY,142920,154030,[Music]
Z-FQgLwsBeY,154030,155290,[Applause]
Z-FQgLwsBeY,155290,168560,[Music]
Z-FQgLwsBeY,168560,170940,oh my
Z-FQgLwsBeY,170940,174060,[Music]
Z-FQgLwsBeY,175090,183610,[Laughter]
Z-FQgLwsBeY,185599,188599,um
Z-FQgLwsBeY,196330,199679,[Music]
Z-FQgLwsBeY,208930,217228,[Applause]
Z-FQgLwsBeY,218400,220000,oh
Z-FQgLwsBeY,220000,223280,[Applause]
Z-FQgLwsBeY,229760,232760,oh
Z-FQgLwsBeY,235490,242380,[Applause]
Z-FQgLwsBeY,242380,250729,[Music]
