vid,start,end,text
Z9RD_wPDlpQ,500,1935,"From calorie count to portion sizes,"
Z9RD_wPDlpQ,1935,3403,we wanted to find out all the differences
Z9RD_wPDlpQ,3403,6039,between Popeyes in the UK and the US.
Z9RD_wPDlpQ,6039,7374,"This is ""Food Wars."""
Z9RD_wPDlpQ,11478,14146,The fountain drinks at Popeyes come in three sizes.
Z9RD_wPDlpQ,14147,16316,"The small, which is 22 ounces,"
Z9RD_wPDlpQ,16316,18852,"the medium, which is 30 ounces,"
Z9RD_wPDlpQ,18852,23689,"and the large, which is, of course, 40 ounces."
Z9RD_wPDlpQ,23690,25458,40 ounces.
Z9RD_wPDlpQ,26559,27961,That's so much soda.
Z9RD_wPDlpQ,27961,29963,"In the UK, drinks only come in two sizes,"
Z9RD_wPDlpQ,29963,32231,as a kids size or as a regular size.
Z9RD_wPDlpQ,32231,33699,"We're not sure how much is in either of these,"
Z9RD_wPDlpQ,33700,35235,so we're going to measure them both.
Z9RD_wPDlpQ,35235,36903,A little over 300.
Z9RD_wPDlpQ,42208,43610,About 450.
Z9RD_wPDlpQ,47881,49749,"But those aren't the biggest, I say!"
Z9RD_wPDlpQ,49749,51151,"Actually, at the Popeyes in the US,"
Z9RD_wPDlpQ,51151,53887,you can also get a gallon of sweet tea
Z9RD_wPDlpQ,54754,56456,and unsweetened tea.
Z9RD_wPDlpQ,56456,60226,One whole gallon.
Z9RD_wPDlpQ,60226,61828,"Ah, look at this!"
Z9RD_wPDlpQ,61828,63563,"Gallon, gallon."
Z9RD_wPDlpQ,63563,65899,"Oh, and don't you hate when dummies do that thing"
Z9RD_wPDlpQ,65899,66733,"where they're like,"
Z9RD_wPDlpQ,66733,69836,"""Hey, the medium is the same size as the large!"""
Z9RD_wPDlpQ,69836,71805,"And it never is, it's a total con, so."
Z9RD_wPDlpQ,71805,73706,"Medium soda, large cup."
Z9RD_wPDlpQ,77644,79912,"Oh, wow, guys!"
Z9RD_wPDlpQ,79913,81548,"The medium's about the same size as the large,"
Z9RD_wPDlpQ,81548,83783,"except for, like, oh, I don't know, 10 ounces!"
Z9RD_wPDlpQ,83783,85217,Dumb TikTokers. You guys aren't even ...
Z9RD_wPDlpQ,85218,87087,out-of-your-league TikTokers.
Z9RD_wPDlpQ,87087,90522,I'm the fast-food king online! All right?
Z9RD_wPDlpQ,93960,95395,When was this cleaned last?
Z9RD_wPDlpQ,98865,102569,"Ooh,"
Z9RD_wPDlpQ,102569,104571,I'm gonna go 36. What do you think?
Z9RD_wPDlpQ,104571,106639,"I mean, it could have been the amount to top of this cup,"
Z9RD_wPDlpQ,106639,109609,"but again, you can't fill this to the brim."
Z9RD_wPDlpQ,109609,110844,You have to put a cap on it.
Z9RD_wPDlpQ,110844,113246,"In the UK, fries just come as a regular serving."
Z9RD_wPDlpQ,113246,116716,"US, we got two Popeyes fries sizes,"
Z9RD_wPDlpQ,116716,117784,a regular and a large.
Z9RD_wPDlpQ,117784,119519,"The regular, as we have here,"
Z9RD_wPDlpQ,119519,121888,"just came with the side of the three-piece we got here,"
Z9RD_wPDlpQ,121888,123223,"and of course a large,"
Z9RD_wPDlpQ,123223,126626,which is a box of just fries.
Z9RD_wPDlpQ,126626,127594,Harry: We're going to weigh these to see
Z9RD_wPDlpQ,127594,129162,how they compare to the US.
Z9RD_wPDlpQ,129162,130729,"Joe: We, of course, now are going to also"
Z9RD_wPDlpQ,130729,133299,weigh our largest fry.
Z9RD_wPDlpQ,134400,139139,Do not sleep on these fries.
Z9RD_wPDlpQ,139139,140640,You'll be surprised to learn
Z9RD_wPDlpQ,140640,144110,that the inside of this scale is disgusting.
Z9RD_wPDlpQ,144110,145745,A Popeyes chicken sandwich in the UK
Z9RD_wPDlpQ,145745,149649,weighs exactly 250 grams.
Z9RD_wPDlpQ,149649,151784,"Joe: In the US, it weighs"
Z9RD_wPDlpQ,151784,155355,270 grams.
Z9RD_wPDlpQ,155355,157556,"In the US, Popeyes signature chicken"
Z9RD_wPDlpQ,157557,159692,comes in seven serving sizes.
Z9RD_wPDlpQ,159692,160627,We'll start with these.
Z9RD_wPDlpQ,160627,162762,"So, of course, the one-piece kids meal,"
Z9RD_wPDlpQ,162762,166599,"then you can upgrade to a two-piece regular meal,"
Z9RD_wPDlpQ,166599,168801,"which comes with a side and a biscuit,"
Z9RD_wPDlpQ,168801,170903,"or you can get yourself the three-piece,"
Z9RD_wPDlpQ,170904,174307,and a four-piece. Side and a biscuit.
Z9RD_wPDlpQ,174307,175909,"From there, you can get yourself"
Z9RD_wPDlpQ,175909,177976,"an eight-piece family meal,"
Z9RD_wPDlpQ,177977,180914,"the 12-piece for the family as well,"
Z9RD_wPDlpQ,180914,182949,"or just for one person over a weekend,"
Z9RD_wPDlpQ,182949,186386,"and the largest, the 16-piece."
Z9RD_wPDlpQ,186386,187453,Are you kidding me?
Z9RD_wPDlpQ,187453,188454,[laughs]
Z9RD_wPDlpQ,188454,191590,How absurd is this? Look at all this chicken.
Z9RD_wPDlpQ,191591,193159,"In the UK, the signature chicken comes"
Z9RD_wPDlpQ,193159,194494,"as a two-piece meal,"
Z9RD_wPDlpQ,194494,195828,"as a three-piece meal,"
Z9RD_wPDlpQ,195828,197263,"as a six-piece sharer,"
Z9RD_wPDlpQ,197263,198531,"as a nine-piece sharer,"
Z9RD_wPDlpQ,198531,200900,"or our largest size, the 12-piece sharer."
Z9RD_wPDlpQ,200900,202502,"Let's weigh a wing, a thigh, and a leg"
Z9RD_wPDlpQ,202502,204137,to see whose chickens are bigger.
Z9RD_wPDlpQ,205305,207540,"So, in the UK, our thigh, leg, and wing combo"
Z9RD_wPDlpQ,207540,209508,came to around 290 grams.
Z9RD_wPDlpQ,210910,214214,"Here we go. First guy up, the leg."
Z9RD_wPDlpQ,214214,217050,"Next up, got that wing."
Z9RD_wPDlpQ,217050,218117,Kind of a wimpy-looking one.
Z9RD_wPDlpQ,218117,220119,"And this one, the thigh."
Z9RD_wPDlpQ,226626,227860,How 'bout the tendies?
Z9RD_wPDlpQ,227860,230230,"In the US, we have these following sizes:"
Z9RD_wPDlpQ,230230,231898,"A kids meal has a one-piece,"
Z9RD_wPDlpQ,231898,235267,but what's up? They gave us two!
Z9RD_wPDlpQ,235268,236869,"And then from there you get a three-piece,"
Z9RD_wPDlpQ,236869,238037,"which they forgot,"
Z9RD_wPDlpQ,239138,241174,"and then we have five-piece,"
Z9RD_wPDlpQ,241174,242308,"comes with a side and a biscuit,"
Z9RD_wPDlpQ,242308,243243,eight pieces.
Z9RD_wPDlpQ,243243,245578,I feel like they're getting bigger as I go along.
Z9RD_wPDlpQ,245578,246980,Look at the size of this tender.
Z9RD_wPDlpQ,246980,249649,Then we have the 12-piece.
Z9RD_wPDlpQ,249649,251284,"I mean, guys, this is like a --"
Z9RD_wPDlpQ,251284,252285,look at this!
Z9RD_wPDlpQ,252285,253686,Did you know they're this big?
Z9RD_wPDlpQ,253686,256189,This is fantastic. I love how big these are.
Z9RD_wPDlpQ,256189,258423,"That's what I'm talking about, Popeyes! Thank you."
Z9RD_wPDlpQ,258424,261060,"And, of course, the 16-piece."
Z9RD_wPDlpQ,261060,262395,Look at this bad boy.
Z9RD_wPDlpQ,262395,264129,Look at the size of these guys.
Z9RD_wPDlpQ,264130,266633,"Tenders in the UK come in four portion sizes,"
Z9RD_wPDlpQ,266633,268568,"as a two-piece, which is the kids meal,"
Z9RD_wPDlpQ,268568,272772,"as a three-piece, a five-piece, and an eight-piece."
Z9RD_wPDlpQ,272772,274140,Next up is the nuggets.
Z9RD_wPDlpQ,274140,275908,These can be found in servings of
Z9RD_wPDlpQ,275908,277509,"a four-piece kids meal,"
Z9RD_wPDlpQ,277510,279145,"a six-piece kids meal,"
Z9RD_wPDlpQ,279145,280280,"eight-piece,"
Z9RD_wPDlpQ,280280,281914,"the 12-piece,"
Z9RD_wPDlpQ,281914,283616,"24-piece,"
Z9RD_wPDlpQ,283616,285218,"36 pieces,"
Z9RD_wPDlpQ,285218,288054,"and then this double pile right here,"
Z9RD_wPDlpQ,288054,290990,"the biggest order, 48 pieces."
Z9RD_wPDlpQ,290990,293793,"And I have to say, does not look like enough."
Z9RD_wPDlpQ,293793,297730,I know I could destroy that 48-piece with confidence.
Z9RD_wPDlpQ,298665,299499,What do we got here?
Z9RD_wPDlpQ,299499,301768,"Oh, look at this sticker! This is fun."
Z9RD_wPDlpQ,301768,303202,"Yeah, look at these guys!"
Z9RD_wPDlpQ,303202,304804,"Look at this big one playing a saxophone,"
Z9RD_wPDlpQ,304804,306472,how fun is that?
Z9RD_wPDlpQ,306472,307573,"That's cool, right?"
Z9RD_wPDlpQ,307573,309309,"In the UK, we actually call our nuggets bites,"
Z9RD_wPDlpQ,309309,310810,and they come in the following sizes:
Z9RD_wPDlpQ,310810,312445,"There's a four-piece, which is a kids meal,"
Z9RD_wPDlpQ,312445,315081,"a six-piece, a nine-piece, and a 12-piece."
Z9RD_wPDlpQ,315081,316682,"Unfortunately, we couldn't get these today."
Z9RD_wPDlpQ,316683,318985,"USA, we got biscuits, baby."
Z9RD_wPDlpQ,318985,321154,These are the not-cookie biscuits
Z9RD_wPDlpQ,321154,323189,"that have come up before in other ""Food Wars"" episodes."
Z9RD_wPDlpQ,323189,325191,"These are the biscuits biscuits,"
Z9RD_wPDlpQ,325191,327860,"and at Popeyes, you can get them in one,"
Z9RD_wPDlpQ,327860,330430,either on its own or probably with just about every meal.
Z9RD_wPDlpQ,330430,332832,You can also get them in six.
Z9RD_wPDlpQ,332832,334400,"It's, like, rolling right down here."
Z9RD_wPDlpQ,334400,336636,And you can also get them in 12.
Z9RD_wPDlpQ,336636,338570,Just overflowing biscuits over here.
Z9RD_wPDlpQ,339505,341674,We actually do have biscuits on the UK Popeyes menu.
Z9RD_wPDlpQ,341674,344110,"If you order it as a side, you get one biscuit."
Z9RD_wPDlpQ,344110,347847,The biggest single item you can get on the US Popeyes menu
Z9RD_wPDlpQ,347847,350449,"is this, the Bigger Family Feast."
Z9RD_wPDlpQ,350450,353419,"It comes with 12 pieces of chicken,"
Z9RD_wPDlpQ,353419,354787,"five chicken sandwiches,"
Z9RD_wPDlpQ,354787,358524,"two large sides, got the slaw and the mashed potatoes,"
Z9RD_wPDlpQ,358524,361761,"five biscuits, and five apple pies."
Z9RD_wPDlpQ,361761,364629,This entire thing will set you back about 60 bucks
Z9RD_wPDlpQ,364630,368000,"and clocks in at 10,000 calories"
Z9RD_wPDlpQ,368000,370303,"if you choose a more calorific side, like the fries."
Z9RD_wPDlpQ,370303,371604,I did not.
Z9RD_wPDlpQ,371604,373373,"That pretty much dwarfs our largest single item,"
Z9RD_wPDlpQ,373373,375073,"which is this, the 12-piece sharer."
Z9RD_wPDlpQ,375074,377643,"You get 12 pieces of chicken, four regular sides,"
Z9RD_wPDlpQ,377643,379412,"four biscuits, and four drinks,"
Z9RD_wPDlpQ,379412,381914,"all for the price of 24 pounds and 95 pence,"
Z9RD_wPDlpQ,381914,385017,which was around $33.50 at the time of recording.
Z9RD_wPDlpQ,387887,388820,Mm.
Z9RD_wPDlpQ,388821,390456,We're so bad at fried chicken in the UK.
Z9RD_wPDlpQ,390456,392125,We just don't do it well.
Z9RD_wPDlpQ,392125,394727,"But this, I gotta say,"
Z9RD_wPDlpQ,394727,397263,I feel like a certain Kentucky-based chain
Z9RD_wPDlpQ,397263,398598,"has had the monopoly for far too long,"
Z9RD_wPDlpQ,398598,399599,and they've let their standards slip.
Z9RD_wPDlpQ,399599,401100,So this is really good.
Z9RD_wPDlpQ,401100,402135,I'm thrilled that the standards
Z9RD_wPDlpQ,402135,403836,are hopefully going to get raised.
Z9RD_wPDlpQ,408007,410343,And here's everything you can find at a US Popeyes
Z9RD_wPDlpQ,410343,412612,you won't find in the UK.
Z9RD_wPDlpQ,412612,413913,And here are most of the things you'll find
Z9RD_wPDlpQ,413913,416215,at a UK Popeyes that you won't find in the US.
