vid,start,end,text
_OFoyKXULN4,0,1439,today we will be learning how to make
_OFoyKXULN4,1439,3840,cake art with a professional cake artist
_OFoyKXULN4,3840,5839,we will be learning five cake art skills
_OFoyKXULN4,5839,7600,and the two people who perform the best
_OFoyKXULN4,7600,9360,each lesson will get a point and
_OFoyKXULN4,9360,11120,whichever one of these five contestants
_OFoyKXULN4,11120,12400,has the most points at the end of the
_OFoyKXULN4,12400,13920,class will win a thousand dollar gift
_OFoyKXULN4,13920,15920,card to this bakery before we started i
_OFoyKXULN4,15920,17840,had them all make cake art without any
_OFoyKXULN4,17840,19600,prior knowledge and training this is
_OFoyKXULN4,19600,21359,michelle she is a professional cake
_OFoyKXULN4,21359,22720,artist and she will be your teacher for
_OFoyKXULN4,22720,25039,today i took culinary arts for one
_OFoyKXULN4,25039,26960,semester without further ado for lesson
_OFoyKXULN4,26960,28560,number one michelle will teach you how
_OFoyKXULN4,28560,31039,to make icing the first rule when making
_OFoyKXULN4,31039,32558,buttercream icing is that you want your
_OFoyKXULN4,32558,34399,butter completely at room temperature
_OFoyKXULN4,34399,36000,the second ingredient i'm adding is a
_OFoyKXULN4,36000,37680,little bit of shortening we're going to
_OFoyKXULN4,37680,40480,mix those two ingredients first
_OFoyKXULN4,40480,41760,now we're going to add the powdered
_OFoyKXULN4,41760,43840,sugar there'll be five cups of powdered
_OFoyKXULN4,43840,46160,sugar total that's a lot of sugar so
_OFoyKXULN4,46160,47680,these are egg whites we're about to put
_OFoyKXULN4,47680,49840,that in with some vanilla extract so
_OFoyKXULN4,49840,51360,when they're making their icing what are
_OFoyKXULN4,51360,53440,things you're looking for i'm looking
_OFoyKXULN4,53440,55760,for right measurements the way that it's
_OFoyKXULN4,55760,57600,incorporated to make sure that it's
_OFoyKXULN4,57600,59520,being done accurately everyone back to
_OFoyKXULN4,59520,61280,your seats we're going to start so for
_OFoyKXULN4,61280,63039,lesson number one do you guys have to
_OFoyKXULN4,63039,64800,make icing from scratch go
_OFoyKXULN4,64800,66080,[Music]
_OFoyKXULN4,66080,67600,time to make the best buttercream ever
_OFoyKXULN4,67600,69600,created half a pound so you need eight
_OFoyKXULN4,69600,71280,wow i should be telling you guys this we
_OFoyKXULN4,71280,73119,need two of these it should be just red
_OFoyKXULN4,73119,74880,one so it wasn't one panel shortening it
_OFoyKXULN4,74880,76400,should have been half a pound it was
_OFoyKXULN4,76400,80080,half a pound nobody else knows that
_OFoyKXULN4,82240,84400,finally finished microwaving my butter i
_OFoyKXULN4,84400,86400,know it's not a race but i am ahead of
_OFoyKXULN4,86400,88240,everyone right now now i'm going to
_OFoyKXULN4,88240,90400,start mixing you guys might be wondering
_OFoyKXULN4,90400,92320,why isn't ben in this challenge ben is
_OFoyKXULN4,92320,94960,allergic to dairy he's allergic to eggs
_OFoyKXULN4,94960,96560,if he can pronounce the name he's
_OFoyKXULN4,96560,99770,probably allergic to it
_OFoyKXULN4,99770,102859,[Music]
_OFoyKXULN4,104000,106000,this is the nastiest thing that's ever
_OFoyKXULN4,106000,107920,happened to me i kind of followed
_OFoyKXULN4,107920,109920,everything to the tea it looks pretty
_OFoyKXULN4,109920,111600,white it looks pretty creamy and it
_OFoyKXULN4,111600,113759,tastes really good your icing is looking
_OFoyKXULN4,113759,115520,pretty nice thank you i don't know what
_OFoyKXULN4,115520,116799,i'm doing michelle how do you think
_OFoyKXULN4,116799,118799,you're doing so far well i'm finished
_OFoyKXULN4,118799,121040,michelle so they have all made their own
_OFoyKXULN4,121040,123360,icing now and won't you go around take a
_OFoyKXULN4,123360,125439,look and you can let me know which two
_OFoyKXULN4,125439,129399,perform the best in the class
_OFoyKXULN4,130640,132400,so which two of your students over here
_OFoyKXULN4,132400,135439,do you think perform the best
_OFoyKXULN4,135520,137680,that means one point for michelle one
_OFoyKXULN4,137680,139040,point for nick and i was just going off
_OFoyKXULN4,139040,140480,taste and obviously my taste buds are
_OFoyKXULN4,140480,142080,waxed honestly my frosting is really
_OFoyKXULN4,142080,143680,good yo ben you should try this yeah if
_OFoyKXULN4,143680,144800,you want to send me a plate like a
_OFoyKXULN4,144800,146879,balloon just gotta ask who performed the
_OFoyKXULN4,146879,149040,worst i am sorry i am gonna pick you
_OFoyKXULN4,149040,151599,because it was the saltiest
_OFoyKXULN4,151599,153040,i actually didn't tell you guys earlier
