vid,start,end,text
aJOTlE1K90k,400,7100,♪♪♪
aJOTlE1K90k,7133,12266,"♪ SPENT 24 HOURS, I NEED MORE HOURS WITH YOU ♪"
aJOTlE1K90k,14500,20033,"♪ YOU SPENT THE WEEKEND GETTING EVEN, OOH ♪"
aJOTlE1K90k,22300,27500,♪ WE SPENT THE LATE NIGHTS MAKING THINGS RIGHT BETWEEN US ♪
aJOTlE1K90k,30233,32133,"♪ BUT NOW IT'S ALL GOOD, BABE ♪"
aJOTlE1K90k,32166,34166,"♪ ROLL THAT BACK WOOD, BABE ♪"
aJOTlE1K90k,34200,36266,♪ AND PLAY ME CLOSE ♪
aJOTlE1K90k,38200,41433,♪ 'CAUSE GIRLS LIKE YOU RUN 'ROUND WITH GUYS LIKE ME ♪
aJOTlE1K90k,41466,43433,♪ 'TIL SUN DOWN WHEN I COME THROUGH ♪
aJOTlE1K90k,43466,46066,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,46100,49266,"♪ GIRLS LIKE YOU LOVE FUN, AND YEAH, ME TOO ♪"
aJOTlE1K90k,49300,51300,♪ WHAT I WANT WHEN I COME THROUGH ♪
aJOTlE1K90k,51333,54166,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,55166,58266,"♪ YEAH YEAH YEAH, YEAH YEAH YEAH ♪"
aJOTlE1K90k,59133,61466,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,62466,66066,"♪ YEAH YEAH YEAH, YEAH YEAH YEAH ♪"
aJOTlE1K90k,66466,68400,♪ I NEED A GIRL LIKE YOU ♪
aJOTlE1K90k,68433,73366,♪ I SPENT LAST NIGHT ON THE LAST FLIGHT TO YOU ♪
aJOTlE1K90k,76300,81200,"♪ TOOK A WHOLE DAY UP TRYNA GET WAY UP, OOH ♪"
aJOTlE1K90k,83600,89233,♪ WE SPENT THE DAYLIGHT TRYNA MAKE THINGS RIGHT BETWEEN US ♪
aJOTlE1K90k,91533,93366,"♪ BUT NOW IT'S ALL GOOD, BABE ♪"
aJOTlE1K90k,93400,95366,"♪ ROLL THAT BACK WOOD, BABE ♪"
aJOTlE1K90k,95400,97433,♪ AND PLAY ME CLOSE ♪
aJOTlE1K90k,99466,103166,♪ 'CAUSE GIRLS LIKE YOU RUN 'ROUND WITH GUYS LIKE ME ♪
aJOTlE1K90k,103200,105166,♪ 'TIL SUN DOWN WHEN I COME THROUGH ♪
aJOTlE1K90k,105200,107399,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,107433,110600,"♪ GIRLS LIKE YOU LOVE FUN, AND YEAH, ME TOO ♪"
aJOTlE1K90k,110633,112533,♪ WHAT I WANT WHEN I COME THROUGH ♪
aJOTlE1K90k,112566,115300,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,116433,119500,"♪ YEAH YEAH YEAH, YEAH YEAH YEAH ♪"
aJOTlE1K90k,120266,123200,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,124266,127266,"♪ YEAH YEAH YEAH, YEAH YEAH YEAH ♪"
aJOTlE1K90k,128266,130566,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,135533,138400,"♪ I NEED A GIRL LIKE YOU, YEAH YEAH ♪"
aJOTlE1K90k,143466,145500,♪ I NEED A GIRL LIKE YOU ♪
aJOTlE1K90k,146433,148233,♪ MAYBE IT'S 6:45 ♪
aJOTlE1K90k,148266,150300,♪ MAYBE I'M BARELY ALIVE ♪
aJOTlE1K90k,150333,153532,"♪ MAYBE YOU'VE TAKEN MY SHIT FOR THE LAST TIME, YEAH ♪"
aJOTlE1K90k,154266,155633,♪ MAYBE I KNOW THAT I'M DRUNK ♪
aJOTlE1K90k,155666,157566,♪ MAYBE I KNOW YOU'RE THE ONE ♪
aJOTlE1K90k,157600,160500,♪ MAYBE YOU'RE THINKING IT'S BETTER IF YOU DRIVE ♪
aJOTlE1K90k,162433,166400,♪ OH 'CAUSE GIRLS LIKE YOU RUN 'ROUND WITH GUYS LIKE ME ♪
aJOTlE1K90k,166433,168433,♪ 'TIL SUN DOWN WHEN I COME THROUGH ♪
aJOTlE1K90k,168466,171433,"♪ I NEED A GIRL LIKE YOU, YEAH ♪"
