vid,start,end,text
dsazWuRMIQ0,150,2550,Oi e aí minha jóia papai do céu fez o
dsazWuRMIQ0,2550,5070,domingo para quem descansar foi agitado
dsazWuRMIQ0,5070,7710,por aqui viu Dal pozzo fora do esporte
dsazWuRMIQ0,7710,10139,lixo tá chegando chamar uma Torres aqui
dsazWuRMIQ0,10139,12329,para atualizar para gente tá rolando uma
dsazWuRMIQ0,12329,14459,reunião nesse momento é Ruan que pode
dsazWuRMIQ0,14459,16800,definir contratação delícia pelo esporte
dsazWuRMIQ0,16800,20060,Boa tarde e
dsazWuRMIQ0,20810,22939,e fala Thiago muito boa tarde para você
dsazWuRMIQ0,22939,24230,boa tarde para todo mundo que tá com a
dsazWuRMIQ0,24230,26570,gente olha tá muito perto de lisca ser
dsazWuRMIQ0,26570,28310,anunciado como novo técnico do Sport
dsazWuRMIQ0,28310,30500,nesse momento como você falou Tá rolando
dsazWuRMIQ0,30500,32570,uma reunião entre lisca EA diretoria do
dsazWuRMIQ0,32570,33710,esporte através de uma vídeo chamada
dsazWuRMIQ0,33710,36379,para afinar os últimos detalhes pelas
dsazWuRMIQ0,36379,38030,informações de bastidores que nós temos
dsazWuRMIQ0,38030,40790,só falta mesmo assinatura lista que já é
dsazWuRMIQ0,40790,42890,uma figura conhecida do futebol aqui de
dsazWuRMIQ0,42890,45110,Pernambuco treinar o Náutico em 2014 e
dsazWuRMIQ0,45110,47420,2015 quando inclusive colecionou algumas
dsazWuRMIQ0,47420,49540,polêmicas justamente pelo esporte
dsazWuRMIQ0,49540,51500,especificamente com então atacante
dsazWuRMIQ0,51500,53479,rubro-negro Neto baiano por isso que eu
dsazWuRMIQ0,53479,55400,tenho 48 anos e o último trabalho dele
dsazWuRMIQ0,55400,57350,foi no Vasco na série B do ano passado
dsazWuRMIQ0,57350,59330,quando ele foi demitido com apenas 4
dsazWuRMIQ0,59330,61670,vitórias em 12 jogos mas o trabalho mais
dsazWuRMIQ0,61670,63650,recente que ele se destacou foi na
dsazWuRMIQ0,63650,65840,América Mineiro em 2020 quando subiu o
dsazWuRMIQ0,65840,67040,coelho para a primeira divisão do
dsazWuRMIQ0,67040,68930,futebol nacional foi semifinalista da
dsazWuRMIQ0,68930,71090,Copa do Brasil e também foi vice-campeão
dsazWuRMIQ0,71090,73040,Mineiro então Esporte tá aí nessa
dsazWuRMIQ0,73040,75110,conversa com isca para afinar os últimos
dsazWuRMIQ0,75110,76400,detalhes e quem sabe anunciaram o
dsazWuRMIQ0,76400,78049,treinador ainda hoje Guto Ferreira
dsazWuRMIQ0,78049,79970,também foi cotado mais Guto Ferreira
dsazWuRMIQ0,79970,82590,disse que tem e resolvidas com esportes
dsazWuRMIQ0,82590,85050,questões financeiras e olha a gente tem
dsazWuRMIQ0,85050,86910,imagem sair do jogo do Sport no último
dsazWuRMIQ0,86910,89280,sábado contra o Brusque o empate em 0 a
dsazWuRMIQ0,89280,91380,0 que culminou na demissão do técnico
dsazWuRMIQ0,91380,93720,Gilmar Dal pozzo Dal pozzo que já vinha
dsazWuRMIQ0,93720,95970,enfrentando um ambiente bem hostil na
dsazWuRMIQ0,95970,97230,Ilha do Retiro também na Arena
dsazWuRMIQ0,97230,99240,Pernambuco o Sport mandava seus jogos lá
dsazWuRMIQ0,99240,101490,venha sendo bastante cobrado xingado
dsazWuRMIQ0,101490,103560,pelos torcedores do Sport Então ontem
dsazWuRMIQ0,103560,105990,pela manhã o clube anunciou a saída de
dsazWuRMIQ0,105990,108240,Gilmar Dal pozzo e agora tá aí perto de
dsazWuRMIQ0,108240,110310,anunciar o seu substituto que é o que
dsazWuRMIQ0,110310,112260,tudo indica vai ser lificador a gente
dsazWuRMIQ0,112260,114000,segue acompanhando e a gente traz
dsazWuRMIQ0,114000,115140,qualquer informação qualquer novidade
dsazWuRMIQ0,115140,117420,Thiago agora eu vou a volta ainda hoje
dsazWuRMIQ0,117420,119160,aqui no Globo Esporte para atualizar e a
dsazWuRMIQ0,119160,120780,vida do leão ajeitando o celular na mão
dsazWuRMIQ0,120780,122310,dele morar aí porque a qualquer momento
dsazWuRMIQ0,122310,125070,pode pintar notícia oficial da
dsazWuRMIQ0,125070,127020,contratação de Mística Dá o ponto pegou
dsazWuRMIQ0,127020,128729,o beco sobrou para o padre mas era o
dsazWuRMIQ0,128729,130890,único culpado Dani boa tarde boa tarde
dsazWuRMIQ0,130890,133590,boa tarde a todos Olha um Dal pozzo foi
dsazWuRMIQ0,133590,135209,contestado desde os primeiros momentos
dsazWuRMIQ0,135209,136739,que ele chegou até antes da contratação
dsazWuRMIQ0,136739,139800,É mas ele ele entregou sim mas a
dsazWuRMIQ0,139800,141810,competitividade com ele o corte
dsazWuRMIQ0,141810,144940,organização mas diante dessas
dsazWuRMIQ0,144940,146050,dificuldades que ele tem enfrentado
dsazWuRMIQ0,146050,148600,durante a série B de pior segundo pior
dsazWuRMIQ0,148600,152410,ataque função nove gols de quatro jogos
dsazWuRMIQ0,152410,155440,sem vencer acabou sobrando para ele mas
dsazWuRMIQ0,155440,157180,existe sim né os atletas também tem
dsazWuRMIQ0,157180,158860,responsabilidade nisso a montagem do
dsazWuRMIQ0,158860,160810,elenco da diretoria também são
dsazWuRMIQ0,160810,163660,responsáveis é então eu acho que é uma
dsazWuRMIQ0,163660,165850,culpa que tem que ser assumida de todas
dsazWuRMIQ0,165850,167910,as partes Mística Você conhece bem né
dsazWuRMIQ0,167910,171280,eles que foi meu treinador na categoria
dsazWuRMIQ0,171280,173080,de base foi meu treinador nos
dsazWuRMIQ0,173080,174970,profissionais um cara que participou
dsazWuRMIQ0,174970,177400,bastante da minha formação é muito
dsazWuRMIQ0,177400,180340,intenso é um cara que cobra demais é nos
dsazWuRMIQ0,180340,183040,treinamentos é fácil é isso acontecer se
dsazWuRMIQ0,183040,184570,precisar trabalhar dois turnos está
dsazWuRMIQ0,184570,186580,trabalhar dia e noite ele é assim mas
dsazWuRMIQ0,186580,188860,não é não é só intensidade não é um cara
dsazWuRMIQ0,188860,190330,que entende muito de futebol tem uma
dsazWuRMIQ0,190330,192430,metodologia muito legal é consegue
dsazWuRMIQ0,192430,194560,aplicar isso nos Treinamentos e acho que
dsazWuRMIQ0,194560,197920,a é a urgência que ele tem hoje é do
dsazWuRMIQ0,197920,200810,ataque e ele vai conseguir
dsazWuRMIQ0,200810,202670,eu acho que é o grande desafio na
dsazWuRMIQ0,202670,205550,consegui fazer com que não só faço o gol
dsazWuRMIQ0,205550,207800,né tem a melhor decisão no último no
dsazWuRMIQ0,207800,209599,último terço do campo mas que chega até
dsazWuRMIQ0,209599,211989,lá com mais
