vid,start,end,text
fLzah0DKJVA,311,3394,(tense upbeat music)
fLzah0DKJVA,5428,6819,- All I saw was something--
fLzah0DKJVA,6820,8020,"- [Ken] Okay, Neo."
fLzah0DKJVA,8020,10680,- Flying out of the corner of my eye
fLzah0DKJVA,10680,13000,to the point where I definitely just gave myself rug burn.
fLzah0DKJVA,13000,14400,"My hand is actually very red,"
fLzah0DKJVA,14400,15519,I don't know if you can see that
fLzah0DKJVA,15520,17033,but this is what you did to me.
fLzah0DKJVA,23190,24859,"Okay, that's..."
fLzah0DKJVA,24859,26859,It's much harder to open than I thought.
fLzah0DKJVA,28198,29413,"Okay, I got it."
fLzah0DKJVA,30490,32737,"I told you, it's much harder to open than I thought."
fLzah0DKJVA,32737,34489,(laughing)
fLzah0DKJVA,34490,35323,How dare you?
fLzah0DKJVA,36200,38020,Nix Color Sensor.
fLzah0DKJVA,38020,39400,What's the point of a color sensor?
fLzah0DKJVA,39400,40730,"This table is brown,"
fLzah0DKJVA,40730,42480,I learned that this table is brown.
fLzah0DKJVA,43440,44273,Excellent.
fLzah0DKJVA,44273,45250,"Hold on, here we'll see that--"
fLzah0DKJVA,45250,46350,What color's my shirt?
fLzah0DKJVA,48930,50170,Dark yellow.
fLzah0DKJVA,50170,52371,Let's see what color is Mewtwo?
fLzah0DKJVA,52372,53900,- [Matt] Did you know what colors are?
fLzah0DKJVA,53900,55701,- [Ken] It's not gonna work.
fLzah0DKJVA,55701,56534,It's gonna be too dark. - [Matt] You can't ask
fLzah0DKJVA,56534,57710,the audience what color they are.
fLzah0DKJVA,57710,58543,- Black.
fLzah0DKJVA,59490,60800,The camera's black.
fLzah0DKJVA,60800,61710,"Oh God, oh God, oh God."
fLzah0DKJVA,61710,63239,Got it.
fLzah0DKJVA,63240,64809,What's up?
fLzah0DKJVA,64809,67710,The Aqua Shift Xbox Series X controller.
fLzah0DKJVA,67710,68543,Is that-- Are you about to tell me
fLzah0DKJVA,68543,69960,that this is gonna show up as aqua?
fLzah0DKJVA,69960,71900,- [Matt] But what's cool about these guys
fLzah0DKJVA,71900,75310,is that the grips are all unique.
fLzah0DKJVA,75310,77100,There's no two that are alike.
fLzah0DKJVA,77100,80110,"- Ooh, yo, that looks awesome."
fLzah0DKJVA,80110,80943,"- [Ken] Oh, I like that."
fLzah0DKJVA,80943,81890,- Wow.
fLzah0DKJVA,81890,82970,"And yet you can see that the grips,"
fLzah0DKJVA,82970,84320,"you see how they're very, like"
fLzah0DKJVA,84320,85153,it almost looks like it's been
fLzah0DKJVA,85153,86610,like hydro dipped or something.
fLzah0DKJVA,88370,90793,"- [Ken] Wait, no, no, no, no."
fLzah0DKJVA,92390,93260,- My jeans.
fLzah0DKJVA,93260,94425,- [Ken] Oh.
fLzah0DKJVA,94425,97320,- Mystery Tech.
fLzah0DKJVA,97320,99860,That was actually really gentle and kind.
fLzah0DKJVA,99860,101510,We have Mountain.
