vid,start,end,text
fNIhcMxX_c4,1170,4250,[Music]
fNIhcMxX_c4,4250,6960,hey everyone it's your friend noodles
fNIhcMxX_c4,6960,10440,and welcome back to another granny video
fNIhcMxX_c4,10440,14150,where today we are playing a spongebob
fNIhcMxX_c4,14150,17609,mod the mod that you guys all wanted but
fNIhcMxX_c4,17609,20939,never knew existed and I actually kind
fNIhcMxX_c4,20939,24359,of love this because the main menu
fNIhcMxX_c4,24359,27300,doesn't actually show us what granny is
fNIhcMxX_c4,27300,29910,gonna look like as a spongebob it just
fNIhcMxX_c4,29910,32758,shows a regular one so we're just gonna
fNIhcMxX_c4,32758,34829,have to get got to find out which I'm
fNIhcMxX_c4,34829,37320,pretty sure is gonna happen as careless
fNIhcMxX_c4,37320,40950,as I get with these games now if you
fNIhcMxX_c4,40950,43079,guys want to see me play more mods and
fNIhcMxX_c4,43079,46440,should we do let's do yeah well we'll do
fNIhcMxX_c4,46440,50550,hard mode two extra locks mmm yeah okay
fNIhcMxX_c4,50550,52440,that's what we usually do right yeah I
fNIhcMxX_c4,52440,55410,think so anyway ah makes a little bit
fNIhcMxX_c4,55410,57059,harder for slim Trina but oh and we have
fNIhcMxX_c4,57059,59910,to figure out who so if spongebob or if
fNIhcMxX_c4,59910,65040,granny is spongebob so we'll have to
fNIhcMxX_c4,65040,66510,figure that out we always do that in
fNIhcMxX_c4,66510,68520,these mods just to see who it is
fNIhcMxX_c4,68520,71010,textured ass and also depending on what
fNIhcMxX_c4,71010,73170,version this is it may have the
fNIhcMxX_c4,73170,74400,bookshelf thing so there might be
fNIhcMxX_c4,74400,76619,someone else's fat granny and we'll have
fNIhcMxX_c4,76619,79140,to see but I don't know what version
fNIhcMxX_c4,79140,82320,this is yet oh we got pineapples all
fNIhcMxX_c4,82320,84869,right that's a good start and we got are
fNIhcMxX_c4,84869,86549,those pink pineapples on the ground too
fNIhcMxX_c4,86549,88590,or I don't what are those
fNIhcMxX_c4,88590,90950,I don't really know what those are ah
fNIhcMxX_c4,90950,94439,yeah dude look at all this fudge Bob
fNIhcMxX_c4,94439,97020,means and everything oh oh we got a
fNIhcMxX_c4,97020,98880,saying here we go who lives at the
fNIhcMxX_c4,98880,101220,bottom of the ocean that's not how it
fNIhcMxX_c4,101220,101750,goes
fNIhcMxX_c4,101750,104310,isn't it who losing a pineapple under
fNIhcMxX_c4,104310,110310,the sea spongebob okay but and what does
fNIhcMxX_c4,110310,112350,this say this says there should be
fNIhcMxX_c4,112350,115649,something is written yeah I love my
fNIhcMxX_c4,115649,119790,stupid pose make absolutely no sense all
fNIhcMxX_c4,119790,121710,right we need hold man this isn't
fNIhcMxX_c4,121710,124290,interesting oh it's got like oh she
fNIhcMxX_c4,124290,126240,coming already no no no no no and that's
fNIhcMxX_c4,126240,128340,how I feel right there Thank You
fNIhcMxX_c4,128340,132150,Squidward okay so let's get this open so
