vid,start,end,text
fodN1MTSzj0,490,3100,e tem o Globo Esporte de volta e chega
fodN1MTSzj0,3100,4630,aí rubro-negro bora ver como é que foi a
fodN1MTSzj0,4630,5880,classificação
fodN1MTSzj0,5880,8050,sensacional para semifinal do Nordestão
fodN1MTSzj0,8050,10269,o rubro-negro pegou a estrada e voltou
fodN1MTSzj0,10269,13570,para casa feliz da vida Mailson almoço
fodN1MTSzj0,13570,17550,grátis em qualquer lugar hoje viu a
fodN1MTSzj0,17550,19350,E aí
fodN1MTSzj0,19350,21410,E aí
fodN1MTSzj0,21760,23820,E aí
fodN1MTSzj0,24420,27110,e eles sofreram
fodN1MTSzj0,27110,31910,rezaram E no fim da história
fodN1MTSzj0,31910,35550,comemoraram o
fodN1MTSzj0,35550,39030,é um assinatura de Um Herói morrendo o
fodN1MTSzj0,39030,43630,cara tão mais Mailson ajudou o esporte e
fodN1MTSzj0,43630,46749,[Aplausos]
fodN1MTSzj0,47829,49469,Oi
fodN1MTSzj0,49469,52469,Google
fodN1MTSzj0,52980,56190,tudo bom
fodN1MTSzj0,62939,67240,o objetivo era apoiar e eles estavam lá
fodN1MTSzj0,67240,70509,para isso eu vim de Recife a gente vai
fodN1MTSzj0,70509,71799,longe pegou aí umas quatro horas de
fodN1MTSzj0,71799,73840,viagem para cá a gente veio para ver o
fodN1MTSzj0,73840,75340,esporte né a gente sabe que vai ser
fodN1MTSzj0,75340,78909,muito difícil mas esporte é minha vida
fodN1MTSzj0,78909,80740,então eu vim aqui para sair daqui pra
fodN1MTSzj0,80740,83610,ficar eu vou sair
fodN1MTSzj0,83610,88229,e aqui não tem CRB vai dar todo mundo
fodN1MTSzj0,88229,92140,nem é difícil entendeu porque a gente e
fodN1MTSzj0,92140,95140,tanta empolgação da torcida basta olhar
fodN1MTSzj0,95140,97299,para os três jogos três vitórias do
fodN1MTSzj0,97299,101159,sport em e nove gols marcados
fodN1MTSzj0,101340,104440,3 a 1 para o Sport 3 a 1 é três
fodN1MTSzj0,104440,107590,autoconfiante que é 3 a 1 a festa que
fodN1MTSzj0,107590,109549,começou e agora foi para dentro do
fodN1MTSzj0,109549,112490,estádio Rei Pelé onde estavam quase 2
fodN1MTSzj0,112490,113340,mil rubro-negros
fodN1MTSzj0,113340,114609,[Aplausos]
fodN1MTSzj0,114609,120020,que sofreram era difícil saber se dia ou
fodN1MTSzj0,120020,122380,se explorava
fodN1MTSzj0,122380,125090,porque o esporte teve seus momentos de
fodN1MTSzj0,125090,129259,levar perigo ao CSA mas também tomou
fodN1MTSzj0,129259,131410,pressão
fodN1MTSzj0,131410,135000,o e-mails ou tava lá para salvá-lo
fodN1MTSzj0,135000,136290,[Aplausos]
fodN1MTSzj0,136290,136520,E aí
fodN1MTSzj0,136520,137660,[Aplausos]
fodN1MTSzj0,137660,140030,e o que a torcida não fazia ideia não
fodN1MTSzj0,140030,142850,podia imaginar que ele daria muito mais
fodN1MTSzj0,142850,145910,motivos para ter o nome gritado durante
fodN1MTSzj0,145910,149210,a noite durante o jogo muita chuva muita
fodN1MTSzj0,149210,152660,água para atrapalhar a bola de rolar mas
fodN1MTSzj0,152660,155180,isso não esfriava o nervosismo dos
fodN1MTSzj0,155180,156160,rubro-negros
fodN1MTSzj0,156160,159710,nervoso eu tô aqui abalada isso porque
fodN1MTSzj0,159710,161780,não imaginava o que vinha pela frente né
fodN1MTSzj0,161780,164960,e eu nem tô falando da chegada do
fodN1MTSzj0,164960,167360,esporte que deu esperança no começo do
fodN1MTSzj0,167360,169810,segundo tempo
fodN1MTSzj0,170380,173560,ou desse chute do Rodrigo Rodrigues aos
fodN1MTSzj0,173560,177200,36 da segunda d'água que deu medo o
fodN1MTSzj0,177200,179450,torcedor não tava olhando para o relógio
fodN1MTSzj0,179450,183140,à toa é que tava chegando a hora da
fodN1MTSzj0,183140,187040,emoção de verdade é
fodN1MTSzj0,187410,191670,o 0 a 0 no placar nos pênaltis na vaga
