vid,start,end,text
gCnJjWRf5dk,130,1980,- This is gonna be quite a short video.
gCnJjWRf5dk,1980,4830,"- Is this $4,000 of Starbucks?"
gCnJjWRf5dk,4830,6093,Are you serious?
gCnJjWRf5dk,7240,8480,"- Hey, LTT,"
gCnJjWRf5dk,8480,9610,"welcome to my crib,"
gCnJjWRf5dk,9610,10580,let's go check it out.
gCnJjWRf5dk,10580,13409,"- Sarah, this is the bathroom."
gCnJjWRf5dk,13409,14460,(Sarah laughing)
gCnJjWRf5dk,14460,15817,"That's right, ladies and gentlemen,"
gCnJjWRf5dk,15817,18380,"""Intel Extreme Tech Upgrade"" is back,"
gCnJjWRf5dk,18380,22160,"the one and only Sarah Butt got a $5,000 budget"
gCnJjWRf5dk,22160,25140,"from Intel for the ultimate tech makeover,"
gCnJjWRf5dk,25140,26858,"and we are gonna be checking out,"
gCnJjWRf5dk,26858,28280,"not her front door,"
gCnJjWRf5dk,28280,30380,"for obvious privacy reasons,"
gCnJjWRf5dk,30380,32224,so we used this door.
gCnJjWRf5dk,32224,33980,(both laughing)
gCnJjWRf5dk,33980,36563,(upbeat music)
gCnJjWRf5dk,46095,47700,"Hey, Arlo, do you wanna come with us?"
gCnJjWRf5dk,47700,49565,"Oh, come here."
gCnJjWRf5dk,49565,50690,(Linus grunting)
gCnJjWRf5dk,50690,52670,- This is gonna be quite a short video.
gCnJjWRf5dk,52670,55730,I present to you my upgrade.
gCnJjWRf5dk,55730,56739,"- Wait, what?"
gCnJjWRf5dk,56740,57940,"- So I got,"
gCnJjWRf5dk,57940,60860,"of course, my 12th Gen Intel CPU."
gCnJjWRf5dk,60860,61693,"- Yeah, got an i-12700K."
gCnJjWRf5dk,61693,65460,"- And then, a $4,000 Starbucks gift card."
gCnJjWRf5dk,65460,67290,- Who signed off on this?
gCnJjWRf5dk,67290,70300,"Is this $4,000 of Starbucks?"
gCnJjWRf5dk,70300,71530,- Of course.
gCnJjWRf5dk,71530,72570,What do you expect?
gCnJjWRf5dk,72570,73403,"I get money,"
gCnJjWRf5dk,73403,74640,"I need coffee, like..."
gCnJjWRf5dk,74640,76310,- Are you serious?
gCnJjWRf5dk,76310,77640,I can't tell.
gCnJjWRf5dk,77640,78473,- I'm not serious.
gCnJjWRf5dk,78473,79518,"- Oh, my God."
gCnJjWRf5dk,79518,80540,(Sarah laughing)
gCnJjWRf5dk,80540,83410,"- So this is actually my regular setup,"
gCnJjWRf5dk,83410,86110,I did install these shelves yesterday.
gCnJjWRf5dk,86110,87720,"- Okay, wonderful."
gCnJjWRf5dk,87720,89860,- Let's go check out what I actually got.
gCnJjWRf5dk,89860,91140,"- Let's do that, I..."
gCnJjWRf5dk,92800,95180,"- Sorry, before I give my boss a heart attack."
gCnJjWRf5dk,95180,96742,- She actually got me.
gCnJjWRf5dk,96742,97575,(Sarah laughing)
gCnJjWRf5dk,97575,98930,"Sorry, I'm still reeling,"
gCnJjWRf5dk,98930,101300,it's not like it's technically against
gCnJjWRf5dk,101300,103120,any kind of established rules.
gCnJjWRf5dk,103120,104110,"- That's what I thought,"
gCnJjWRf5dk,104110,104943,I still got the CPU.
gCnJjWRf5dk,104943,106130,"- I bought a CPU,"
gCnJjWRf5dk,106130,107079,"I put it on a shelf,"
gCnJjWRf5dk,107080,108710,"and now, I'm gonna chug coffee..."
gCnJjWRf5dk,108710,109659,- Yes.
gCnJjWRf5dk,109660,111730,- For the next 10 months.
gCnJjWRf5dk,111730,114610,- I literally got everything I could possibly need
gCnJjWRf5dk,114610,117150,for the perfect graphic design/gaming
gCnJjWRf5dk,117150,118470,and streaming setup.
gCnJjWRf5dk,118470,119400,- That is sick.
gCnJjWRf5dk,119400,121020,- Yeah. - I'm already loving
gCnJjWRf5dk,121020,122240,some of these choices. - Right?
gCnJjWRf5dk,122240,125659,"- Like, so many people didn't think of stuff like this."
gCnJjWRf5dk,125660,127550,Where do I keep my laptop?
gCnJjWRf5dk,127550,129360,"- And when I need my Apple systems,"
gCnJjWRf5dk,129360,130860,I can just plug my computer in
gCnJjWRf5dk,130860,132480,or my laptop into my monitor
gCnJjWRf5dk,132480,134330,and ready to go.
gCnJjWRf5dk,134330,135740,"- The Peach Edition from Red Bull,"
gCnJjWRf5dk,135740,136980,"is this part of it, though?"
gCnJjWRf5dk,136980,138280,"- Yeah, it actually is. - Okay."
gCnJjWRf5dk,138280,141030,"- So I figured if I was gonna really be a gamer,"
gCnJjWRf5dk,141030,142270,"I need my energy drinks,"
gCnJjWRf5dk,142270,144990,so I invested some of my funds into that.
gCnJjWRf5dk,144990,146050,- I noticed.
gCnJjWRf5dk,146050,147410,You are one of the first
gCnJjWRf5dk,147410,150350,to go relatively modest in terms of GPU.
gCnJjWRf5dk,150350,151470,"So break it down for me,"
gCnJjWRf5dk,151470,153470,what's your intended mix here
gCnJjWRf5dk,153470,156620,for like graphic design versus gaming time
gCnJjWRf5dk,156620,158540,versus streaming time?
gCnJjWRf5dk,158540,159780,- So I just wanna make sure
gCnJjWRf5dk,159780,162010,"that I can get a good mix of all three,"
gCnJjWRf5dk,162010,164659,"my system doesn't need to be super overpowered,"
gCnJjWRf5dk,164660,166900,it just needs to be able to handle the Adobe
gCnJjWRf5dk,166900,168930,"and Creative Cloud programs,"
gCnJjWRf5dk,168930,170870,"but as well as like run Steam,"
gCnJjWRf5dk,170870,174634,run some games that I enjoy playing like Apex or Minecraft.
gCnJjWRf5dk,174634,175913,"- I think this will handle Minecraft, okay?"
gCnJjWRf5dk,175913,177736,"- Yeah, I think so too."
gCnJjWRf5dk,177736,178849,- Might be all right.
gCnJjWRf5dk,178850,180453,"Ooh, maybe not, actually."
gCnJjWRf5dk,181310,182390,I'm kidding.
gCnJjWRf5dk,182390,183290,- So what...
gCnJjWRf5dk,183290,184122,- I'm gonna have to try
gCnJjWRf5dk,184123,185610,and get her before this video is done.
gCnJjWRf5dk,185610,187853,We're gonna have a crap ton of cable management to do.
gCnJjWRf5dk,187853,190099,"- Yes. - If we're doing microphones,"
gCnJjWRf5dk,190100,193360,"like, studio monitors, laptop arm,"
gCnJjWRf5dk,193360,194260,we better get started.
gCnJjWRf5dk,194260,196786,"- Let's gather the computer. - Yeah, load me up."
gCnJjWRf5dk,196786,198065,"Oh, okay."
gCnJjWRf5dk,198065,199130,(Linus mimics)
gCnJjWRf5dk,199130,200480,I am passing the...
gCnJjWRf5dk,200480,201540,"No, I yap,"
gCnJjWRf5dk,201540,202540,"Whoa, that's a heavy motherboard."
gCnJjWRf5dk,202540,205750,"- Yes, so everything I got is new computer parts"
gCnJjWRf5dk,205750,207200,"except for the power supply,"
gCnJjWRf5dk,207200,208569,we are gonna use the old power supply
gCnJjWRf5dk,208570,210400,from my previous computer.
gCnJjWRf5dk,210400,212430,"- There's way more stuff here than I thought,"
gCnJjWRf5dk,212430,214109,are you sure you're within budget?
gCnJjWRf5dk,214110,214943,- I am.
gCnJjWRf5dk,214943,216023,- I didn't even see the chair. - I promise.
gCnJjWRf5dk,216023,217440,- I bet you didn't pay for this.
gCnJjWRf5dk,217440,219200,"- No, of course not,"
gCnJjWRf5dk,219200,221530,I designed it for goodness' sake.
gCnJjWRf5dk,221530,223940,"- Stolen from work, 100%,"
gCnJjWRf5dk,223940,226190,is this part of the Intel Extreme Tech Upgrade?
gCnJjWRf5dk,226190,227390,"- So this, I bought myself,"
gCnJjWRf5dk,227390,228350,but all of the paint
gCnJjWRf5dk,228350,231190,and art supplies are part of the upgrade.
gCnJjWRf5dk,231190,234230,"And as an artist, I really wanted to be able to put"
gCnJjWRf5dk,234230,235840,some of the money into buying
gCnJjWRf5dk,235840,237640,"some nicer art supplies for myself,"
gCnJjWRf5dk,237640,240210,"so I got a set of all new acrylic paints,"
gCnJjWRf5dk,240210,241670,"some new paint brushes,"
gCnJjWRf5dk,241670,244564,"some new sketchbooks, all of the fun stuff."
gCnJjWRf5dk,244564,246129,- Ooh.
gCnJjWRf5dk,246130,248020,"- And of course, how can we forget,"
gCnJjWRf5dk,248020,250440,the brand new LTT store cable ties.
gCnJjWRf5dk,250440,254680,"- That's right, now they are a 50 pack for the same price,"
gCnJjWRf5dk,254680,256299,and available in a bunch of different colors.
gCnJjWRf5dk,256299,258509,"- Yeah, I had to get the white to match my upgrade."
gCnJjWRf5dk,258510,260430,"- Buddy, that's not your chair."
gCnJjWRf5dk,260430,263520,"If you hang there, you are gonna get butted at some point."
gCnJjWRf5dk,263520,264759,"- Okay, let's get you all of the computer compartments."
gCnJjWRf5dk,264760,267249,"- All right, I'll stop getting distracted by the cat."
gCnJjWRf5dk,267249,268770,"Oh, my God, there's so much stuff here."
gCnJjWRf5dk,268770,270539,"- So I've got a new keyboard,"
gCnJjWRf5dk,270540,272670,"a new mouse, a Wacom tablet."
gCnJjWRf5dk,272670,276070,"I got some merch from my favorite film production company,"
gCnJjWRf5dk,276070,278510,"A24, because when you design merch,"
gCnJjWRf5dk,278510,280290,you also enjoy other people's merch.
gCnJjWRf5dk,280290,281890,- Right. (upbeat music)
gCnJjWRf5dk,281890,282723,- You got it?
gCnJjWRf5dk,282723,283556,"Oh, God."
gCnJjWRf5dk,283556,284389,"- No, I'm good."
gCnJjWRf5dk,284389,286663,"My nose is flat, I cannot see."
gCnJjWRf5dk,288085,289810,(box crumpling)
gCnJjWRf5dk,289810,291500,"- Originally, I wanted to build the computer,"
gCnJjWRf5dk,291500,294310,but I think that might take a lot longer
gCnJjWRf5dk,294310,296080,"than we want to, so..."
gCnJjWRf5dk,296080,298159,"- That's okay, we got all day."
gCnJjWRf5dk,298160,299850,"All right, Sarah's building a computer."
gCnJjWRf5dk,299850,300967,"- Okay, let's do it."
gCnJjWRf5dk,300967,303000,- New LTT screwdriver. Oh!
gCnJjWRf5dk,303000,304950,"- I think this is the intended use, right?"
gCnJjWRf5dk,304950,306360,For this new screwdriver?
gCnJjWRf5dk,306360,307340,"- Yeah, I think so."
gCnJjWRf5dk,307340,309610,"Can you tell there's a bit of rivalry between the like,"
gCnJjWRf5dk,309610,311080,fashion graphic design team
gCnJjWRf5dk,311080,312330,and the engineering team?
gCnJjWRf5dk,312330,315340,The way they treat each other's products? Shameful.
gCnJjWRf5dk,315340,316173,"- Oh, my gosh,"
gCnJjWRf5dk,316173,319270,he wants the thing hanging off of the light.
gCnJjWRf5dk,319270,322270,- I think I have a better chance of jumping into orbit.
gCnJjWRf5dk,322270,323660,"I'm not calling you cat fat,"
gCnJjWRf5dk,323660,324493,I'm just... - It's okay.
gCnJjWRf5dk,324493,325570,- Saying he's... - He's got a lot
gCnJjWRf5dk,325570,327240,of fur weighing him down.
gCnJjWRf5dk,327240,329000,"- Oh, yeah, it's fur for sure."
gCnJjWRf5dk,329000,331111,I'm thirsting for computers.
gCnJjWRf5dk,331111,332889,- So is Arlo. - Yeah.
gCnJjWRf5dk,332890,337890,"- So I know after being an experienced computer person,"
gCnJjWRf5dk,338450,340220,"I know you start with the motherboard,"
gCnJjWRf5dk,340220,343040,so I will get to opening that.
gCnJjWRf5dk,343040,343873,- Okay.
gCnJjWRf5dk,345340,346261,- Oh.
gCnJjWRf5dk,346261,347662,(kitchen cabinet slamming) - Tray.
gCnJjWRf5dk,347662,348495,"- Oh, smart."
gCnJjWRf5dk,348495,351229,- So I did get the Z690-A motherboard
gCnJjWRf5dk,351230,353570,to kind of match the black and white theme
gCnJjWRf5dk,353570,354710,that I'm going for.
gCnJjWRf5dk,354710,357151,One nice bonus that I don't have on my...
gCnJjWRf5dk,357152,358812,(Linus exclaiming)
gCnJjWRf5dk,358812,360794,- He just knocked it over.
gCnJjWRf5dk,360794,361627,(Linus laughing)
gCnJjWRf5dk,361627,362460,You do have...
gCnJjWRf5dk,362460,364960,"- Wow, it comes with a little key chain,"
gCnJjWRf5dk,364960,367660,"some stickers, this is the stuff that really matters,"
gCnJjWRf5dk,367660,369023,who cares about this?
gCnJjWRf5dk,369023,369856,(Sarah whistling)
gCnJjWRf5dk,369856,371259,That is a spiffy motherboard.
gCnJjWRf5dk,371260,373670,"- Some really good features on this motherboard, mkay?"
gCnJjWRf5dk,373670,376470,"We've got support for PCIe Gen 5,"
gCnJjWRf5dk,376470,379280,along with 12th Gen Intel Core processors.
gCnJjWRf5dk,379280,382610,"Got the nice little PCI Express release button here,"
gCnJjWRf5dk,382610,383469,"which is super cool,"
gCnJjWRf5dk,383470,385310,if you ever need to get your graphics card up.
gCnJjWRf5dk,385310,387160,"Got lots of power phases,"
gCnJjWRf5dk,387160,389160,this is a freaking sick motherboard.
gCnJjWRf5dk,389160,390860,"- There's the little triangle right there,"
gCnJjWRf5dk,390860,392729,"and see, I've got the little triangle here."
gCnJjWRf5dk,392730,394800,"- Mm-hmm, go ahead and stick it in."
gCnJjWRf5dk,394800,396280,"Oh, my God, you're shaking so much,"
gCnJjWRf5dk,396280,398090,"okay, hold on, hold on, hold on, hold on, hold on."
gCnJjWRf5dk,398090,398923,- It's not...
gCnJjWRf5dk,398923,400320,"- No, no, that's not a triangle."
gCnJjWRf5dk,400320,402423,So the triangles here.
gCnJjWRf5dk,402423,403256,- Oh.
gCnJjWRf5dk,404100,405850,"- And also there. Okay, cool."
gCnJjWRf5dk,405850,407680,- So we gotta flip it the opposite direction?
gCnJjWRf5dk,407680,409340,"- This is actually a really good opportunity, though,"
gCnJjWRf5dk,409340,411900,for us to talk about the other way
gCnJjWRf5dk,411900,413400,"that you can landmark your CPU,"
gCnJjWRf5dk,413400,415259,because we'd really never mentioned it.
gCnJjWRf5dk,415260,416970,"So there's the triangle method, right?"
gCnJjWRf5dk,416970,418870,"Where you've got the little golden triangle in the corner,"
gCnJjWRf5dk,418870,420080,and you line that up with the triangle
gCnJjWRf5dk,420080,421470,that's either on the socket cover
gCnJjWRf5dk,421470,423510,"or silk screened onto the motherboard,"
gCnJjWRf5dk,423510,427620,"but Intel CPUs are also keyed, see that?"
gCnJjWRf5dk,427620,428453,You've got these - oh.
gCnJjWRf5dk,428453,430620,"- Little notches in the side of the chip,"
gCnJjWRf5dk,430620,432150,"and so, you can check that"
gCnJjWRf5dk,432150,435530,and you can validate them against the notches
gCnJjWRf5dk,435530,438170,that are also here in the socket to make sure
gCnJjWRf5dk,438170,439960,that you've got it in the right spot.
gCnJjWRf5dk,439960,440793,- All right.
gCnJjWRf5dk,441890,442885,I did it.
gCnJjWRf5dk,442885,443718,- Nice. - All right?
gCnJjWRf5dk,443718,445860,"And now, we close it."
gCnJjWRf5dk,445860,446882,- That's...
gCnJjWRf5dk,446882,447809,- Am I not supposed to do that?
gCnJjWRf5dk,447809,449270,"- Not how I would've closed it, but sure."
gCnJjWRf5dk,449270,451830,"- Maybe took me two tries, but I did it."
gCnJjWRf5dk,451830,453729,- You did it. What's next?
gCnJjWRf5dk,453730,455120,- RAM. - Yes.
gCnJjWRf5dk,455120,458210,- So I'm taking two RAM from my old computer.
gCnJjWRf5dk,458210,459470,- Okay. - And I'm also installing
gCnJjWRf5dk,459470,460600,two new RAM.
gCnJjWRf5dk,460600,462380,"Don't worry, I made sure that they're all the same,"
gCnJjWRf5dk,462380,464260,so we're not gonna have any issues there.
gCnJjWRf5dk,464260,465870,"- Two RAM for you, my lady."
gCnJjWRf5dk,465870,466703,- Thank you.
gCnJjWRf5dk,466703,467990,"After doing ""Secret Shopper,"""
gCnJjWRf5dk,467990,471430,I would say I'm pretty good at putting RAM sticks in.
gCnJjWRf5dk,471430,474793,"I know to look for the click, but I don't wanna jinx myself."
gCnJjWRf5dk,476260,478600,- A little pro tip for installing RAM on camera
gCnJjWRf5dk,478600,481010,is you wanna put populate from farthest away
gCnJjWRf5dk,481010,481944,from the camera operator.
gCnJjWRf5dk,481944,482777,- That makes sense.
gCnJjWRf5dk,482777,484250,"- It's okay, don't worry about it."
gCnJjWRf5dk,484250,486970,"- Arlo, pardon me, thank you."
gCnJjWRf5dk,486970,489560,"Next, I believe, is the SSD, correct?"
gCnJjWRf5dk,489560,491960,"- Correct, so you've got multiple options"
gCnJjWRf5dk,491960,493660,"in terms of your SSD install,"
gCnJjWRf5dk,493660,495780,"you have a really high performance SSD,"
gCnJjWRf5dk,495780,497600,"we've got a Sabrent Rocket 4 Plus,"
gCnJjWRf5dk,497600,499500,"this is a Gen 4 SSD,"
gCnJjWRf5dk,499500,502300,"so while you could install it here, here,"
gCnJjWRf5dk,502300,504330,"or here... - Oh, it goes here."
gCnJjWRf5dk,504330,506793,- There's a total of four M.2 slots on this Mofo.
gCnJjWRf5dk,506794,508140,- Yeah.
gCnJjWRf5dk,508140,509130,"- You're gonna want this one, yeah."
gCnJjWRf5dk,509130,510310,- Awesome. - Exactly.
gCnJjWRf5dk,510310,513492,"- Okay, SSD. So this part goes in here."
gCnJjWRf5dk,514450,515440,(Sarah and Linus laughing)
gCnJjWRf5dk,515440,516331,- So what you're gonna wanna do
gCnJjWRf5dk,516331,517610,is you're gonna wanna turn this clockwise
gCnJjWRf5dk,517610,518539,to lock it into place.
gCnJjWRf5dk,518539,519373,"- Oh. - Yeah,"
gCnJjWRf5dk,519373,520919,it's a really cool little toolless mechanism
gCnJjWRf5dk,520919,521889,that ASUS has now.
gCnJjWRf5dk,521890,523180,"- Oh, I just have..."
gCnJjWRf5dk,523180,525339,"- Wow, what did you do?"
gCnJjWRf5dk,525340,527220,- I'm sorry. Can we like press...
gCnJjWRf5dk,527220,530399,"- No, stop, stop touching it."
gCnJjWRf5dk,530400,532050,Stop. (Sarah laughing)
gCnJjWRf5dk,532050,535180,- I have this AIO from EK.
gCnJjWRf5dk,535180,536210,"I was promised,"
gCnJjWRf5dk,536210,538340,"there was gonna be a 12th Gen bracket in here,"
gCnJjWRf5dk,538340,539730,"but it doesn't say that,"
gCnJjWRf5dk,539730,541050,"there's one on the box,"
gCnJjWRf5dk,541050,543620,so I actually am a little nervous
gCnJjWRf5dk,543620,545170,that that's not gonna happen.
gCnJjWRf5dk,545170,546490,"Matt, if you're watching this"
gCnJjWRf5dk,546490,549399,"and you're wrong, bad news."
gCnJjWRf5dk,549399,550440,(Sarah laughing)
gCnJjWRf5dk,550440,551711,You're fired.
gCnJjWRf5dk,551711,553050,"- You don't have that power, Sarah."
gCnJjWRf5dk,553050,554993,- We're actually making really good progress so far.
gCnJjWRf5dk,554994,556297,- [David] Don't say that. You're gonna curse it.
gCnJjWRf5dk,556297,558330,- (grunting) Knock on fake wood.
gCnJjWRf5dk,558330,559520,Is it working?
gCnJjWRf5dk,559520,560843,"- I think so, yeah,"
gCnJjWRf5dk,560843,561700,"I think we're golden - Okay, that's good."
gCnJjWRf5dk,561700,563720,- But not because the correct mounting hardware
gCnJjWRf5dk,563720,566660,"was included, so you can let Matt know about that."
gCnJjWRf5dk,566660,568639,"- Yeah, Matt's fired. - Was not..."
gCnJjWRf5dk,568640,570361,"No, that's not what I said."
gCnJjWRf5dk,570361,571194,(both laughing)
gCnJjWRf5dk,571194,572350,Sheesh. - Sheesh.
gCnJjWRf5dk,572350,573750,- I'm just gonna move this.
gCnJjWRf5dk,573750,576800,"Woo. Yes, it has a built-in IO shield,"
gCnJjWRf5dk,576800,578350,"so we don't have to worry about putting the IO shield,"
gCnJjWRf5dk,578350,579678,you're good to put your motherboard in.
gCnJjWRf5dk,579679,580512,"- Okay, there we go."
gCnJjWRf5dk,580512,582377,"- Perfect, like a perceptional."
gCnJjWRf5dk,582377,583620,(hands clapping) - Beautiful.
gCnJjWRf5dk,583620,585093,- Our lo tired from helping.
gCnJjWRf5dk,585093,585926,- Yeah.(Sarah laughing)
gCnJjWRf5dk,585926,586880,- It's a tough life.
gCnJjWRf5dk,586880,589111,"- Eat, sleep and poop. What a life?"
gCnJjWRf5dk,589111,590660,(paper crumpling)
gCnJjWRf5dk,590660,591493,Where's my scissors.
gCnJjWRf5dk,591493,592326,- Really?
gCnJjWRf5dk,594280,595370,Yeah. Totally easy.
gCnJjWRf5dk,595370,597339,- Yeah. The easiest.
gCnJjWRf5dk,597340,599890,- I do love to like tease Yvonne like that.
gCnJjWRf5dk,599890,602376,"Like if you can't open a jar or whatever, I'll like,"
gCnJjWRf5dk,602376,604430,"- It's just so here. - I'll totally go to my way,"
gCnJjWRf5dk,604430,607500,"to make it seem like as easy as possible to be like,"
gCnJjWRf5dk,607500,608490,yeah. Oh yeah.
gCnJjWRf5dk,608490,609589,"Oh, here you Gohan."
gCnJjWRf5dk,609590,610990,"Oh, wow. That's crazy."
gCnJjWRf5dk,610990,612250,It almost looks kind of cool.
gCnJjWRf5dk,612250,613083,"This like, - Oh, it's dust"
gCnJjWRf5dk,613083,614430,"- Pattern on here, but yeah,"
gCnJjWRf5dk,614430,616370,you've got a dust pattern on your powers play.
gCnJjWRf5dk,616370,619083,I often get like allergies when I'm cleaning.
gCnJjWRf5dk,619083,621230,"I think I have some kind of,"
gCnJjWRf5dk,621230,623771,"well, I tell my wife it's cuz I'm allergic to cleaning."
gCnJjWRf5dk,623771,625230,(Sarah laughing) That's good.
gCnJjWRf5dk,625230,627180,"Sorry, Hannah. I really wanna help, but just."
gCnJjWRf5dk,627180,628093,- Can't clean.
gCnJjWRf5dk,629120,631378,- Hold on a second. Is his food up there or something?
gCnJjWRf5dk,631378,633850,"- No, I have no idea why he's trying to get in there."
gCnJjWRf5dk,633850,637050,"- Your butt is so wide, but cat."
gCnJjWRf5dk,637050,639149,I think he has a wider but than me.
gCnJjWRf5dk,639150,639983,- Definitely - [David] It's close.
gCnJjWRf5dk,639983,640829,- Get over here Arlo.
gCnJjWRf5dk,640830,645830,"- Eddie, who I have this GM MK pro keyboard that I bought."
gCnJjWRf5dk,646000,648710,I really wanted to try assembling one on my own.
gCnJjWRf5dk,648710,650350,So I got all of the pieces here.
gCnJjWRf5dk,650350,652089,I decided to go with blue keys
gCnJjWRf5dk,652090,655510,because that's what I have in my keyboard that I use now.
gCnJjWRf5dk,655510,656660,There's more stickers.
gCnJjWRf5dk,656660,658550,I love when things come with stickers.
gCnJjWRf5dk,658550,660430,"If you buy from LTT store,"
gCnJjWRf5dk,660430,662574,your package will likely come with stickers.
gCnJjWRf5dk,662574,663800,- Designed by.
gCnJjWRf5dk,663800,664912,- Designed by ma.
gCnJjWRf5dk,665790,667990,"Now I've noticed this keyboard,"
gCnJjWRf5dk,667990,670770,like the base of a keyboard is really heavy.
gCnJjWRf5dk,670770,671603,- Oh wow! Yeah.
gCnJjWRf5dk,671603,673002,That's a machined base. - Yeah.
gCnJjWRf5dk,673002,674230,- How much has that keyboard?
gCnJjWRf5dk,674230,676660,"- I actually don't know, but it looks nice."
gCnJjWRf5dk,676660,677493,- Thanks Intel.
gCnJjWRf5dk,677493,679610,- I don't need this cable because I actually bought
gCnJjWRf5dk,679610,682000,like the iconic keyboard style cable.
gCnJjWRf5dk,682000,682900,How does this?
gCnJjWRf5dk,682900,686920,- So you just take this and line it up and give it a little.
gCnJjWRf5dk,686920,688660,- Okay. I've got a lot of these to do.
gCnJjWRf5dk,688660,690129,- Yeah. A hundred times.
