vid,start,end,text
gL4jBP6mENo,0,840,된다
gL4jBP6mENo,840,3149,일찍 60 어떻게 까운 들 거 뭐라고
gL4jBP6mENo,3149,5460,맞게 모르 방어 예뻐질 수 이깟 같아
gL4jBP6mENo,5460,8250,없다 이해 마음 언급 ili 이렇게
gL4jBP6mENo,8250,10200,님 양말 이렇게 약물
gL4jBP6mENo,10200,12690,ka
gL4jBP6mENo,12690,15179,봐 많은 갤리온 더마 올라올 때 마
gL4jBP6mENo,15179,18060,아 얘 봐 민지 올라온다는 야 굉장히
gL4jBP6mENo,18060,19650,제를 그런데 왜
gL4jBP6mENo,19650,21510,으 음
gL4jBP6mENo,21510,24210,매 2r 만나 많이 쯤 베리 아이막
gL4jBP6mENo,24210,26250,말이 들어가 일단 미씨 아닐까 미국
gL4jBP6mENo,26250,28619,대항하는 그냥 해야 되는가 바라보며
gL4jBP6mENo,28619,30900,어떻게 되겠냐 아예 쥬스로 만들어
gL4jBP6mENo,30900,33390,걔네 도망도 아래 일이냐 않을래 보니
gL4jBP6mENo,33390,34290,부담을
gL4jBP6mENo,34290,37170,커플이 야 라 아닌게 발라 마 나한
gL4jBP6mENo,37170,40140,테 리 어 그냥 약간 약간 해 쌀이
gL4jBP6mENo,40140,42870,바 안내페이지 계시는가 빼볼까 쏠려
gL4jBP6mENo,42870,44370,아주 때 바 분들이
gL4jBP6mENo,44370,47129,법칙이나 아 안돼 아니 이 곳 에
gL4jBP6mENo,47129,49379,가서 골드로 보라 네 알아본다 봐야
gL4jBP6mENo,49379,51000,enb 아이를 배선 오렌지 되는가
gL4jBP6mENo,51000,53039,4제 imc 앞으로 올래 머리 될까
gL4jBP6mENo,53039,54840,이제 마을 카운터 앞으로 올라
gL4jBP6mENo,54840,56730,나아가려 지금에야 발이 저렇게 민예
gL4jBP6mENo,56730,58920,지켰으면 달래야 브래 보니 지라 쌤
gL4jBP6mENo,58920,60930,8 놀음을 느끼는 이라며 보단 리
gL4jBP6mENo,60930,63000,디엔에이 침이나 치워 답이 인데 웹
gL4jBP6mENo,63000,65158,세이브 개 얘 주께서는 아니라
gL4jBP6mENo,65158,66909,해보니까
gL4jBP6mENo,66909,69280,예 맞는게 란 범위 관수를 뒤에
gL4jBP6mENo,69280,71319,마치 옆에 앞에 분 라울의 솔로몬
