vid,start,end,text
j8TcR4ihSyE,320,1760,cristiano great to see you again thank
j8TcR4ihSyE,1760,4480,you first question is how are you i'm
j8TcR4ihSyE,4480,7440,good and you i'm very well but i haven't
j8TcR4ihSyE,7440,8480,just missed the game for manchester
j8TcR4ihSyE,8480,9679,united so
j8TcR4ihSyE,9679,12080,how are you no i'm good i just have a
j8TcR4ihSyE,12080,13759,little uh
j8TcR4ihSyE,13759,15040,a little
j8TcR4ihSyE,15040,18320,touch but you know it's part of the
j8TcR4ihSyE,18320,20640,my work you know we have to feel
j8TcR4ihSyE,20640,23039,some pain sometimes but it's nothing
j8TcR4ihSyE,23039,24400,nothing big
j8TcR4ihSyE,24400,27439,and i hope to be good soon
j8TcR4ihSyE,27439,29439,for the weekend i hope so
j8TcR4ihSyE,29439,31599,we will try tomorrow i will
j8TcR4ihSyE,31599,34320,i will i will do it i will try to to
j8TcR4ihSyE,34320,36399,training normal and let's see our body
j8TcR4ihSyE,36399,39440,reacts and um
j8TcR4ihSyE,39440,42239,i'm fingers crossed i i'm confident i
j8TcR4ihSyE,42239,43920,remember the cristiano first time around
j8TcR4ihSyE,43920,45520,when you couldn't play
j8TcR4ihSyE,45520,47200,you weren't you weren't a happy boy how
j8TcR4ihSyE,47200,48239,are you now you're a little bit older
j8TcR4ihSyE,48239,49840,when you miss a game
j8TcR4ihSyE,49840,51039,well you
j8TcR4ihSyE,51039,52800,you are more mature as you mentioned
j8TcR4ihSyE,52800,56399,before so i know better my body
j8TcR4ihSyE,56399,58239,to don't say on the percent but i think
j8TcR4ihSyE,58239,60719,i'm i know about 100
j8TcR4ihSyE,60719,62960,and
j8TcR4ihSyE,63359,66880,mature experience experience give you
j8TcR4ihSyE,66880,69439,the possibility for you to understand
j8TcR4ihSyE,69439,73040,your mind your body everything around
j8TcR4ihSyE,73040,74720,football so
j8TcR4ihSyE,74720,77119,it's good i'm i'm a different person i'm
j8TcR4ihSyE,77119,78720,a different player but
j8TcR4ihSyE,78720,80960,the ambition is still the same i want to
j8TcR4ihSyE,80960,83680,i want to play and help the team
j8TcR4ihSyE,83680,85520,talking of differences a lot's happened
j8TcR4ihSyE,85520,87280,since the last time we had a sit-down
j8TcR4ihSyE,87280,89439,chat you have a a new manager ollie's
j8TcR4ihSyE,89439,91280,gone how do you reflect on the on the
j8TcR4ihSyE,91280,93759,last couple of months here
j8TcR4ihSyE,93759,97200,well not easy to be honest not easy
j8TcR4ihSyE,97200,97920,that
j8TcR4ihSyE,97920,99360,we change
j8TcR4ihSyE,99360,102159,the first coach only after for carrick
j8TcR4ihSyE,102159,103840,and after for
