vid,start,end,text
jUDZFlm-w5I,80,2000,today we're gonna be making art out of a
jUDZFlm-w5I,2000,3280,ton of play-doh
jUDZFlm-w5I,3280,5520,this should be fun we have five artists
jUDZFlm-w5I,5520,6319,and a ton
jUDZFlm-w5I,6319,8320,of play-doh whoever makes the best
jUDZFlm-w5I,8320,9519,play-doh art in
jUDZFlm-w5I,9519,11519,four hours wins up to five thousand
jUDZFlm-w5I,11519,13040,dollars per subscriber and
jUDZFlm-w5I,13040,16240,i'll give you 500 as well
jUDZFlm-w5I,16240,18080,who do you think will win jake jake who
jUDZFlm-w5I,18080,22000,do you think will win mckenzie kenzie
jUDZFlm-w5I,22160,25840,oh i'm a bet on myself
jUDZFlm-w5I,26240,27680,we're gonna make this interesting
jUDZFlm-w5I,27680,29439,halfway through the challenge whoever i
jUDZFlm-w5I,29439,30400,think is the best
jUDZFlm-w5I,30400,32719,so far gets an advantage well not that
jUDZFlm-w5I,32719,35040,person the person that bet on them
jUDZFlm-w5I,35040,37120,so for example halfway through if jake
jUDZFlm-w5I,37120,38640,is in the lead mackenzie gets an
jUDZFlm-w5I,38640,40480,advantage because mckenzie bet on jake
jUDZFlm-w5I,40480,44559,time starts now
jUDZFlm-w5I,44559,46559,whoever loses this challenge has to do
jUDZFlm-w5I,46559,48079,with 10-page math exam
jUDZFlm-w5I,48079,49760,and whoever scores the lowest on that
jUDZFlm-w5I,49760,52160,exam has to do another punishment
jUDZFlm-w5I,52160,53920,i'm just gonna go with minecraft i'm not
jUDZFlm-w5I,53920,55440,even gonna use a reference because i
jUDZFlm-w5I,55440,56879,play it so much and i should know what
jUDZFlm-w5I,56879,58640,it looks like all right jess do you have
jUDZFlm-w5I,58640,60399,any idea what you're doing so far
jUDZFlm-w5I,60399,62719,um i think i'm gonna go ahead and do
jUDZFlm-w5I,62719,64960,like a dragon with like really big
jUDZFlm-w5I,64960,66400,wings do you have any idea what you're
jUDZFlm-w5I,66400,68560,gonna make yes there is always so
jUDZFlm-w5I,68560,70000,secretive with him
jUDZFlm-w5I,70000,72880,someone always steals ideas oh my god
jUDZFlm-w5I,72880,73280,jake
jUDZFlm-w5I,73280,76400,loves bailey okay it's a monkey but i
jUDZFlm-w5I,76400,77840,don't see any browns
jUDZFlm-w5I,77840,79840,that may be a problem it may be a
jUDZFlm-w5I,79840,81040,problem michelle
jUDZFlm-w5I,81040,82960,i want to do something with minecraft
jUDZFlm-w5I,82960,84880,please watch me play minecraft
jUDZFlm-w5I,84880,86960,she tries her best jake what are you
jUDZFlm-w5I,86960,90159,making i'm going to make a monkey
jUDZFlm-w5I,90159,92000,i'm just kidding i'm just kidding i am
jUDZFlm-w5I,92000,93680,going to be making
jUDZFlm-w5I,93680,97119,a 3d version of some of the caricatures
jUDZFlm-w5I,97119,98880,this is a little awkward because i'm
jUDZFlm-w5I,98880,100720,also going to be making a dragon
jUDZFlm-w5I,100720,103759,oh just curious is it just me or
jUDZFlm-w5I,103759,105439,does play-doh smell really good and is
jUDZFlm-w5I,105439,106960,it kind of tempting to eat i
jUDZFlm-w5I,106960,110960,know please don't eat the play-doh
jUDZFlm-w5I,110960,112960,so i don't know exactly how i'm making
jUDZFlm-w5I,112960,114399,my creature yet but i think i'm going to
jUDZFlm-w5I,114399,116159,start off with some octopus chemicals
jUDZFlm-w5I,116159,118399,jake give me an animal octopus you guys
jUDZFlm-w5I,118399,120399,have five minutes to make an octopus
jUDZFlm-w5I,120399,125200,best one wins two more of these extra
jUDZFlm-w5I,126840,129840,play-doh
jUDZFlm-w5I,131120,134239,five four three two one
jUDZFlm-w5I,134239,136239,stop what you're doing not bad jake that
jUDZFlm-w5I,136239,137520,actually didn't turn out too bad
jUDZFlm-w5I,137520,139599,what that's better than yours stop
jUDZFlm-w5I,139599,140800,cackling over there
jUDZFlm-w5I,140800,143360,little popcorn box well jake i might
jUDZFlm-w5I,143360,146959,have to give this one to you let's go
jUDZFlm-w5I,147020,150159,[Music]
jUDZFlm-w5I,152640,154160,it's been around an hour and a half
jUDZFlm-w5I,154160,155840,how's your dragon going it's taking me a
jUDZFlm-w5I,155840,157599,little bit longer than i thought
jUDZFlm-w5I,157599,159120,who would you say is your biggest
jUDZFlm-w5I,159120,161040,competition so far yeah
jUDZFlm-w5I,161040,162400,oh so is that gonna be one of your
jUDZFlm-w5I,162400,164879,characters yeah i'm making
jUDZFlm-w5I,164879,167200,a minecraft one and it took me about 40
jUDZFlm-w5I,167200,169040,minutes to do that it looks pretty nice
jUDZFlm-w5I,169040,169599,so far
jUDZFlm-w5I,169599,172160,whoa mackenzie you're right the towel
jUDZFlm-w5I,172160,173120,you made it looks
jUDZFlm-w5I,173120,175040,very realistic i think you might be in
jUDZFlm-w5I,175040,176640,the lead for the halfway mark
jUDZFlm-w5I,176640,178400,i'm just trying to make like the basic
jUDZFlm-w5I,178400,180720,shape of my dragon and i'm not using the
jUDZFlm-w5I,180720,182480,colors that i'm actually gonna use
jUDZFlm-w5I,182480,184959,i would definitely say work fast since
jUDZFlm-w5I,184959,187040,for you and mackenzie time might be an
jUDZFlm-w5I,187040,187680,issue
jUDZFlm-w5I,187680,192400,[Music]
jUDZFlm-w5I,192400,195760,all right artists make a ball
jUDZFlm-w5I,195760,197040,each of you are going to try to toss
jUDZFlm-w5I,197040,198959,your play-doh ball into this
jUDZFlm-w5I,198959,201120,if you make it in you can squish one
jUDZFlm-w5I,201120,202159,person's sculpture
jUDZFlm-w5I,202159,205760,with your index finger and your thumb
jUDZFlm-w5I,207400,210610,[Music]
jUDZFlm-w5I,210840,212799,yay
jUDZFlm-w5I,212799,216239,looking really really good that towel is
jUDZFlm-w5I,216239,219020,one of my favorite colors
jUDZFlm-w5I,219020,222369,[Applause]
jUDZFlm-w5I,222480,224799,my heart is being so fast hello sir
jUDZFlm-w5I,224799,226959,please teach me about businesses and all
jUDZFlm-w5I,226959,227440,things
jUDZFlm-w5I,227440,230640,businesses i'm all about business and
jUDZFlm-w5I,230640,233040,games
jUDZFlm-w5I,235790,238080,[Music]
jUDZFlm-w5I,238080,240560,we are at the halfway mark it's time to
jUDZFlm-w5I,240560,241200,choose
jUDZFlm-w5I,241200,244400,someone who's in the lead viv it looks
jUDZFlm-w5I,244400,246400,like you recovered from your towel
jUDZFlm-w5I,246400,247040,incident
jUDZFlm-w5I,247040,249360,i believe you are in the lead michelle
jUDZFlm-w5I,249360,250239,you bet on viv
jUDZFlm-w5I,250239,253599,yeah here is your advantage choose one
jUDZFlm-w5I,253599,254159,person
jUDZFlm-w5I,254159,258000,to help you out for the next 30 minutes
jUDZFlm-w5I,262960,265520,we have one hour left on the clock so
jUDZFlm-w5I,265520,266240,you guys
jUDZFlm-w5I,266240,267680,might want to pick things up are you
jUDZFlm-w5I,267680,269120,almost done with your dragon i kind of
jUDZFlm-w5I,269120,269840,moved over
jUDZFlm-w5I,269840,272560,to my centerpiece so your dragon's gonna
jUDZFlm-w5I,272560,273680,be on top of it
jUDZFlm-w5I,273680,275840,yeah the rock looks really nice i would
jUDZFlm-w5I,275840,277680,really get working on this because you
jUDZFlm-w5I,277680,279040,don't have a lot of time left
