vid,start,end,text
ksOFyVYkp44,0,3060,e herkese selam ölmüş ben yine Az önce
ksOFyVYkp44,3060,5310,video kapattım ve sonra tekrar Kamerayı
ksOFyVYkp44,5310,7290,açıp kapatıp Herkese selam diye bir
ksOFyVYkp44,7290,10200,giriş yaptığım için Ümit gülüyor sanki
ksOFyVYkp44,10200,12660,çok az işimiz varmış gibi bir de arabayı
ksOFyVYkp44,12660,15139,satmaya kalktı Ümit bugün
ksOFyVYkp44,15139,18270,bugün Mobilya bakacağız Bugün bir çok
ksOFyVYkp44,18270,21029,işimiz var Yani az önce gösterdim size
ksOFyVYkp44,21029,24330,videoda Ama bu defteri kalemlerimiz her
ksOFyVYkp44,24330,26789,şeyimizi ölçü alıp Mobilya Bakacağız bir
ksOFyVYkp44,26789,28830,gündeki Ümit arabayı sattık yani Bir de
ksOFyVYkp44,28830,30929,başka bir iş çıkartıyor yapabiliyoruz
ksOFyVYkp44,30929,32450,Durmuş
ksOFyVYkp44,32450,36510,Mobilya bakma gününde yeni bir MİT'in
ksOFyVYkp44,36510,39510,çıkarttığı işlerle uğraşacağız Şimdi
ksOFyVYkp44,39510,41969,hemen gidelim starbucks'a kahve alalım
ksOFyVYkp44,41969,45960,Işık çok kötü o radiye Sen istersen
ksOFyVYkp44,45960,47880,gelme ben alıp gerek yok Geliyorum
ksOFyVYkp44,47880,51030,geliyorum bak gri de güzel yani tipi
ksOFyVYkp44,51030,56540,tatlı ve rengini açık renk düşün
ksOFyVYkp44,56540,59540,nasıl
ksOFyVYkp44,71659,74899,rahat değil mi
ksOFyVYkp44,76280,81860,göstereyim olarak tasarlayabilir miyiz
ksOFyVYkp44,82789,85610,göstereceğim
ksOFyVYkp44,85610,89009,salona Aslında çok benzer koltuğunuz Şu
ksOFyVYkp44,89009,92520,ve bunun teklileri var bizim terastaki
ksOFyVYkp44,92520,96360,koltuğu yani bombeli olması tüm Oturma
ksOFyVYkp44,96360,98429,Oturma odasına koyduk ama salonunda bunu
ksOFyVYkp44,98429,103259,koyduk çok benzer olacak gibi ya
ksOFyVYkp44,103900,106180,bu dünyanın arkadaşlar çok rahat bir
ksOFyVYkp44,106180,108160,şekilde çekim yapamıyoruz Daha doğrusu
ksOFyVYkp44,108160,110830,ilk girdiğimiz mağaza ama yani her gün
ksOFyVYkp44,110830,112840,video fotoğraf paylaşırken Instagram
ksOFyVYkp44,112840,115180,hesabında işte YouTube önce çekebilir
ksOFyVYkp44,115180,117400,miyiz falan diye sorduğumda bir anda şey
ksOFyVYkp44,117400,122190,oluyorlar şey çekmesini bir Sonra işte
ksOFyVYkp44,122190,124720,çekebilirsiniz Ama hani çok çekmeyi
ksOFyVYkp44,124720,128140,bakalım nasıl çok çek bir ya da bir
ksOFyVYkp44,128140,130060,gidiyor çekemezsiniz diğeri geliyor
ksOFyVYkp44,130060,132280,çekebilirsin diyor bir şey olduk böyle
ksOFyVYkp44,132280,134460,içeride modumuz düştü bu konu yüzünden
ksOFyVYkp44,134460,137530,hani biri çekebilirsin dedi başta çektim
ksOFyVYkp44,137530,139510,sonra diğeri geldik çekim yapmamızı
ksOFyVYkp44,139510,141970,yasak dedi Sonra bir kapadım falan o
ksOFyVYkp44,141970,145000,sızladı böyle modum düştü sahip terleme
ksOFyVYkp44,145000,147880,yaşıyoruz ama umudum düşüncede geri
ksOFyVYkp44,147880,150190,Kamerayı açıp çekemedim sadece fiyat
ksOFyVYkp44,150190,152050,sordum ve çıktım ve sen orada benim
ksOFyVYkp44,152050,154600,modumu düşürme Seydi ve ben böyle güzel
ksOFyVYkp44,154600,157420,güzel videomu çekseydim olabilirdim
ksOFyVYkp44,157420,160810,Sen ne yaptın şimdi evde büyük bir
ksOFyVYkp44,160810,164170,curcuna var ablam Aslan annemin abla
ksOFyVYkp44,164170,167020,herkese ve evde bazı böyle diğer Eve
ksOFyVYkp44,167020,169510,gidince kullanmayacağım eşyalar vardı
ksOFyVYkp44,169510,172239,dolap şifonyer vesaire gibi Annem onları
ksOFyVYkp44,172239,174640,şimdi yüzüyor götürecek Ümit geldi
ksOFyVYkp44,174640,176830,notere gidiyorum ben araba satışı
ksOFyVYkp44,176830,179350,vereceğiz dediğim gibi otele gidiyorum
ksOFyVYkp44,179350,181480,koştur koştur oradan ikiye gideceğiz
ksOFyVYkp44,181480,185200,arabada bahsedeceğim sizi araba yok ben
ksOFyVYkp44,185200,188190,Yürüyeceğim arabamın neden satıyorsun
ksOFyVYkp44,188190,191519,neden satıyorsun git
ksOFyVYkp44,191519,194769,gelmiyorum bilmeyeceğim gerçekten ya Ya
ksOFyVYkp44,194769,197890,canım Arabam gidiyor bugün son günü Son
ksOFyVYkp44,197890,201450,bir veda videosu olsun
ksOFyVYkp44,201450,206370,ve bakın gidiyor canım da gelecek diye
ksOFyVYkp44,206370,208490,binecek şimdi
ksOFyVYkp44,208490,210340,ne
ksOFyVYkp44,210340,214130,olur Ne Yo hoho bilmek çekici Tabi o
ksOFyVYkp44,214130,217100,binecek çekici de tam şey gibi olacak ha
ksOFyVYkp44,217100,220690,videoya tutam gidiyoruz
ksOFyVYkp44,220690,224170,hadi görüşürüz
ksOFyVYkp44,224170,225790,Evet
ksOFyVYkp44,225790,229490,yeni sahibine Hayırlı uğurlu olsun Güzel
ksOFyVYkp44,229490,231520,arabaydı
ksOFyVYkp44,231520,233530,şöyle
ksOFyVYkp44,233530,235180,üzüldüm
ksOFyVYkp44,235180,237460,Neyse hadi görüşürüz
ksOFyVYkp44,237460,239620,yalan yapma gel
ksOFyVYkp44,239620,243380,Ne yapıyorsun Merviş iş yapayım iş
ksOFyVYkp44,243380,245600,yapıyorsun Kolay gelsin Evet yine biz
ksOFyVYkp44,245600,247850,iki ya bize artık 16 ay boyunca iki
ksOFyVYkp44,247850,249460,araya geliriz
ksOFyVYkp44,249460,251910,hareketlere bak ya
ksOFyVYkp44,251910,255410,bak bak bak triplere baktıkları
ksOFyVYkp44,255410,259170,hem de evliliğimizin Hoşgeldiniz Bu
ksOFyVYkp44,259170,263090,arada ikiye O da test çıkarmış
ksOFyVYkp44,268730,270960,insanlar çok geldiğinde çektiğimizde
ksOFyVYkp44,270960,273170,çözmeye çalışıyorum
ksOFyVYkp44,273170,277130,Bence dünyanın en mükemmel şeyi
ksOFyVYkp44,277130,280080,yüklü olduğu için çok otobüslerin olduğu
ksOFyVYkp44,280080,284280,için uyku ama ne yapalım uykun olamaz
ksOFyVYkp44,284280,286490,taşınırken yemek yiyince enerji
ksOFyVYkp44,286490,289490,gezebilirsiniz
ksOFyVYkp44,291200,294980,tatlı çıkaramadım
ksOFyVYkp44,294980,297230,Bu da güzel
ksOFyVYkp44,297230,300230,güzel
ksOFyVYkp44,300230,303360,bakarız Şimdi ona göre seçeriz Ama şu
ksOFyVYkp44,303360,306469,yeşil çok güzelmiş
ksOFyVYkp44,307580,311580,güzelmiş güzel
ksOFyVYkp44,311920,314300,abone ol
ksOFyVYkp44,314300,318560,bu notlarımızı seçtik Evet 1 2 3 diye
