vid,start,end,text
lnIWTv2xdk8,0,27190,[Music]
lnIWTv2xdk8,29900,35280,[Music]
lnIWTv2xdk8,36239,39239,so
lnIWTv2xdk8,39540,49360,[Music]
lnIWTv2xdk8,70960,72390,me
lnIWTv2xdk8,72390,75499,[Music]
lnIWTv2xdk8,85390,116798,[Music]
lnIWTv2xdk8,118799,121799,so
lnIWTv2xdk8,140000,143120,hold it down
lnIWTv2xdk8,143120,149150,[Music]
lnIWTv2xdk8,151450,168319,[Music]
lnIWTv2xdk8,168319,170630,is
lnIWTv2xdk8,170630,175920,[Music]
lnIWTv2xdk8,175920,178380,is
lnIWTv2xdk8,178380,181470,[Music]
lnIWTv2xdk8,184170,190370,[Music]
lnIWTv2xdk8,201680,204680,so
lnIWTv2xdk8,207900,221429,[Music]
lnIWTv2xdk8,229560,243680,[Music]
lnIWTv2xdk8,243680,246680,uh
lnIWTv2xdk8,248220,251789,[Music]
lnIWTv2xdk8,255070,258139,[Music]
lnIWTv2xdk8,263650,301220,[Music]
lnIWTv2xdk8,302080,303120,do
lnIWTv2xdk8,303120,313459,[Music]
lnIWTv2xdk8,315919,317130,do
lnIWTv2xdk8,317130,326880,[Music]
lnIWTv2xdk8,326880,329880,oh
lnIWTv2xdk8,331520,339069,[Music]
lnIWTv2xdk8,339520,341540,oh
lnIWTv2xdk8,341540,346019,[Music]
lnIWTv2xdk8,355500,393880,[Music]
lnIWTv2xdk8,396260,403919,[Music]
lnIWTv2xdk8,403919,406919,uh
lnIWTv2xdk8,407050,413470,[Music]
lnIWTv2xdk8,413470,415840,[Applause]
lnIWTv2xdk8,415840,418300,so
lnIWTv2xdk8,418300,434240,[Music]
lnIWTv2xdk8,434240,436240,ah
lnIWTv2xdk8,436240,578320,[Music]
lnIWTv2xdk8,578320,581320,so
lnIWTv2xdk8,581630,621610,[Music]
lnIWTv2xdk8,622640,625640,me
lnIWTv2xdk8,631500,635120,[Music]
lnIWTv2xdk8,635200,637960,so
lnIWTv2xdk8,637960,684600,[Music]
lnIWTv2xdk8,686640,689230,down
lnIWTv2xdk8,689230,695259,[Music]
lnIWTv2xdk8,697560,714480,[Music]
lnIWTv2xdk8,714480,716740,is
lnIWTv2xdk8,716740,722079,[Music]
lnIWTv2xdk8,722079,724490,is
lnIWTv2xdk8,724490,730709,[Music]
lnIWTv2xdk8,747839,749920,you
