vid,start,end,text
opZy1qvZSqo,5830,10139,[Music]
opZy1qvZSqo,15519,18080,it should be here any day now the
opZy1qvZSqo,18080,20720,youtube's biggest art collab painting is
opZy1qvZSqo,20720,23840,on its way to me as my journey continues
opZy1qvZSqo,23840,25760,there are many experiences that could
opZy1qvZSqo,25760,28400,qualify as life-changing every new
opZy1qvZSqo,28400,32000,experience challenge or project was at
opZy1qvZSqo,32000,35200,one time or another the first experience
opZy1qvZSqo,35200,37760,for good or bad each instance changed
opZy1qvZSqo,37760,40000,the course that my life has taken but
opZy1qvZSqo,40000,41600,one of the most transformative
opZy1qvZSqo,41600,43920,experiences was beginning and pursuing
opZy1qvZSqo,43920,46640,youtube as a full-time artist
opZy1qvZSqo,46640,49280,tonight i am reflecting on another first
opZy1qvZSqo,49280,51520,experience that may very much do the
opZy1qvZSqo,51520,54239,same in the best way possible
opZy1qvZSqo,54239,57120,so here's one for the books
opZy1qvZSqo,57120,59280,as an artist in the amazing youtube
opZy1qvZSqo,59280,62000,community i'm up next in the biggest art
opZy1qvZSqo,62000,64239,collab on youtube started by the one and
opZy1qvZSqo,64239,65930,only 100.
opZy1qvZSqo,65930,68969,[Music]
opZy1qvZSqo,69119,70880,what if a bunch of youtube creators all
opZy1qvZSqo,70880,73280,collaborated on one piece of art well
opZy1qvZSqo,73280,75439,what if i started a painting and did one
opZy1qvZSqo,75439,77759,small part and then what if i sent that
opZy1qvZSqo,77759,79920,unfinished painting to another youtuber
opZy1qvZSqo,79920,82080,and what if that youtuber also added one
opZy1qvZSqo,82080,83920,small part and what if they chose
opZy1qvZSqo,83920,86000,another youtuber to send it to next and
opZy1qvZSqo,86000,88479,what if i had absolutely zero say in who
opZy1qvZSqo,88479,90320,they sent it to the project would be out
opZy1qvZSqo,90320,92159,of my hands at that point and it would
opZy1qvZSqo,92159,94560,have a life of its own
opZy1qvZSqo,94560,96720,i found 100's channel a few years ago
opZy1qvZSqo,96720,98159,back when youtube wasn't even in the
opZy1qvZSqo,98159,100320,picture for me and i can't believe i'll
opZy1qvZSqo,100320,103119,now be creating art alongside him last
opZy1qvZSqo,103119,105439,year i followed season 1 and watched all
opZy1qvZSqo,105439,107200,of the amazing artists as the painting
opZy1qvZSqo,107200,109280,traveled from one place to the next
opZy1qvZSqo,109280,111520,crazy to think that this year i'm the
opZy1qvZSqo,111520,113520,first girl to take part in this painting
opZy1qvZSqo,113520,117920,in season two talk about pressure huh
opZy1qvZSqo,117920,119840,but of course i wouldn't be up next if
opZy1qvZSqo,119840,123600,it wasn't for the artist that chose me
opZy1qvZSqo,124640,127360,mr kiptoe
opZy1qvZSqo,127360,129599,he made an epic short film that left you
opZy1qvZSqo,129599,131760,with goosebumps which i was so grateful
opZy1qvZSqo,131760,134480,to be a part of
opZy1qvZSqo,137040,138879,all that said
opZy1qvZSqo,138879,140720,there's just one thing i need to ask you
opZy1qvZSqo,140720,143720,jess
opZy1qvZSqo,144959,147440,are you in
opZy1qvZSqo,148720,149920,i'm in
opZy1qvZSqo,149920,151280,awesome
opZy1qvZSqo,151280,153200,yeah i love your work and i think you're
opZy1qvZSqo,153200,156080,gonna be a great addition to this piece
opZy1qvZSqo,156080,158080,i was reminded how beautiful it was to
opZy1qvZSqo,158080,160000,connect with another artist and help
opZy1qvZSqo,160000,162080,bring their vision to life even if it's
opZy1qvZSqo,162080,164560,a small fraction oh and did i mention
opZy1qvZSqo,164560,168710,they call themselves ten toes
opZy1qvZSqo,168710,171809,[Music]
opZy1qvZSqo,179599,180720,wow
opZy1qvZSqo,180720,183840,yeah i know ten toes are cool i guess so
opZy1qvZSqo,183840,185760,a moment of huge thanks to kiptoe for
opZy1qvZSqo,185760,187280,choosing me
opZy1qvZSqo,187280,189519,i'm filled with floods of emotion
opZy1qvZSqo,189519,192239,immense pressure happiness runs through
opZy1qvZSqo,192239,194480,my mind as i wait for this package to
opZy1qvZSqo,194480,195680,arrive
opZy1qvZSqo,195680,197599,but when it does
opZy1qvZSqo,197599,199920,what am i going to paint how will i
opZy1qvZSqo,199920,201680,complete my part
opZy1qvZSqo,201680,204000,i guess we'll find out
opZy1qvZSqo,204000,208440,the best is yet to come
opZy1qvZSqo,211530,222560,[Music]
opZy1qvZSqo,226450,280639,[Music]
opZy1qvZSqo,280639,286560,wow holding this right now is so surreal
opZy1qvZSqo,286720,289199,ten toes you guys totally rocked it it's
opZy1qvZSqo,289199,291120,one thing seeing it on video but in
opZy1qvZSqo,291120,294960,person this is just unbelievable
opZy1qvZSqo,294960,296880,the colors just place so beautifully
opZy1qvZSqo,296880,299520,together the exact details that you see
opZy1qvZSqo,299520,301759,100 go into in every single one of his
opZy1qvZSqo,301759,305520,videos and kiptos dragon i just feel his
opZy1qvZSqo,305520,307919,energy as if he's right here with me
opZy1qvZSqo,307919,310080,there's already a really awesome flow
opZy1qvZSqo,310080,312320,going here so i'm gonna see how i can
opZy1qvZSqo,312320,314639,incorporate my flow so we're all like
opZy1qvZSqo,314639,317199,flowing together
opZy1qvZSqo,317199,319680,well the time has come for me to bring
opZy1qvZSqo,319680,322919,my magic
opZy1qvZSqo,324830,357339,[Music]
opZy1qvZSqo,359910,363600,[Music]
opZy1qvZSqo,363600,365520,after giving some time to really take in
opZy1qvZSqo,365520,367680,this piece i began trying a bunch of
opZy1qvZSqo,367680,369360,different compositions after i asked
opZy1qvZSqo,369360,371840,myself what information do i already
opZy1qvZSqo,371840,373919,have here and how can i build on it to
opZy1qvZSqo,373919,375840,make a captivating powerful painting
opZy1qvZSqo,375840,378400,with meaning this was one puzzle i was
opZy1qvZSqo,378400,381199,on a mission to solve
opZy1qvZSqo,381199,383520,the start can be the hardest part and it
opZy1qvZSqo,383520,385280,can be easy to fall into the trap of
opZy1qvZSqo,385280,387520,overthinking overworking all to be
opZy1qvZSqo,387520,389680,bummed out in the end
opZy1qvZSqo,389680,391759,your world can suddenly feel dark in a
opZy1qvZSqo,391759,393919,blink of an eye but it's important that
opZy1qvZSqo,393919,396240,we recollect ourselves believe in
opZy1qvZSqo,396240,398560,ourselves and as soon as we do the
opZy1qvZSqo,398560,401280,universe gives us signs and we must
opZy1qvZSqo,401280,402560,listen
opZy1qvZSqo,402560,404639,referring back to my reflection journal
opZy1qvZSqo,404639,406960,really helped me get back on track
opZy1qvZSqo,406960,408960,i flipped to a random page and i was
opZy1qvZSqo,408960,411440,surprised to see this with a short entry
opZy1qvZSqo,411440,413440,strangely which i wrote exactly a year
opZy1qvZSqo,413440,415039,ago and it read
opZy1qvZSqo,415039,417759,listen to the creativity that flows
opZy1qvZSqo,417759,419520,through your hands
opZy1qvZSqo,419520,422720,listen to the creativity that flows
opZy1qvZSqo,422720,426120,through your hands
opZy1qvZSqo,426860,442639,[Music]
opZy1qvZSqo,442639,445120,there's so much energy in our hands as
opZy1qvZSqo,445120,446960,creatives and that's where the real
opZy1qvZSqo,446960,449599,magic lies so i thought what if there's
opZy1qvZSqo,449599,451919,a way to symbolize and show all of that
opZy1qvZSqo,451919,453840,how can i communicate that through a
opZy1qvZSqo,453840,456639,painting i wasn't sure but i was up for
opZy1qvZSqo,456639,459199,the challenge
opZy1qvZSqo,462240,464160,after taking some reference photos i
opZy1qvZSqo,464160,465840,looked back at some sketchbooks where i
opZy1qvZSqo,465840,468319,really felt that flow and then i got
opZy1qvZSqo,468319,470400,right to sketching some ideas on tracing
opZy1qvZSqo,470400,473400,paper
opZy1qvZSqo,474920,491680,[Music]
opZy1qvZSqo,491680,493840,i thought what if i painted energy
opZy1qvZSqo,493840,496080,literally spilling out and exploding out
opZy1qvZSqo,496080,498160,of the hands what if a beautiful white
opZy1qvZSqo,498160,500720,dove emerged out of the hands and flew
opZy1qvZSqo,500720,502160,up all the way to the top and
opZy1qvZSqo,502160,504319,transformed into an ethereal female
opZy1qvZSqo,504319,506020,character
opZy1qvZSqo,506020,509520,[Music]
opZy1qvZSqo,513760,515919,i sketched out a few options for this
opZy1qvZSqo,515919,517440,character at the top and i took
opZy1qvZSqo,517440,519039,inspiration from one of my larger
opZy1qvZSqo,519039,521200,paintings which i began simply relying
opZy1qvZSqo,521200,523120,on intuition so i definitely wanted to
opZy1qvZSqo,523120,526640,incorporate that whimsical feel
opZy1qvZSqo,526640,528880,i began transferring the hands and the
