vid,start,end,text
rj6ZH3HlCrs,0,2000,é
rj6ZH3HlCrs,3049,5759,e seis jogadores do Santa ali dentro da
rj6ZH3HlCrs,5759,7410,área do esporte aí a tentativa do sub
rj6ZH3HlCrs,7410,9889,diretamente para o meu Mailson
rj6ZH3HlCrs,9889,13559,mas o gol pronto Ezequiel mais um
rj6ZH3HlCrs,13559,17119,cruzamento do fala o jogou para fora
rj6ZH3HlCrs,17119,19609,já chegou a marcação
rj6ZH3HlCrs,19609,22650,toque do Sander por baixo ali para fazer
rj6ZH3HlCrs,22650,24570,o design lançamento para o búfalo
rj6ZH3HlCrs,24570,27090,ajeitou para finalizar recebe toca para
rj6ZH3HlCrs,27090,29760,sander vem cruzamento bola pelo alto
rj6ZH3HlCrs,29760,31560,Alex Alves Silva de cabeça Everton
rj6ZH3HlCrs,31560,33690,Felipe tenta o domínio o chute para o
rj6ZH3HlCrs,33690,36410,Gol Kléber
rj6ZH3HlCrs,36410,38790,mais do que isso mais mais certamente
rj6ZH3HlCrs,38790,41520,bola na área do Esporte e cabeçada para
rj6ZH3HlCrs,41520,43390,o couro
rj6ZH3HlCrs,43390,47770,em Las eu tô fat Ou mandou para área
rj6ZH3HlCrs,47770,50730,Sandra pegou o rebote
rj6ZH3HlCrs,50730,54680,Nossa e processo em
rj6ZH3HlCrs,54680,58030,e imagina o telefone sem fio Jaderson
rj6ZH3HlCrs,58030,62020,rola para trás Everton Felipe
rj6ZH3HlCrs,62020,64580,e dependendo do Santa Cruz não não
rj6ZH3HlCrs,64580,66320,encaixar contra-ataques também para não
rj6ZH3HlCrs,66320,68780,ficar muito exposto o falou Ezequiel
rj6ZH3HlCrs,68780,70490,cruzamento rasteiro junto ou seja quando
rj6ZH3HlCrs,70490,74390,tirou os uma goo
rj6ZH3HlCrs,79790,82760,e aos 18 minutos de jogo no segundo
rj6ZH3HlCrs,82760,85670,tempo recebeu o Ezequiel cruzou Júnior
rj6ZH3HlCrs,85670,88100,seja quando tirou junto o papel de pé
rj6ZH3HlCrs,88100,91460,direito não é o pé dominante frio clarão
rj6ZH3HlCrs,91460,93590,por ali Tarcísio para os queridinhos o
rj6ZH3HlCrs,93590,95360,paciente primeira por volta chegou para
rj6ZH3HlCrs,95360,97550,ele devolver o tio calcanhar vez que dia
rj6ZH3HlCrs,97550,100220,a chegada do santo é bom Rodrigo Yuri
rj6ZH3HlCrs,100220,102670,aqui por baixo do Ezequiel
rj6ZH3HlCrs,102670,106800,Mateuzinho cruzam Tarcísio gol
rj6ZH3HlCrs,106800,107370,[Risadas]
rj6ZH3HlCrs,107370,110709,[Música]
rj6ZH3HlCrs,111159,114490,eu estava na frente do Chico que de
rj6ZH3HlCrs,114490,116649,cabeça escola para o Gol ela passou
rj6ZH3HlCrs,116649,119109,pertinho ainda bateu na perna do Mailson
rj6ZH3HlCrs,119109,122770,foi para rede diga Sabrina só para falar
rj6ZH3HlCrs,122770,124539,que o Walter aqui é o mais revoltado
rj6ZH3HlCrs,124539,126069,Lembrando que ele acabou de lembrar aqui
rj6ZH3HlCrs,126069,128798,para os amigos dele vai melhor da grande
rj6ZH3HlCrs,128798,130450,área segura o pouquinho Sabrina Rodrigo
rj6ZH3HlCrs,130450,133830,tocou para o usado
rj6ZH3HlCrs,134740,138120,[Risadas]
rj6ZH3HlCrs,138120,140120,o
rj6ZH3HlCrs,141620,144810,Rodrigo Yuri tocou para o Rafael dominar
rj6ZH3HlCrs,144810,147840,na frente do Chico proteger de lá e
rj6ZH3HlCrs,147840,149690,bater para o Gol
rj6ZH3HlCrs,149690,152340,saiu do lugar do Juba aí o Paulinho
rj6ZH3HlCrs,152340,155310,recebe lá pelo lado esquerdo descola
rj6ZH3HlCrs,155310,156170,cruzamento
rj6ZH3HlCrs,156170,159920,Rodrigão GO
rj6ZH3HlCrs,161940,164510,e na jogada dele ó
rj6ZH3HlCrs,164510,168540,Paulinho cruzou o Rodrigão usou a cabeça
rj6ZH3HlCrs,168540,170340,e usou muito bem para mandar a bola para
rj6ZH3HlCrs,170340,173030,a rede para deixar tudo igual
rj6ZH3HlCrs,173030,176010,dois a dois é o resultado na Ilha do
rj6ZH3HlCrs,176010,179400,Retiro e te passar na frente na tabela
rj6ZH3HlCrs,179400,182670,esquerdinha embora por cima sobrou para
rj6ZH3HlCrs,182670,187770,Furtado a pancada para fora e
rj6ZH3HlCrs,190330,198180,[Música]
rj6ZH3HlCrs,198180,200239,E aí
rj6ZH3HlCrs,200900,207289,[Música]
