vid,start,end,text
rz-vqMXZuOw,0,4140,Có  [âm nhạc]
rz-vqMXZuOw,8870,14570,ai muốn đi được ship hết rồi đến đã
rz-vqMXZuOw,14570,23000,lên  mẹ galaxie of Mission to keep me over
rz-vqMXZuOw,23000,31699,for the art  [âm nhạc]
rz-vqMXZuOw,32840,39079,ai mới cravate part of use this  is especially
rz-vqMXZuOw,39079,45770,When they Can you I can see my hands and  tooth and
rz-vqMXZuOw,45770,51920,happier for the  arts
rz-vqMXZuOw,53850,61289,[âm nhạc]  hài mới Land e-sea first I a cho
rz-vqMXZuOw,61289,67590,yêu thương hiệu Elise  wernigerode sim
rz-vqMXZuOw,67590,95150,Miss  [âm nhạc]  ponya  [âm nhạc]
rz-vqMXZuOw,97020,105210,chắc em chưa quen ốc kìa heo chúng ta  cháu yêu qua đời chặt tàu cháu
rz-vqMXZuOw,105210,112720,wear-and-tear chính mình áp  tình thân mình áp anh điều khiển cho
rz-vqMXZuOw,112720,120020,mình à  [âm nhạc]
rz-vqMXZuOw,120020,129578,đi kèm triệu chứng  minh thức bao ta đi không đi dịch
rz-vqMXZuOw,129879,138580,funny  funny  firewire Man Hani
rz-vqMXZuOw,151480,158090,[âm nhạc]  chắc dành cho vườn ốc vì Heo trong theo
rz-vqMXZuOw,158090,166030,ông gỗ Trời chặt tàu cho  Android và mình
rz-vqMXZuOw,166780,172239,tôi em yêu tìm cho mình hát
rz-vqMXZuOw,173250,180030,[âm nhạc]  Chắc chắn chưa Bố vừa đáp tâm linh
rz-vqMXZuOw,180030,186319,ạ Con cò đi cùng đi em sẽ cực vui chơi
rz-vqMXZuOw,186319,196019,mantelli  chairman Tony  chairman Sony à
rz-vqMXZuOw,200660,221509,[âm nhạc]
rz-vqMXZuOw,224350,227380,anh ạ
rz-vqMXZuOw,233410,238240,khi  [âm nhạc]
rz-vqMXZuOw,238800,245860,tình yêu là đặt bằng câu trắng tin năm  cũng đang trên lặng đang đang tự Miêu ra
rz-vqMXZuOw,245860,251819,bạc câu dáng trăm năm  làm đẹp trai
rz-vqMXZuOw,259380,264990,which  the waitress
rz-vqMXZuOw,265710,276518,Cha  [âm nhạc]
rz-vqMXZuOw,278130,285720,Là Hoa Eban cao City  thời trang
rz-vqMXZuOw,288060,294070,[âm nhạc]  để rồi  em ạ ở
rz-vqMXZuOw,294070,299410,top finish để rồi là sợ fan
rz-vqMXZuOw,299410,302710,vàng tra
rz-vqMXZuOw,306760,309760,baby
rz-vqMXZuOw,312130,319510,thức khi mình làm  [âm nhạc]  cha
rz-vqMXZuOw,323680,328690,cha  cha
rz-vqMXZuOw,336450,343600,[âm nhạc]  vì
rz-vqMXZuOw,346780,353430,người ta à  [âm nhạc]
rz-vqMXZuOw,353430,359240,ừ ừ  mẹ
rz-vqMXZuOw,360160,372470,[âm nhạc]
rz-vqMXZuOw,373430,383900,mẹ  [âm nhạc]  mẹ mẹ mẹ đừng lấy mà
rz-vqMXZuOw,383900,392209,[âm nhạc]
rz-vqMXZuOw,394729,401360,mẹ lại  chuyện
rz-vqMXZuOw,402850,409430,[âm nhạc]  người ta
rz-vqMXZuOw,409550,416698,mẹ mẹ mẹ  lấy váy à
rz-vqMXZuOw,417220,422400,bí  [âm nhạc]
rz-vqMXZuOw,422400,427410,đao kiếm đến mẹ Mẹ mẹ
rz-vqMXZuOw,427410,431910,lấy ta được rồi
rz-vqMXZuOw,435750,443040,đi bao người ta  [âm nhạc]
rz-vqMXZuOw,443040,453610,lấy gia đình  đến lên đi mình mẹ đây đây đây à
rz-vqMXZuOw,453610,477230,[âm nhạc]
rz-vqMXZuOw,477230,494950,em  [âm nhạc]
rz-vqMXZuOw,496840,506390,biết thôi I Lose it Fix it and three  quarter with you can work with the dark
rz-vqMXZuOw,506390,514839,to cayman that I I love for you to  favourite ơxtet
rz-vqMXZuOw,520870,527990,Tìm đất  manage and had many setlist apparently
rz-vqMXZuOw,527990,535520,tube and i wrote on Earth personal care  were happy birth in the more they need
rz-vqMXZuOw,535520,539209,my pewpew pewpew ở
rz-vqMXZuOw,541580,548429,[âm nhạc]  đây à
rz-vqMXZuOw,551190,557349,[âm nhạc]
rz-vqMXZuOw,558250,561600,a Cho xem
rz-vqMXZuOw,567750,574050,phim  luôn wait for my birthday
rz-vqMXZuOw,574050,581370,Teddy world to play wellspring gueye
