vid,start,end,text
sHswk0ZbSwo,270,12220,[Music]
sHswk0ZbSwo,14400,17280,uh
sHswk0ZbSwo,17280,34219,[Music]
sHswk0ZbSwo,34399,36240,oh
sHswk0ZbSwo,36240,53920,[Music]
sHswk0ZbSwo,53920,56920,once
sHswk0ZbSwo,62140,69400,[Music]
sHswk0ZbSwo,69400,73760,skies are blue
sHswk0ZbSwo,73760,75040,and
sHswk0ZbSwo,75040,76479,the
sHswk0ZbSwo,76479,79280,dreams that you dare to
sHswk0ZbSwo,79280,81759,dream really do
sHswk0ZbSwo,81759,85159,come true
sHswk0ZbSwo,85670,89920,[Music]
sHswk0ZbSwo,90640,95100,wake up where the clouds are far behind
sHswk0ZbSwo,95100,96320,[Music]
sHswk0ZbSwo,96320,99320,me
sHswk0ZbSwo,101510,104650,[Music]
sHswk0ZbSwo,107200,109119,you'll find
sHswk0ZbSwo,109119,112119,me
sHswk0ZbSwo,114159,116280,the rainbow
sHswk0ZbSwo,116280,123749,[Music]
sHswk0ZbSwo,135840,138560,[Music]
sHswk0ZbSwo,138560,143840,wake up where the clouds are far behind
sHswk0ZbSwo,144239,146480,me
sHswk0ZbSwo,146720,151959,when trouble melts like lemon drops
sHswk0ZbSwo,157030,163569,[Music]
sHswk0ZbSwo,165440,168440,way
sHswk0ZbSwo,168500,178980,[Music]
sHswk0ZbSwo,183840,186650,oh
sHswk0ZbSwo,186650,201118,[Music]
sHswk0ZbSwo,203660,210239,[Music]
sHswk0ZbSwo,210239,211440,you can find this song and our other fun
sHswk0ZbSwo,211440,213440,squad songs on spotify apple music and
sHswk0ZbSwo,213440,216959,all the other streaming platforms
