vid,start,end,text
sdXe4ABdkOg,960,3120,this is the toyota chr
sdXe4ABdkOg,3120,5759,and it's a bit like one of these a prius
sdXe4ABdkOg,5759,6399,because
sdXe4ABdkOg,6399,8400,it's a hybrid so it's got loads of tech
sdXe4ABdkOg,8400,10320,designed to save you money on petrol and
sdXe4ABdkOg,10320,12880,also reduce emissions but thankfully it
sdXe4ABdkOg,12880,14320,doesn't look like a prius
sdXe4ABdkOg,14320,15519,so you're not likely to have people
sdXe4ABdkOg,15519,17279,knocking on the window mistaking you for
sdXe4ABdkOg,17279,17520,an
sdXe4ABdkOg,17520,19840,uber driver in fact particularly if you
sdXe4ABdkOg,19840,21600,go for this new gl sport version
sdXe4ABdkOg,21600,24800,they're far more likely to be saying
sdXe4ABdkOg,24800,27920,nice car mate but is the chr actually
sdXe4ABdkOg,27920,28880,any good
sdXe4ABdkOg,28880,29920,well that's what we're going to be
sdXe4ABdkOg,29920,31840,finding out in this video so stay with
sdXe4ABdkOg,31840,32880,us and i'll tell you
sdXe4ABdkOg,32880,34880,everything you need to know about the
sdXe4ABdkOg,34880,36640,car and if you decide you want to buy
sdXe4ABdkOg,36640,37360,one of these
sdXe4ABdkOg,37360,39120,make sure you head over to our website
sdXe4ABdkOg,39120,40719,whatcar.com because we could save you
sdXe4ABdkOg,40719,42800,more than 2 000 pounds
sdXe4ABdkOg,42800,45280,on the brochure price right now so
sdXe4ABdkOg,45280,46559,that's the plug out of the way
sdXe4ABdkOg,46559,49600,let's get on with the review
sdXe4ABdkOg,53199,55440,now the chr has been around for a few
sdXe4ABdkOg,55440,58239,years it was launched back in 2016.
sdXe4ABdkOg,58239,60559,and although there was a facelift around
sdXe4ABdkOg,60559,61520,a year ago
sdXe4ABdkOg,61520,63199,the overall look of the car hasn't
sdXe4ABdkOg,63199,65360,really changed a great deal
sdXe4ABdkOg,65360,68240,but this gr sport version is new and i
sdXe4ABdkOg,68240,70000,should probably explain what gl sport is
sdXe4ABdkOg,70000,70960,all about
sdXe4ABdkOg,70960,74000,so gr stands for kazoo racing and it's
sdXe4ABdkOg,74000,75840,toyota's motorsport division
sdXe4ABdkOg,75840,77680,and the gr badge is also worn by
sdXe4ABdkOg,77680,79520,toyota's fastest road-going cars at the
sdXe4ABdkOg,79520,80080,moment
sdXe4ABdkOg,80080,83040,those are the gl supra and the gr yaris
sdXe4ABdkOg,83040,84240,that's actually the best hot hatch you
sdXe4ABdkOg,84240,85280,can buy at the moment
sdXe4ABdkOg,85280,86400,and if you want to watch our video
sdXe4ABdkOg,86400,88159,review of that just click the link up
sdXe4ABdkOg,88159,89520,there at the top
sdXe4ABdkOg,89520,92240,gr sport basically means you get the
sdXe4ABdkOg,92240,93280,sporty looks
sdXe4ABdkOg,93280,95439,but without any extra power or higher
sdXe4ABdkOg,95439,96560,running costs so
sdXe4ABdkOg,96560,99040,it's a bit like ms sport is to bmw or
sdXe4ABdkOg,99040,99680,s-line
sdXe4ABdkOg,99680,102960,is to audi and if you go for a gl sport
sdXe4ABdkOg,102960,103759,version
sdXe4ABdkOg,103759,107520,of the chr you get these bespoke
sdXe4ABdkOg,107520,110799,19-inch two-tone alloys you also get a
sdXe4ABdkOg,110799,111439,black
sdXe4ABdkOg,111439,114320,roof and you get a darker tint to the
sdXe4ABdkOg,114320,115439,headlight lenses
sdXe4ABdkOg,115439,118240,as well on top of that there is this all
sdXe4ABdkOg,118240,119439,black or dark chrome
sdXe4ABdkOg,119439,122240,as toyota calls it front grille here
sdXe4ABdkOg,122240,123840,there is also sport suspension we talk
sdXe4ABdkOg,123840,125119,about how that affects ride and handling
sdXe4ABdkOg,125119,127360,when we go for a drive a bit later on
sdXe4ABdkOg,127360,128720,and we'll also run you through the
sdXe4ABdkOg,128720,130479,interior upgrades as well
sdXe4ABdkOg,130479,132400,now the chr is actually a bigger car
sdXe4ABdkOg,132400,134239,than it might look it takes up
sdXe4ABdkOg,134239,136000,roughly the same amount of space on the
sdXe4ABdkOg,136000,137920,road as a skoda car rock
sdXe4ABdkOg,137920,139920,so theoretically it should be a
sdXe4ABdkOg,139920,142879,practical family car but it isn't
sdXe4ABdkOg,142879,144959,because somehow toyota has taken all
sdXe4ABdkOg,144959,146000,that space
sdXe4ABdkOg,146000,148560,and packaged it in such a way that well
sdXe4ABdkOg,148560,150239,you can see for yourself really
sdXe4ABdkOg,150239,152000,yes i'm reasonably tall i'm just over
sdXe4ABdkOg,152000,153680,six foot and this seat in front here
sdXe4ABdkOg,153680,155360,that's set up for my driving position
sdXe4ABdkOg,155360,156080,but
sdXe4ABdkOg,156080,158319,i don't really have any knee room at all
sdXe4ABdkOg,158319,160160,and although there are head rests
sdXe4ABdkOg,160160,161360,for someone of my height they're
sdXe4ABdkOg,161360,163760,pointless because if i lean back
sdXe4ABdkOg,163760,166560,it just hits the ceiling and things get
sdXe4ABdkOg,166560,168000,even worse when you close the door
sdXe4ABdkOg,168000,169040,because
sdXe4ABdkOg,169040,171280,i've got a big pillar here by the side
sdXe4ABdkOg,171280,173200,of my head and these small side windows
sdXe4ABdkOg,173200,174239,they don't let very much
sdXe4ABdkOg,174239,175599,light into the car at all so it feels
sdXe4ABdkOg,175599,177599,quite claustrophobic back here it's also
sdXe4ABdkOg,177599,179280,worth knowing that cars like the ford
sdXe4ABdkOg,179280,181360,puma and nissan juke even though they're
sdXe4ABdkOg,181360,183280,smaller than this in terms of exterior
sdXe4ABdkOg,183280,184640,dimensions
sdXe4ABdkOg,184640,186720,they have a similar amount of space in
sdXe4ABdkOg,186720,188400,the back they're cheaper as well we'll
