vid,start,end,text
spVDpAXvy0I,1110,10950,[Music]
spVDpAXvy0I,12080,19099,he'll look around the room he won't tell  you his  [Music]
spVDpAXvy0I,39200,43320,all the kids
spVDpAXvy0I,46719,70080,oh  [Music]
spVDpAXvy0I,70080,73040,daddy works a
spVDpAXvy0I,76290,106129,[Music]
spVDpAXvy0I,108320,112439,all the other kids
spVDpAXvy0I,115640,118798,[Music]
spVDpAXvy0I,121680,125640,faster than that
spVDpAXvy0I,149599,156000,i'm tired of being what you want me to  be  feeling so faithless lost under the
spVDpAXvy0I,156000,164160,surface you don't know what you're  expecting of me  but under the pressure of walking in
spVDpAXvy0I,164160,167560,your shoes
spVDpAXvy0I,170080,173080,is
spVDpAXvy0I,176010,179099,[Music]
spVDpAXvy0I,181840,186009,[Music]
spVDpAXvy0I,188640,193000,all i want to do
spVDpAXvy0I,194480,209920,[Music]
spVDpAXvy0I,209920,213040,can't you see that you're
spVDpAXvy0I,220799,227640,is falling apart  right in front of you
spVDpAXvy0I,234050,241040,[Applause]  is more than i can
spVDpAXvy0I,243800,248249,[Music]
spVDpAXvy0I,250640,254920,all i want to do
spVDpAXvy0I,256380,271460,[Music]
spVDpAXvy0I,273860,277029,[Applause]
spVDpAXvy0I,279120,284639,[Music]  but not everything works out
spVDpAXvy0I,284639,290479,now my days are strange just you could  be casually dating diamonds changing so
spVDpAXvy0I,290479,298249,fast  [Music]
spVDpAXvy0I,300950,304920,[Music]
spVDpAXvy0I,308490,324720,[Music]
spVDpAXvy0I,324720,350040,mommy  [Music]
spVDpAXvy0I,350240,356560,and on the surface i held it together  but underneath i thought it came along  why would i be you all that i need my
spVDpAXvy0I,356560,361840,work baby you hold me down  you always saw me down  no
spVDpAXvy0I,361840,369480,i've been a breaker and broken never  moments wouldn't take anything
spVDpAXvy0I,369480,375080,[Music]  back baby
spVDpAXvy0I,378100,383970,[Music]
spVDpAXvy0I,385199,401360,me  [Music]
spVDpAXvy0I,401360,410749,mom  [Music]
spVDpAXvy0I,413680,424079,be  [Music]
spVDpAXvy0I,424479,430160,if i told you  this was only gonna hurt if i warned you
spVDpAXvy0I,430160,436880,that the fire's gonna burn would you  walk in  would you let me do it first do it all
spVDpAXvy0I,436880,444000,in the name of love  would you let me  lead you even when you're blind in the
spVDpAXvy0I,444000,449759,darkness in the middle of the night in  the silence
spVDpAXvy0I,449759,453470,no  [Music]
spVDpAXvy0I,468980,472259,[Music]
spVDpAXvy0I,474000,481550,would you rise up  you trust me
spVDpAXvy0I,481550,500059,[Music]
spVDpAXvy0I,503480,511250,[Music]  in the name of love
spVDpAXvy0I,511250,517760,[Music]  would you let me
spVDpAXvy0I,517760,521039,lead you even when you're
spVDpAXvy0I,529830,534240,[Applause]  if i told you
spVDpAXvy0I,539220,560880,[Music]
spVDpAXvy0I,560880,576390,in the name of love  [Music]
spVDpAXvy0I,576390,579590,[Applause]
spVDpAXvy0I,582660,585759,[Music]
spVDpAXvy0I,592400,599610,[Music]
spVDpAXvy0I,599610,607200,[Applause]  you are the one next to me
spVDpAXvy0I,608000,613600,you can feel the light start to tremble  question what you know
spVDpAXvy0I,613600,621320,how to see  you can see your life out of the window
spVDpAXvy0I,624440,643419,[Music]
spVDpAXvy0I,643680,649920,you  [Music]
spVDpAXvy0I,649920,654959,i  [Music]
spVDpAXvy0I,654959,660680,woke up  with the sun
spVDpAXvy0I,666340,671760,[Music]  i  woke up
spVDpAXvy0I,671760,679519,just to see  with all of the faces you were the one
spVDpAXvy0I,679519,686720,next to me  you can feel the light start to tremble
spVDpAXvy0I,686720,689199,question
spVDpAXvy0I,692480,697720,out of the window  tonight
spVDpAXvy0I,699430,706389,[Music]
spVDpAXvy0I,706720,721590,if  [Music]
spVDpAXvy0I,723040,731820,my  [Music]
spVDpAXvy0I,732000,739360,i got my driver's license last week just  like we always talked about
spVDpAXvy0I,739360,745360,cause you were so  excited for me to finally drive up to
spVDpAXvy0I,745360,751639,your house but today i drive through the  suburbs
spVDpAXvy0I,760340,763629,[Music]
spVDpAXvy0I,767760,772120,i guess you didn't mean
spVDpAXvy0I,775850,781330,[Music]  street
spVDpAXvy0I,781330,812960,[Music]
spVDpAXvy0I,813200,820560,and all oh friends are tired of hearing  how much i miss you but
spVDpAXvy0I,820560,826800,i kind of feel sorry for them cause  they'll never know you the way that i do
spVDpAXvy0I,826800,836500,yet  and pictured i was driving home
spVDpAXvy0I,836500,843519,[Music]
spVDpAXvy0I,843519,857600,is  [Music]
spVDpAXvy0I,857600,864220,forever  [Music]  [Applause]
spVDpAXvy0I,864220,870849,[Music]
spVDpAXvy0I,873030,883659,[Music]
spVDpAXvy0I,883680,894639,  [Music]
spVDpAXvy0I,898800,905279,i'm still awake ready to drive through  the night  wish i could turn my feelings off like a
spVDpAXvy0I,905279,910850,lie  the way it hurts i don't know how
spVDpAXvy0I,910850,923178,[Music]
spVDpAXvy0I,924079,938599,been taking us  [Music]
spVDpAXvy0I,939839,960418,a  [Music]
spVDpAXvy0I,964680,967770,[Music]
spVDpAXvy0I,971920,975120,[Music]
spVDpAXvy0I,977440,983320,i'm changing up the story and it's all  in my head
spVDpAXvy0I,988160,991240,[Music]
spVDpAXvy0I,993199,996959,i had to watch it all
spVDpAXvy0I,998240,1004560,[Music]
spVDpAXvy0I,1004560,1034170,oh  [Music]
