vid,start,end,text
syvOBw0JFyQ,70,5590,[Laughter]
syvOBw0JFyQ,9720,15960,[Laughter]
syvOBw0JFyQ,27119,30119,foreign
syvOBw0JFyQ,42079,45079,foreign
syvOBw0JFyQ,101200,104328,[Music]
syvOBw0JFyQ,107680,110680,foreign
syvOBw0JFyQ,133750,136819,[Music]
syvOBw0JFyQ,157320,160400,[Music]
syvOBw0JFyQ,218720,221800,[Music]
syvOBw0JFyQ,244790,247819,[Music]
syvOBw0JFyQ,294639,297639,foreign
syvOBw0JFyQ,308560,311560,foreign
syvOBw0JFyQ,349039,352039,me
syvOBw0JFyQ,367280,370280,low
syvOBw0JFyQ,404000,407000,foreign
syvOBw0JFyQ,418319,421319,foreign
syvOBw0JFyQ,434160,437160,foreign
syvOBw0JFyQ,447280,450280,me
syvOBw0JFyQ,462240,465240,foreign
syvOBw0JFyQ,490160,493160,m
syvOBw0JFyQ,546800,549800,foreign
syvOBw0JFyQ,560880,563839,foreign
syvOBw0JFyQ,584959,587959,oh
syvOBw0JFyQ,602640,605640,foreign
syvOBw0JFyQ,615680,618680,um
syvOBw0JFyQ,657040,660040,foreign
syvOBw0JFyQ,662440,666880,[Laughter]
syvOBw0JFyQ,671839,674839,foreign
syvOBw0JFyQ,783839,786839,um
syvOBw0JFyQ,851920,854880,signing out
