vid,start,end,text
t5CjVcQJh0M,1920,4361,It's AumSum Time.
t5CjVcQJh0M,5434,7138,What if we had 4 Eyes?
t5CjVcQJh0M,7547,10005,Even I have 4 Eyes.
t5CjVcQJh0M,10526,12074,I can see Everything.
t5CjVcQJh0M,12851,13783,Oh AumSum.
t5CjVcQJh0M,14172,16487,"Firstly, if we had 4 Eyes."
t5CjVcQJh0M,16713,22373,"Average players might now become great in sports, current champions may have to double their training."
t5CjVcQJh0M,23794,25665,"Secondly, if we had 4 Eyes."
t5CjVcQJh0M,25951,31566,"Thieves will have their task cut out, they may get caught red-handed every single time."
t5CjVcQJh0M,33704,35691,"Thirdly, if we had 4 Eyes."
t5CjVcQJh0M,35927,41422,"Villains may now have the upper-hand, superheroes might start hiding from them."
t5CjVcQJh0M,43467,45589,"Fourthly, if we had 4 Eyes. "
t5CjVcQJh0M,46121,51811,Ophthalmologists i.e. people who specialize in treating eye related problems may double their fees.
t5CjVcQJh0M,53325,59361,"Fifthly, if we had 4 Eyes, some people may take multitasking to a different level altogether."
t5CjVcQJh0M,59647,61631,They may get huge promotions.
t5CjVcQJh0M,63261,66737,"Lastly, Pirates are known to wear a patch over one eye. "
t5CjVcQJh0M,67075,70688,"If we had 4 Eyes, they may have to order more patches. "
t5CjVcQJh0M,75000,79480,To buy AumSum merchandise visit AumSum.com.
