vid,start,end,text
w7dwcbiYGSE,719,6879,i'm sorry but i  don't wanna talk i need a moment before
w7dwcbiYGSE,6879,12000,i go  [Music]  it's nothing personal
w7dwcbiYGSE,12000,17200,i draw the blinds they don't need to see
w7dwcbiYGSE,19070,26939,[Music]
w7dwcbiYGSE,29710,39289,[Music]
w7dwcbiYGSE,41440,47709,nobody but me can't  [Music]
w7dwcbiYGSE,52719,58290,nobody but me can't keep me safe and i'm  on my way
w7dwcbiYGSE,58290,61399,[Music]
w7dwcbiYGSE,67410,71749,[Music]
w7dwcbiYGSE,78180,84000,[Music]
w7dwcbiYGSE,84000,97510,what is love with  [Music]
w7dwcbiYGSE,100050,110799,[Music]
w7dwcbiYGSE,110799,117600,i lost i lost control again  always all the same enough to play my
w7dwcbiYGSE,117600,127159,lost control again  i don't  i don't  i don't know who i am
w7dwcbiYGSE,127500,145999,[Music]
w7dwcbiYGSE,151280,154280,me
w7dwcbiYGSE,156420,159980,[Music]
w7dwcbiYGSE,165140,170700,[Music]  the way that things
w7dwcbiYGSE,170700,176000,[Music]
w7dwcbiYGSE,182879,204259,the  [Music]
w7dwcbiYGSE,204879,211579,you made me  [Music]
w7dwcbiYGSE,212560,218560,you break me down you build me a  believer  believer
w7dwcbiYGSE,218560,224159,pain  i'll let the bullets fly or let them  reign
w7dwcbiYGSE,224159,232920,my life my love my drive they came from  pain you made me you made me a believer
w7dwcbiYGSE,233320,245920,[Music]
w7dwcbiYGSE,245920,251540,oh  [Music]
w7dwcbiYGSE,263600,267240,until i broke over
w7dwcbiYGSE,269730,277120,[Music]
w7dwcbiYGSE,277120,281400,hey you break me
w7dwcbiYGSE,283420,289170,[Music]
w7dwcbiYGSE,293040,296759,if you make me
w7dwcbiYGSE,303600,326129,you're the face of the future  [Music]
w7dwcbiYGSE,330880,333880,hey
w7dwcbiYGSE,345340,351479,[Music]  you made me
w7dwcbiYGSE,354250,358750,[Music]
w7dwcbiYGSE,363360,370680,work work work work you set me up work  work work work work see me do me
w7dwcbiYGSE,370680,391120,dirty work work work work  [Applause]  [Music]
w7dwcbiYGSE,391120,397379,nobody  [Music]
w7dwcbiYGSE,398479,403560,you took my heart and my keys and my  patience
w7dwcbiYGSE,408010,420960,[Music]
w7dwcbiYGSE,420960,454829,but i wake up at night  [Music]
