vid,start,end,text
wgSBtXNJjhs,6480,13120,At the age of 10 Yayoi Kusama had her first  hallucination which she described as flashes  
wgSBtXNJjhs,13120,20560,of light auras or dense fields of dots. The dots  would come to life and consume her and she would  
wgSBtXNJjhs,20560,27680,find herself obliterated. Polka dots have been  a lifelong obsession for her. For someone whose  
wgSBtXNJjhs,27680,33280,"work has crossed from art to fashion and from  filmmaking to performance art, her continuing  "
wgSBtXNJjhs,33280,40079,exploration of the polka dot has remained the one  consistent motif. So this is not a film about a  
wgSBtXNJjhs,40080,47280,specific artwork. This is a film about the simple  polka dot. A dot that has obsessed Kusama for  
wgSBtXNJjhs,47280,57840,"nine decades, from her struggle for recognition  to her later years as an art world sensation."
wgSBtXNJjhs,76560,83520,Yayoi Kusama was born in a rural provincial  town in Japan to a wealthy family. That same  
wgSBtXNJjhs,83520,89200,year the stock markets crashed and civil unrest  in Japan was followed by intense militarism.  
wgSBtXNJjhs,90000,96240,In 1941 Japan's entry into the war found  the 12-year old Kusama sewing military  
wgSBtXNJjhs,96240,102000,parachutes in textile factories. A skill she  would later utilize for her soft sculptures.  
wgSBtXNJjhs,102960,108560,Her mother was extremely abusive and had planned  an arranged marriage for Kusama and a life as an  
wgSBtXNJjhs,108560,114960,obedient housewife. In fact she did everything  in her power to stop Kusama becoming an artist...  
wgSBtXNJjhs,114960,119760,"or having any career at all, which she  said would bring shame on the family.  "
wgSBtXNJjhs,119760,126160,"But art was Kusama's lifeline, it helped relieve  her hallucinations, depression and anxiety which  "
wgSBtXNJjhs,126160,133120,she still suffers from today. Kusama has described  how at times she feels her whole body functions  
wgSBtXNJjhs,133120,139440,"breaking down, with feelings of becoming ""absorbed by"" or ""dissolved"" within her surrounding environment. "
wgSBtXNJjhs,140400,147920,"Art is a way for her to take back control, a way to  fight her demons. Although she was starting to get  "
wgSBtXNJjhs,147920,154160,"some attention in Japan, it was a small art scene  then, and she was a woman living under a stifling  "
wgSBtXNJjhs,154160,161680,patriarchal society. Kusama needed to escape.  A chance discovery in a second-hand bookshop  
wgSBtXNJjhs,161680,167519,would change her life. American artist Georgia  O'Keeffe was one of the most famous artists in  
wgSBtXNJjhs,167520,173760,"the world, and her works were in every major museum  in the US, but she was pretty much unknown in Japan.  "
wgSBtXNJjhs,174480,180879,Yet somehow - miraculously - a book of her paintings  found its way into the young Kusama's hands in  
wgSBtXNJjhs,180880,187040,rural Japan. It was a revelation! Kusama  was stunned by O'Keeffe's paintings  
wgSBtXNJjhs,187040,193360,"and would explore similar themes later, but she  was also attracted to her achievements as a woman.  "
wgSBtXNJjhs,194160,200720,Kusama wrote to her in the US and sent her some  drawings. In an incredible show of generosity  
wgSBtXNJjhs,200720,206400,O'Keefe not only took the time to write back but  then sent letters of introduction to important  
wgSBtXNJjhs,206400,214799,"people in the New York art world. In July 1956  Kusama destroyed 2,000 old work she had created.  "
wgSBtXNJjhs,216160,225840,America would be a new beginning for the artist  and she wouldn't return to japan until 1973.
wgSBtXNJjhs,227760,231120,"Kusama arrived in New York with  a suitcase full of drawings,  "
wgSBtXNJjhs,231120,237120,"a determination to grab everything going in  the city, and (in her own words) to become a star.  "
wgSBtXNJjhs,238000,242480,The first thing she did was go up to the top  of the Empire State building and look down  
wgSBtXNJjhs,242480,248239,at the city she planned to conquer. We mustn't  underestimate what a difficult task it was for  
wgSBtXNJjhs,248240,254160,"a young Japanese woman with no support, speaking  little to no English to up sticks and moved to  "
wgSBtXNJjhs,254160,262240,New York from a small Japanese town - in the  1950s! This required monumental determination.  
wgSBtXNJjhs,262960,268639,She went from a wealthy life in Japan to living  in abject poverty in New York surviving on a  
wgSBtXNJjhs,268640,275760,"diet of potatoes, onions, and black coffee. No  wonder she often describes how she craved fame.  "
wgSBtXNJjhs,275760,281840,It is something artists rarely discuss but  for Kusama it would be her driving force.
wgSBtXNJjhs,286320,291840,The field of dots she experienced in her  hallucinations developed into a visual device - the  
wgSBtXNJjhs,291840,298960,"polka dot. This image of her mother, by ten-year-old  Kusama was the first time she would use the dot, "
wgSBtXNJjhs,298960,304560,"and it would become her ""trademark"". We could  make a comparison with Roy Liechtenstein  "
wgSBtXNJjhs,304560,312639,"who was also using dots or Bridget Riley, who was  exploring Op-Art, but for Kusama, dots came directly  "
wgSBtXNJjhs,312640,319360,"from within. For her, dots were a form of healing,  and repetition of them was a way to calm her mind,  "
wgSBtXNJjhs,319360,325680,"and overcome her fear and anxiety. They  were (as she said) a way to ""self-obliterate"",  "
wgSBtXNJjhs,326320,334480,"a way to disappear into her artwork. In New York,  Kusama began applying the polka dot to animals,  "
wgSBtXNJjhs,334480,341280,"paper, canvas, walls and naked bodies. From the  beginning, Kusama played with her persona. "
wgSBtXNJjhs,341280,347840,"She was a self-styled ""outsider"" in America, a female  artist in an aggressively male dominated scene,  "
wgSBtXNJjhs,348480,355440,"a Japanese person in the overwhelmingly white  art scene, and a victim of neurosis and depression. "
wgSBtXNJjhs,356560,362639,"She refused to be categorized or put in a box,  continuously innovating and reinventing herself.  "
wgSBtXNJjhs,363440,369840,"As a critic once said: ""Miss Kusama is an  artist who fits in everywhere but stands alone"""
wgSBtXNJjhs,374160,379680,New York at the time was under the spell of  Abstract Expressionism but Kusama's first show  
wgSBtXNJjhs,379680,386560,"in New York consisted of what she called ""Infinity  net paintings"", starting the obsessive repetitive  "
wgSBtXNJjhs,386560,393440,work that would define her career. Kusama rejected  the broad dramatic marks of Abstract Expressionism  
wgSBtXNJjhs,393440,400400,and painted thousands of tiny semi-circles of  paint repeated across huge canvases. Invisible  
wgSBtXNJjhs,400400,406320,"when seen at a distance, but up close form an  undulating net with no beginning, middle or  "
wgSBtXNJjhs,406320,413520,"end. Her work was calm and collected, in contrast  to the emotional mark making of Jackson Pollock.  "
wgSBtXNJjhs,415120,418400,"The dots and ""nets"" could be  traced back to her early work,  "
wgSBtXNJjhs,418400,423040,"but here they were huge - a physical  embodiment of ""self-obliteration"".  "
wgSBtXNJjhs,423920,429600,"Her work was so groundbreaking, it anticipated  the emerging Minimalist movement, and we can see  "
wgSBtXNJjhs,429600,436640,it as a bridge between Abstract Expressionism  and Minimalism. It was a great start for Kusama.  
wgSBtXNJjhs,436640,443633,"Less than a year in the city, and her first solo  show in 1959 created an immediate buzz. "
wgSBtXNJjhs,444000,450480,"Kusama, always a workaholic spent every waking hour  making net paintings, sometimes working through  "
wgSBtXNJjhs,450480,457120,"the night, more and more of them, until her  studio was full. Not surprisingly, she suffered  "
wgSBtXNJjhs,457120,463840,"extreme hallucinations, and was rushed to Bellevue  hospital for her obsessive compulsive neurosis."
wgSBtXNJjhs,466320,471680,Installation is a term used to describe art  that is often designed for a specific place  
wgSBtXNJjhs,471680,477840,"or for a temporary period of time, and Kusama  would become a leading exponent of this art form. "
wgSBtXNJjhs,478560,485760,"In 1962, she began making soft sculpture phalluses  out of cotton stuffed canvas. This was radical work  "
wgSBtXNJjhs,485760,492240,"for a female artist, and these sculptures made over  60 years ago still have the power to shock today,  "
wgSBtXNJjhs,492800,499280,"because of the juxtaposition of humor and  sexuality. Her first ""official"" installation was  "
wgSBtXNJjhs,499280,506560,"in 1963. A rowboat which she covered in her soft  phallic shapes, presented in a space where the  "
wgSBtXNJjhs,506560,512960,"walls were covered in wallpaper reproductions  of the same sculpture. It was totally unique,  "
wgSBtXNJjhs,512960,518159,and no one had seen anything like it in  New York. Phalluses would become another  
