vid,start,end,text
xFMaZbc15CQ,560,3040,tonight we're driving the 2021 honda
xFMaZbc15CQ,3040,3840,accord
xFMaZbc15CQ,3840,6560,sport this is the 2-liter turbo that
xFMaZbc15CQ,6560,8559,makes 252 horsepower
xFMaZbc15CQ,8559,12000,mated with a 10-speed automatic gone is
xFMaZbc15CQ,12000,14240,the manual transmission for 2021
xFMaZbc15CQ,14240,15839,unfortunately
xFMaZbc15CQ,15839,18880,but this is still a really solid car
xFMaZbc15CQ,18880,20240,it's been a while since we've tested one
xFMaZbc15CQ,20240,21039,of these
xFMaZbc15CQ,21039,23039,so i'm excited to share my experience
xFMaZbc15CQ,23039,24400,with it this week
xFMaZbc15CQ,24400,27119,with you guys and take you guys out and
xFMaZbc15CQ,27119,28640,another drive in an accord
xFMaZbc15CQ,28640,31439,i love every variant and every version
xFMaZbc15CQ,31439,32640,of the honda accord
xFMaZbc15CQ,32640,35440,from the 1.5 liter turbo to the hybrid
xFMaZbc15CQ,35440,35920,to this
xFMaZbc15CQ,35920,39120,2 liter turbo sport you just kind of
xFMaZbc15CQ,39120,41040,can't go wrong with whatever model
xFMaZbc15CQ,41040,44879,or flavor you want in your cord
xFMaZbc15CQ,44879,47920,it's spacious it's comfortable it's
xFMaZbc15CQ,47920,50719,fast it's kind of fun to drive i believe
xFMaZbc15CQ,50719,51520,this new accord
xFMaZbc15CQ,51520,54079,is the industry standard for a good
xFMaZbc15CQ,54079,54879,sporty
xFMaZbc15CQ,54879,57600,sedan and kind of the ultimate daily
xFMaZbc15CQ,57600,58480,driver
xFMaZbc15CQ,58480,60800,in this thirty thousand dollar price
xFMaZbc15CQ,60800,61760,point
xFMaZbc15CQ,61760,66479,this two liter turbo sport is 32 grand
xFMaZbc15CQ,67520,70960,you don't get as many options in here as
xFMaZbc15CQ,70960,73119,you do with the touring
xFMaZbc15CQ,73119,74799,but that's okay i think you pretty much
xFMaZbc15CQ,74799,76080,get everything you need you get apple
xFMaZbc15CQ,76080,76799,carplay
xFMaZbc15CQ,76799,78479,a really nice cabin with excellent
xFMaZbc15CQ,78479,80320,ergonomics everything in here is
xFMaZbc15CQ,80320,82960,really easy to use we have buttons and
xFMaZbc15CQ,82960,85040,dials and knobs for climate control
xFMaZbc15CQ,85040,87439,as you can see in the dark the knobs
xFMaZbc15CQ,87439,89600,glow red when you turn up the heat
xFMaZbc15CQ,89600,91840,or blue when you turn up the air
xFMaZbc15CQ,91840,93840,conditioning which is very neat
xFMaZbc15CQ,93840,96320,heated seats no heated steering wheel in
xFMaZbc15CQ,96320,98240,the sport model
xFMaZbc15CQ,98240,100880,but i think this represents pretty good
xFMaZbc15CQ,100880,101759,value and
xFMaZbc15CQ,101759,103759,chances are what most people are gonna
xFMaZbc15CQ,103759,105600,be getting with their core two liter
xFMaZbc15CQ,105600,107600,turbos
xFMaZbc15CQ,107600,110159,we've got a decent reverse camera let's
xFMaZbc15CQ,110159,111119,take this thing for a drive
xFMaZbc15CQ,111119,115840,see what it's like on the road
xFMaZbc15CQ,118320,119680,this being a night drive it also gives
xFMaZbc15CQ,119680,123200,you guys a chance to see the headlights
xFMaZbc15CQ,123200,125680,this does have auto high beams they seem
xFMaZbc15CQ,125680,126240,to work
xFMaZbc15CQ,126240,130080,pretty well most of the time
xFMaZbc15CQ,130080,132000,i've always said you really have to just
xFMaZbc15CQ,132000,134400,go and drive one of these new accords
xFMaZbc15CQ,134400,136959,to appreciate how nice they are to live
xFMaZbc15CQ,136959,139120,with on a daily basis
xFMaZbc15CQ,139120,141680,it's just such a tight and well-built
xFMaZbc15CQ,141680,142560,car
xFMaZbc15CQ,142560,144720,it feels like something like this will
xFMaZbc15CQ,144720,146400,still feel fresh
xFMaZbc15CQ,146400,148640,and nice to drive with 200 000 miles on
xFMaZbc15CQ,148640,149440,it it just
xFMaZbc15CQ,149440,157840,feels so well done
xFMaZbc15CQ,162959,165360,this 10-speed automatic is flawless i
xFMaZbc15CQ,165360,167280,think there's a little bit of a stigma
xFMaZbc15CQ,167280,170160,with eight nine 10-speed transmissions
xFMaZbc15CQ,170160,170720,and
xFMaZbc15CQ,170720,172400,this 10 speed just gets rid of all of
xFMaZbc15CQ,172400,173920,that it's smooth
xFMaZbc15CQ,173920,176959,it knows exactly the right gear to be in
xFMaZbc15CQ,176959,178720,it works incredibly well with this two
xFMaZbc15CQ,178720,184080,liter turbo
xFMaZbc15CQ,184080,187200,you ride out the torque
xFMaZbc15CQ,189280,191360,shifts are completely seamless
xFMaZbc15CQ,191360,193440,incredibly smooth
xFMaZbc15CQ,193440,195200,it just works in the background and does
xFMaZbc15CQ,195200,196879,a really nice job
xFMaZbc15CQ,196879,201200,delivering a great driving experience
xFMaZbc15CQ,201920,203280,and if you want to throw it into sport
xFMaZbc15CQ,203280,205599,mode
xFMaZbc15CQ,206640,213840,you can
