vid,start,end,text
xT3IDXBtRT4,0,1829,le persone sono abituate a prendere gli
xT3IDXBtRT4,1829,3810,sport piuttosto seriamente forse anche
xT3IDXBtRT4,3810,5910,troppo seriamente dato che investono ore
xT3IDXBtRT4,5910,7890,ed ore della loro vita ad allenarsi alla
xT3IDXBtRT4,7890,9630,loro attività preferita che praticamente
xT3IDXBtRT4,9630,11309,molto spesso diventa il punto centrale
xT3IDXBtRT4,11309,12660,della loro esistenza
xT3IDXBtRT4,12660,14340,anche se questa passione bisogna
xT3IDXBtRT4,14340,15420,comunque a prenderla piuttosto
xT3IDXBtRT4,15420,17340,seriamente soprattutto quando è frutto
xT3IDXBtRT4,17340,19500,di guadagno non possiamo di certo negare
xT3IDXBtRT4,19500,21060,che molti dei momenti più divertenti di
xT3IDXBtRT4,21060,23070,presi a video sono accaduti proprio
xT3IDXBtRT4,23070,25350,durante gli sport oggi infatti andremo
xT3IDXBtRT4,25350,27180,proprio a parlare dei 15 momenti più
xT3IDXBtRT4,27180,29429,divertenti mai ripresi durante alcune
xT3IDXBtRT4,29429,31080,partite sportive a quanto pare
xT3IDXBtRT4,31080,33270,moltissime persone trovano divertente
xT3IDXBtRT4,33270,34980,lanciarsi nel campo da calcio durante
xT3IDXBtRT4,34980,36600,una partita magari indossando vestiti
xT3IDXBtRT4,36600,38760,non molto consoni e bloccando
xT3IDXBtRT4,38760,40230,letteralmente la partita per qualche
xT3IDXBtRT4,40230,40649,attimo
xT3IDXBtRT4,40649,42510,sicuramente avrete visto un video di
xT3IDXBtRT4,42510,44489,tantissime persone provare a farlo e
xT3IDXBtRT4,44489,46410,avrete notato che non è poi così facile
xT3IDXBtRT4,46410,47309,come sembra
xT3IDXBtRT4,47309,48899,dato che le guardie di sicurezza sono
xT3IDXBtRT4,48899,50879,sempre allerta soprattutto quando si
xT3IDXBtRT4,50879,52860,tratta di partite molto importanti in
xT3IDXBtRT4,52860,54480,questa clip infatti vediamo come la
xT3IDXBtRT4,54480,56789,madre del famoso youtuber eprex abbia
xT3IDXBtRT4,56789,59280,proprio cercato di correre attraverso il
xT3IDXBtRT4,59280,60780,campo di gioco durante una partita di
xT3IDXBtRT4,60780,62699,cricket piuttosto importante beh il
xT3IDXBtRT4,62699,63930,momento si è trasformato da
xT3IDXBtRT4,63930,66030,entusiasmante e divertente ha piuttosto
xT3IDXBtRT4,66030,67530,imbarazzante abbastanza velocemente
xT3IDXBtRT4,67530,69479,quando la donna è riuscito a fare
xT3IDXBtRT4,69479,71850,nemmeno due passi nel campo che è stata
