vid,start,end,text
xcjZvAFBH_Y,80,1599,i tweeted this recently just thinking
xcjZvAFBH_Y,1599,5040,about how vine was the home of short
xcjZvAFBH_Y,5040,7680,form vertical videos before it died in
xcjZvAFBH_Y,7680,12000,2016. and now in 2022 tiktok has been
xcjZvAFBH_Y,12000,14240,the most downloaded app on the planet
xcjZvAFBH_Y,14240,16640,for like the last 12 straight months in
xcjZvAFBH_Y,16640,19920,a row and short form vertical videos are
xcjZvAFBH_Y,19920,22000,blowing up and i could reach no other
xcjZvAFBH_Y,22000,24240,conclusion than
xcjZvAFBH_Y,24240,27519,vine was ahead of its time
xcjZvAFBH_Y,28160,29760,you might look at the electric vehicle
xcjZvAFBH_Y,29760,31039,revolution that's happening right now
xcjZvAFBH_Y,31039,33760,around us and think wow we have a lot to
xcjZvAFBH_Y,33760,35680,thank tesla for
xcjZvAFBH_Y,35680,39440,but tesla wasn't anywhere near the first
xcjZvAFBH_Y,39440,41920,electric car that would technically be
xcjZvAFBH_Y,41920,42840,in the
xcjZvAFBH_Y,42840,45680,1890s but even in the 1990s there was an
xcjZvAFBH_Y,45680,48399,electric car from gm called the ev-1 it
xcjZvAFBH_Y,48399,50000,was this little two-door electric coupe
xcjZvAFBH_Y,50000,52800,with a 55-mile range that sold less than
xcjZvAFBH_Y,52800,55760,2000 units before being discontinued
xcjZvAFBH_Y,55760,58000,removed from the road and crushed now of
xcjZvAFBH_Y,58000,60079,course years later evs are on the rise
xcjZvAFBH_Y,60079,61760,everyone's turning their car companies
xcjZvAFBH_Y,61760,63600,entirely electric from the inside out
xcjZvAFBH_Y,63600,67600,but no one remembers the gm ev1
xcjZvAFBH_Y,67600,69840,because it was ahead of its time and so
xcjZvAFBH_Y,69840,71439,that got me thinking there have been so
xcjZvAFBH_Y,71439,73280,many products that have launched over
xcjZvAFBH_Y,73280,75680,the years that have failed but just
xcjZvAFBH_Y,75680,77360,because the world wasn't ready for them
xcjZvAFBH_Y,77360,79200,yet and i have a few favorites that have
xcjZvAFBH_Y,79200,81439,come to mind and so these are my top
xcjZvAFBH_Y,81439,84080,favorite three gadgets that were ahead
xcjZvAFBH_Y,84080,87920,of their time so number three google
xcjZvAFBH_Y,87920,88960,glass
xcjZvAFBH_Y,88960,90159,this one's a classic i think a lot of
xcjZvAFBH_Y,90159,92000,people remember google glass but
