vid,start,end,text
xp0O2vi8DX4,0,7000,Transcriber: Leonardo Silva Reviewer: Denise RQ
xp0O2vi8DX4,15157,17091,"So, we all have some behavior"
xp0O2vi8DX4,17091,20050,that we would like to change about ourselves.
xp0O2vi8DX4,20050,22898,And we certainly all want to help someone else
xp0O2vi8DX4,22899,25523,change their behavior in a positive way.
xp0O2vi8DX4,25523,28666,"So, maybe it's your kid, your spouse, your colleague."
xp0O2vi8DX4,29326,31445,So I want to share some new research with you
xp0O2vi8DX4,31445,34293,that I think reveals something really important
xp0O2vi8DX4,34293,38092,about what gets people to change their behavior.
xp0O2vi8DX4,38572,41595,"But before I do that, let's zoom in on one strategy"
xp0O2vi8DX4,41596,44297,that I think you probably use a lot.
xp0O2vi8DX4,44297,47691,"So, let's say you're trying to stop yourself from snacking."
xp0O2vi8DX4,47691,49519,What do you tell yourself?
xp0O2vi8DX4,49909,52482,"Well, most people, in a monologue, will say,"
xp0O2vi8DX4,52482,54547,"""Beware. You'll be fat."""
xp0O2vi8DX4,54928,58389,"And if this was your kid,"
xp0O2vi8DX4,59006,62640,you would probably tell him that smoking kills
xp0O2vi8DX4,62640,65075,"and, by the way, he's in big, big trouble."
xp0O2vi8DX4,65075,66373,(Laughter)
xp0O2vi8DX4,66374,68135,"So, what we're trying to do here"
xp0O2vi8DX4,68135,72130,is we're trying to scare ourselves and others
xp0O2vi8DX4,72130,73810,into changing their behavior.
xp0O2vi8DX4,73810,75401,And it's not just us.
xp0O2vi8DX4,75401,81149,"Warnings and threats are really common in health campaigns, in policy."
xp0O2vi8DX4,81509,85039,It's because we all share this deep-rooted belief
xp0O2vi8DX4,85039,89191,"that if you threaten people, if fear is induced,"
xp0O2vi8DX4,89191,91367,it will get them to act.
xp0O2vi8DX4,91367,94048,"And it seems like a really reasonable assumption,"
xp0O2vi8DX4,94719,97402,except for the fact that the science shows
xp0O2vi8DX4,97402,102207,that warnings have very limited impact on behavior.
xp0O2vi8DX4,102207,105556,"So, graphic images on cigarette packets, for example,"
xp0O2vi8DX4,105556,107678,"do not deter smokers from smoking,"
xp0O2vi8DX4,107678,110542,"and one study found that, after looking at those images,"
xp0O2vi8DX4,110542,113722,quitting actually became a lower priority for smokers.
xp0O2vi8DX4,113722,116361,"So, I'm not saying that warnings and threats never work,"
xp0O2vi8DX4,116361,120128,"but what I'm saying is, on average, they seem to have a very limited impact."
xp0O2vi8DX4,120128,122546,"And so, the question is: why?"
xp0O2vi8DX4,122546,124697,Why are we resistant to warnings?
xp0O2vi8DX4,125350,128205,"Well, if you think about animals,"
xp0O2vi8DX4,128205,130494,"when you induce fear in an animal,"
xp0O2vi8DX4,130494,135616,the most common response you will see is freezing or fleeing;
xp0O2vi8DX4,135957,137901,"fighting, not as much."
xp0O2vi8DX4,137901,139799,"And so, humans are the same."
xp0O2vi8DX4,139799,141394,"So if something scares us,"
xp0O2vi8DX4,141395,144966,we tend to shut down and we try to eliminate the negative feelings.
xp0O2vi8DX4,144966,146732,"So, we might use rationalizations."
xp0O2vi8DX4,146732,148849,"For example, you might tell yourself:"
xp0O2vi8DX4,148849,151347,"""My grandpa smoked. He lived to be 90."
xp0O2vi8DX4,151347,155124,"So, I have really good genes and absolutely nothing to worry about."""
xp0O2vi8DX4,155124,159002,And this process can actually make you feel more resilient
xp0O2vi8DX4,159003,160669,"than you did before,"
xp0O2vi8DX4,160669,164770,which is why warnings sometimes have this boomerang effect.
xp0O2vi8DX4,165260,168207,"In other times, we simply put our head in the ground."
xp0O2vi8DX4,168207,169678,(Laughter)
xp0O2vi8DX4,169678,171437,Take the stock market for example.
xp0O2vi8DX4,171437,174101,Do you know when people pull their head out of the ground
xp0O2vi8DX4,174102,175487,to look at their accounts --
xp0O2vi8DX4,175487,179154,"not to make a transaction, just to log in to check their account?"
xp0O2vi8DX4,179154,181609,"So, what you're seeing here, in black,"
xp0O2vi8DX4,181609,185236,"is the S&P 500 over two years,"
xp0O2vi8DX4,185236,187105,"and in gray, is the number of times"
xp0O2vi8DX4,187105,189916,that people logged in  to their account just to check.
xp0O2vi8DX4,189916,192419,"And this is data from Karlsson, Loewenstein & Seppi,"
xp0O2vi8DX4,192419,194757,it's control [data] for all the obvious confounds.
xp0O2vi8DX4,194757,196105,"So, what do we see?"
xp0O2vi8DX4,196105,199687,"When the market is high, people log in all the time,"
xp0O2vi8DX4,200424,203144,"because positive information makes you feel good,"
xp0O2vi8DX4,203144,205017,so you seek it out.
xp0O2vi8DX4,205017,206946,"And when the market is low,"
xp0O2vi8DX4,206946,208860,"people avoid logging in,"
xp0O2vi8DX4,208860,211319,"because negative information makes us feel bad,"
xp0O2vi8DX4,211319,213788,so we try to avoid it altogether.
xp0O2vi8DX4,214588,216618,And all this is true
xp0O2vi8DX4,216618,221282,as long as bad information can reasonably be avoided.
xp0O2vi8DX4,221283,224640,"So, what you don't see here is what happened a few months later,"
xp0O2vi8DX4,224640,226680,"in the financial collapse of 2008,"
xp0O2vi8DX4,226680,228737,when the market went drastically down
xp0O2vi8DX4,228738,231929,"and that was when people started logging in frantically,"
xp0O2vi8DX4,231929,233986,but it was a bit too late.
xp0O2vi8DX4,234689,238284,"So, you can think about it like this -- it's not just finance:"
xp0O2vi8DX4,238285,240543,"In many different parts of our life,"
xp0O2vi8DX4,240543,242102,(Laughter)
xp0O2vi8DX4,243004,246897,we have warning signs and bad behaviors now.
xp0O2vi8DX4,246897,252321,"And they could potentially lead to all these bad outcomes later,"
xp0O2vi8DX4,252321,254299,"but not necessarily so,"
xp0O2vi8DX4,254299,257776,"because there are different routs from your present to your future, right?"
xp0O2vi8DX4,257776,260252,"It can go this way, it can go that way."
xp0O2vi8DX4,260252,262216,"And, as time passes,"
xp0O2vi8DX4,262216,266037,you gather more and more information about where the wind is blowing.
xp0O2vi8DX4,266037,267940,(Laughter)
xp0O2vi8DX4,267940,270578,"And, at any point, you can intervene"
xp0O2vi8DX4,270578,273286,"and you could potentially change the outcome,"
xp0O2vi8DX4,273286,275676,but that takes energy and you might tell yourself:
xp0O2vi8DX4,275676,278936,"""What's the point about worrying about something that might happen?"
xp0O2vi8DX4,278936,280520,"It might not happen."""
xp0O2vi8DX4,281236,283255,"Until we reach this point,"
xp0O2vi8DX4,283255,287704,"at which time you do jump into action, but sometimes it's a little bit too late."
xp0O2vi8DX4,288764,290712,"So, we wanted to know, in my lab,"
xp0O2vi8DX4,290712,294174,what type of information does leak into people.
xp0O2vi8DX4,294174,295745,"So, we conducted an experiment"
xp0O2vi8DX4,295745,300449,where we asked approximately 100 people to estimate the likelihood
xp0O2vi8DX4,300449,304670,of 80 different negative events that might happen to them in the future.
xp0O2vi8DX4,304670,307058,"So, for example, I might ask you:"
xp0O2vi8DX4,307058,311070,"""What is the likelihood that you'll suffer hearing loss in your future?"""
xp0O2vi8DX4,311450,314238,And let's say you think it's about 50%.
xp0O2vi8DX4,314951,318797,"Then, I give you the opinion of two different experts."
xp0O2vi8DX4,318797,320814,"So, expert A tells you:"
xp0O2vi8DX4,320814,324745,"""You know, for someone like you, I think it's only 40%."""
xp0O2vi8DX4,324745,328298,"So, they give you a rosier view of your future."
